;s;p;o;source;support;pipeline;Danilo;FRA;Diego;Davide;Angelo;;Danilo-Fra;Danilo-Diego;;;;
221;ontology alignment;skos:broader/is/hyponym-of;semantic web technologies;['heuristic'];[65];yes;y;;y;;;;0;1;;;;
222;ontology alignment;uses;semantic web technologies;['luanyi'];[7];yes;y;y;y;;;;1;1;;;;
223;ontology alignment;uses;sensors;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
224;ontology alignment;uses;vector space models;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
675;ontology alignment;supports;web applications;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
676;ontology alignment;provides;web of data;['heuristic'];[4.0];no;n;y;n;;;;0;1;;;;
225;ontology alignment;skos:broader/is/hyponym-of;web of data;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
677;ontology alignment;based-on;wordnet;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
226;ontology alignment;uses;wordnet;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
678;ontology construction;supports;resource description framework (rdf);['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
227;ontology construction;uses;semantic descriptions;['heuristic'];[2];yes;y;;y;;;;0;1;;;;
679;ontology construction;supports;web ontology language;['heuristic'];[3.0];no;n;n;y;;;;1;0;;;;
228;ontology construction;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
229;ontology development;uses;web ontology language;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
230;ontology evolution;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
680;ontology integration;provides;semantic web services;['heuristic'];[3.0];no;y;n;y;;;;0;1;;;;
681;ontology language;supports;resource description framework (rdf);['heuristic'];[7.0];no;n;;y;;;;0;0;;;;
231;ontology language;provides;web ontology language;['heuristic'];[15];yes;n;y;n;;;;0;1;;;;
232;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
233;ontology learning;skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;n;;y;;;;0;0;;;;
682;ontology modeling;matches;web ontology language;['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
234;ontology modeling;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
235;open source implementation;uses;linked data;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
236;open source software;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
237;parsing algorithm;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
683;pattern;supports;semantic descriptions;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
238;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
239;process execution;uses;semantic web services;['luanyi'];[2];yes;n;;y;;;;0;0;;;;
684;program slicing;uses;semantic descriptions;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
685;query execution;executes;linked data;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
240;query expansion;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
241;query processing;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
242;question answering systems;uses;linked data;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
686;rdf data;uses;linked data;['heuristic'];[9.0];no;y;;y;;;;0;1;;;;
243;rdf data;uses;semantic search engines;['openie', 'luanyi'];[1, 1];yes;n;;y;;;;0;0;;;;
687;rdf graph;maintains;linked data;['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
244;re-engineering;uses;linked data;['heuristic'];[4];yes;y;y;y;;;;1;1;;;;
245;reasoning algorithms;uses;semantic web services;['heuristic'];[6];yes;y;;y;;;;0;1;;;;
246;reasoning algorithms;uses;web ontology language;['luanyi', 'openie', 'heuristic'];[1, 1, 12];yes;y;y;y;;;;1;1;;;;
247;recommendation;skos:broader/is/hyponym-of;linked data;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
248;recommendation;uses;web ontology language;['heuristic'];[4];yes;y;y;n;;;;1;0;;;;
249;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 5];yes;n;y;y;;;;0;0;;;;
250;recommender systems;includes;semantic web services;['luanyi'];[1];yes;y;n;n;;;;0;0;;;;
251;relation extraction;uses;semantic search engines;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
252;relational database systems;uses;resource description framework (rdf);['heuristic'];[25];yes;y;y;y;;;;1;1;;;;
688;relational database systems;matches;web ontology language;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
253;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
689;resource description framework (rdf);supports;access control;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
690;resource description framework (rdf);improves;collaborative work;['heuristic'];[4.0];no;y;n;y;;;;0;1;;;;
254;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes;n;n;n;;;;1;1;;;;
255;resource description framework (rdf);skos:broader/is/hyponym-of;component-based software engineering;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
256;resource description framework (rdf);skos:broader/is/hyponym-of;constraint language;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
691;resource description framework (rdf);uses;data exchange;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
257;resource description framework (rdf);provides;data integration;['openie'];[2];yes;n;y;y;;;;0;0;;;;
692;resource description framework (rdf);supports;data integration;['heuristic'];[6.0];no;y;y;y;;;;1;1;;;;
258;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes;n;y;y;;;;0;0;;;;
693;resource description framework (rdf);uses;digital libraries;['heuristic'];[9.0];no;n;y;y;;;;0;0;;;;
694;resource description framework (rdf);acquires;domain knowledge;['heuristic'];[8.0];no;n;;y;;;;0;0;;;;
695;resource description framework (rdf);supports;engineering;['heuristic'];[3.0];no;y;n;y;;;;0;1;;;;
259;resource description framework (rdf);uses;fuzzy cognitive maps;['luanyi'];[1];yes;n;y;n;;;;0;1;;;;
260;resource description framework (rdf);uses;grid technologies;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
261;resource description framework (rdf);produces;inference;['heuristic'];[15];yes;n;n;n;;;;1;1;;;;
696;resource description framework (rdf);selects;knowledge acquisition;['heuristic'];[5.0];no;n;n;n;;;;1;1;;;;
697;resource description framework (rdf);extends;knowledge bases;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
698;resource description framework (rdf);supports;knowledge management;['heuristic'];[5.0];no;y;y;y;;;;1;1;;;;
262;resource description framework (rdf);guides;knowledge representation;['heuristic'];[19];yes;y;y;y;;;;1;1;;;;
699;resource description framework (rdf);improves;libraries;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
263;resource description framework (rdf);skos:broader/is/hyponym-of;linked open data;['luanyi'];[8];yes;y;;y;;;;0;1;;;;
264;resource description framework (rdf);defines;ontologies;['openie'];[3];yes;n;y;y;;;;0;0;;;;
265;resource description framework (rdf);skos:broader/is/hyponym-of;ontology language;['luanyi'];[12];yes;y;;y;;;;0;1;;;;
266;resource description framework (rdf);provides;ontology modeling;['openie'];[1];yes;y;y;y;;;;1;1;;;;
267;resource description framework (rdf);uses;query optimization;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
268;resource description framework (rdf);supports;query processing;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
269;resource description framework (rdf);includes;rdf data;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
270;resource description framework (rdf);queries;rdf data;['openie'];[1];yes;n;n;y;;;;1;0;;;;
271;resource description framework (rdf);skos:broader/is/hyponym-of;rdf data;['heuristic'];[21];yes;y;;y;;;;0;1;;;;
272;resource description framework (rdf);supports;rdf graph;['heuristic'];[13];yes;y;;y;;;;0;1;;;;
700;resource description framework (rdf);proposes;reasoning algorithms;['heuristic'];[6.0];no;y;;n;;;;0;0;;;;
273;resource description framework (rdf);provides;reasoning algorithms;['openie'];[1];yes;n;n;n;;;;1;1;;;;
274;resource description framework (rdf);provides;recommendation;['heuristic'];[6];yes;n;;n;;;;0;1;;;;
275;resource description framework (rdf);skos:broader/is/hyponym-of;recommendation;['openie'];[2];yes;n;;n;;;;0;1;;;;
276;resource description framework (rdf);uses;relational data models;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
277;resource description framework (rdf);matches;relational database systems;['heuristic'];[21];yes;n;y;n;;;;0;1;;;;
278;resource description framework (rdf);supports;reusability;['heuristic'];[2];yes;y;;y;;;;0;1;;;;
701;resource description framework (rdf);acquires;semantic data;['heuristic'];[4.0];no;n;n;n;;;;1;1;;;;
279;resource description framework (rdf);includes;semantic data;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
280;resource description framework (rdf);skos:broader/is/hyponym-of;semantic descriptions;['luanyi'];[2];yes;y;;n;;;;0;0;;;;
702;resource description framework (rdf);represents;semantic interoperability;['heuristic'];[9.0];no;y;;n;;;;0;0;;;;
281;resource description framework (rdf);skos:broader/is/hyponym-of;semantic interoperability;['luanyi'];[1];yes;y;;n;;;;0;0;;;;
282;resource description framework (rdf);represents;semantic relationships;['heuristic'];[10];yes;y;;y;;;;0;1;;;;
283;resource description framework (rdf);skos:broader/is/hyponym-of;semantic relationships;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
703;resource description framework (rdf);includes;semantic search engines;['heuristic'];[8.0];no;n;;n;;;;0;1;;;;
284;resource description framework (rdf);produces;semantic web services;['heuristic'];[10];yes;y;;n;;;;0;0;;;;
285;resource description framework (rdf);skos:broader/is/hyponym-of;semantic web technologies;['heuristic', 'luanyi'];[206, 166];yes;y;;n;;;;0;0;;;;
286;resource description framework (rdf);uses;semantic web technologies;['luanyi'];[8];yes;n;y;y;;;;0;0;;;;
287;resource description framework (rdf);skos:broader/is/hyponym-of;semantic wikis;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
288;resource description framework (rdf);skos:broader/is/hyponym-of;social networks;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
289;resource description framework (rdf);includes;social sciences;['luanyi'];[1];yes;n;n;y;;;;1;0;;;;
290;resource description framework (rdf);supports;software agents;['heuristic'];[2];yes;n;;y;;;;0;0;;;;
291;resource description framework (rdf);uses;sparql;['openie', 'luanyi'];[1, 11];yes;n;y;y;;;;0;0;;;;
292;resource description framework (rdf);skos:broader/is/hyponym-of;standard model;['openie', 'heuristic'];[1, 1];yes;y;;y;;;;0;1;;;;
293;resource description framework (rdf);represents;user profiles;['heuristic'];[2];yes;y;;y;;;;0;1;;;;
704;resource description framework (rdf);provides;vocabulary;['heuristic'];[7.0];no;y;y;y;;;;1;1;;;;
294;resource description framework (rdf);skos:broader/is/hyponym-of;vocabulary;['luanyi'];[2];yes;n;;n;;;;0;1;;;;
295;resource description framework (rdf);skos:broader/is/hyponym-of;web applications;['luanyi'];[10];yes;y;;n;;;;0;0;;;;
705;resource description framework (rdf);uses;web applications;['heuristic'];[6.0];no;y;;n;;;;0;0;;;;
706;resource description framework (rdf);proposes;web contents;['heuristic'];[7.0];no;n;;n;;;;0;1;;;;
296;resource description framework (rdf);represents;web contents;['openie'];[1];yes;y;y;y;;;;1;1;;;;
297;resource description framework (rdf);represents;web information;['openie'];[1];yes;y;y;y;;;;1;1;;;;
707;resource description framework (rdf);interacts-with;web of data;['heuristic'];[4.0];no;y;;n;;;;0;0;;;;
708;resource description framework (rdf);supports;wordnet;['heuristic'];[3.0];no;y;y;n;;;;1;0;;;;
709;resource description framework (rdf);represents;world wide web;['heuristic'];[7.0];no;y;;n;;;;0;0;;;;
298;resource description framework (rdf);includes;xml databases;['openie'];[1];yes;y;;y;;;;0;1;;;;
299;resource discovery;uses;web ontology language;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
300;scientific data;uses;linked data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
710;search engines;based-on;resource description framework (rdf);['heuristic'];[5.0];no;y;;n;;;;0;0;;;;
301;search engines;provides;semantic search engines;['openie', 'heuristic'];[2, 24];yes;y;n;y;;;;0;1;;;;
302;search engines;uses;semantic search engines;['luanyi'];[9];yes;y;;y;;;;0;1;;;;
711;search engines;based-on;semantic web services;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
303;search engines;uses;semantic web services;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
304;search engines;uses;web ontology language;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
305;security models;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
712;security policies;based-on;web ontology language;['heuristic'];[4.0];no;y;;y;;;;0;1;;;;
306;security policies;uses;web ontology language;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
713;semantic concept;supports;semantic search engines;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
307;semantic data;uses;linked data;['heuristic'];[3];yes;y;;y;;;;0;1;;;;
308;semantic data;uses;ontology alignment;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
714;semantic data;produces;resource description framework (rdf);['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
715;semantic descriptions;supports;automated reasoning;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
716;semantic descriptions;provides;automation;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
309;semantic descriptions;supports;business services;['openie'];[1];yes;n;;y;;;;0;0;;;;
310;semantic descriptions;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;y;;y;;;;0;1;;;;
311;semantic descriptions;uses;description logics;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
312;semantic descriptions;uses;digital libraries;['luanyi'];[1];yes;n;;n;;;;0;1;;;;
717;semantic descriptions;learns;e-learning environment;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
313;semantic descriptions;uses;formal specifications;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
314;semantic descriptions;uses;fuzzy ahp;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
315;semantic descriptions;uses;fuzzy logics;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
316;semantic descriptions;uses;heterogeneous databases;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
317;semantic descriptions;uses;knowledge bases;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
318;semantic descriptions;uses;knowledge representation;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
718;semantic descriptions;publishes;linked data;['heuristic'];[5.0];no;n;n;n;;;;1;1;;;;
319;semantic descriptions;uses;model driven architectures;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
719;semantic descriptions;includes;multimedia data;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
320;semantic descriptions;uses;natural language processing systems;['heuristic'];[1];yes;n;;y;;;;0;0;;;;
321;semantic descriptions;uses;ontologies;['openie', 'luanyi'];[1, 9];yes;n;y;y;;;;0;0;;;;
322;semantic descriptions;uses;ontology alignment;['heuristic'];[1];yes;n;;n;;;;0;1;;;;
323;semantic descriptions;uses;ontology language;['luanyi'];[2];yes;n;;y;;;;0;0;;;;
324;semantic descriptions;supports;reasoning algorithms;['openie'];[1];yes;y;;y;;;;0;1;;;;
325;semantic descriptions;uses;resource description framework (rdf);['heuristic'];[1];yes;y;;y;;;;0;1;;;;
326;semantic descriptions;uses;search engines;['heuristic'];[1];yes;n;;y;;;;0;0;;;;
720;semantic descriptions;produces;search process;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
721;semantic descriptions;extends;semantic distance;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
722;semantic descriptions;provides;semantic relationships;['heuristic'];[7.0];no;y;;y;;;;0;1;;;;
327;semantic descriptions;uses;semantic relationships;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
328;semantic descriptions;uses;semantic web technologies;['openie'];[1];yes;n;y;y;;;;0;0;;;;
329;semantic descriptions;supports;software agents;['heuristic'];[1];yes;y;;y;;;;0;1;;;;
723;semantic descriptions;supports;web of data;['heuristic'];[4.0];no;y;y;y;;;;1;1;;;;
724;semantic descriptions;provides;web ontology language;['heuristic'];[5.0];no;n;;n;;;;0;1;;;;
330;semantic descriptions;uses;web ontology language;['openie'];[1];yes;n;;y;;;;0;0;;;;
331;semantic descriptions;uses;wordnet;['luanyi'];[1];yes;n;;y;;;;0;0;;;;
332;semantic desktop;uses;linked data;['heuristic'];[1];yes;y;y;y;;;;1;1;;;;
333;semantic desktop;uses;semantic search engines;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
334;semantic distance;uses;linked data;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
335;semantic heterogeneity;uses;ontology alignment;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
336;semantic heterogeneity;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
337;semantic interoperability;uses;ontology alignment;['luanyi', 'heuristic'];[16, 8];yes;n;y;y;;;;0;0;;;;
725;semantic interoperability;supports;semantic search engines;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
338;semantic interoperability;uses;semantic web services;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
339;semantic interoperability;uses;web ontology language;['luanyi', 'heuristic'];[2, 5];yes;y;y;y;;;;1;1;;;;
340;semantic relationships;uses;linked data;['luanyi'];[3];yes;y;y;y;;;;1;1;;;;
726;semantic relationships;represents;resource description framework (rdf);['heuristic'];[5.0];no;n;n;n;;;;1;1;;;;
341;semantic relationships;uses;semantic descriptions;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
342;semantic relationships;supports;semantic web services;['heuristic'];[21];yes;y;y;y;;;;1;1;;;;
343;semantic relationships;uses;semantic web services;['luanyi'];[4];yes;n;y;y;;;;0;0;;;;
727;semantic relationships;proposes;web ontology language;['heuristic'];[4.0];no;n;;n;;;;0;1;;;;
344;semantic search engines;uses;automatic image annotation;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
728;semantic search engines;acquires;background knowledge;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
345;semantic search engines;includes;component-based software engineering;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
346;semantic search engines;skos:broader/is/hyponym-of;component-based software engineering;['openie'];[1];yes;n;;y;;;;0;0;;;;
729;semantic search engines;acquires;database systems;['heuristic'];[3.0];no;y;;y;;;;0;1;;;;
347;semantic search engines;uses;database systems;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
348;semantic search engines;uses;description logics;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
349;semantic search engines;uses;domain-specific ontologies;['luanyi'];[5];yes;y;y;y;;;;1;1;;;;
730;semantic search engines;learns;e-learning environment;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
350;semantic search engines;uses;electronic documents;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
351;semantic search engines;uses;email;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
352;semantic search engines;uses;graph matchings;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
353;semantic search engines;uses;hierarchical models;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
354;semantic search engines;uses;index structure;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
731;semantic search engines;uses;inference;['heuristic'];[4.0];no;y;y;y;;;;1;1;;;;
732;semantic search engines;supports;information acquisitions;['heuristic'];[3.0];no;y;y;y;;;;1;1;;;;
355;semantic search engines;skos:broader/is/hyponym-of;information technology;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
733;semantic search engines;acquires;internet;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
734;semantic search engines;provides;knowledge bases;['heuristic'];[8.0];no;y;y;y;;;;1;1;;;;
356;semantic search engines;uses;knowledge representation;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
735;semantic search engines;learns;learning;['heuristic'];[6.0];no;y;n;y;;;;0;1;;;;
357;semantic search engines;uses;linked data;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
358;semantic search engines;uses;map-reduce;['luanyi', 'heuristic'];[1, 1];yes;y;y;y;;;;1;1;;;;
359;semantic search engines;uses;mobile agents;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
360;semantic search engines;uses;mobile devices;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
361;semantic search engines;uses;mobile phones;['luanyi', 'openie', 'heuristic'];[2, 1, 2];yes;n;y;n;;;;0;1;;;;
362;semantic search engines;includes;named entity recognition;['luanyi'];[2];yes;y;;y;;;;0;1;;;;
363;semantic search engines;uses;natural language interfaces;['luanyi'];[4];yes;y;;y;;;;0;1;;;;
364;semantic search engines;skos:broader/is/hyponym-of;natural language processing systems;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
365;semantic search engines;uses;natural language processing systems;['heuristic'];[4];yes;y;y;y;;;;1;1;;;;
736;semantic search engines;provides;natural languages;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
366;semantic search engines;requires;ontologies;['openie'];[3];yes;y;y;y;;;;1;1;;;;
367;semantic search engines;uses;ontologies;['heuristic', 'luanyi'];[56, 21];yes;y;y;y;;;;1;1;;;;
737;semantic search engines;acquires;ontology technology;['heuristic'];[5.0];no;y;;y;;;;0;1;;;;
368;semantic search engines;combines;ontology technology;['openie'];[1];yes;y;;y;;;;0;1;;;;
369;semantic search engines;uses;ontology technology;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
370;semantic search engines;uses;parallelism;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
371;semantic search engines;uses;pervasive computing;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
738;semantic search engines;produces;purchase;['heuristic'];[3.0];no;n;y;y;;;;0;0;;;;
372;semantic search engines;uses;rdf data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
373;semantic search engines;uses;recommendation;['openie'];[1];yes;n;y;y;;;;0;0;;;;
374;semantic search engines;uses;resource description framework (rdf);['luanyi', 'openie', 'heuristic'];[2, 1, 5];yes;y;y;y;;;;1;1;;;;
375;semantic search engines;requires;search engines;['openie'];[4];yes;y;y;y;;;;1;1;;;;
376;semantic search engines;uses;search engines;['luanyi'];[15];yes;y;y;y;;;;1;1;;;;
377;semantic search engines;uses;semantic data;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
378;semantic search engines;uses;semantic metadata;['heuristic'];[4];yes;y;;y;;;;0;1;;;;
379;semantic search engines;uses;semantic similarity measures;['heuristic'];[7];yes;y;y;y;;;;1;1;;;;
380;semantic search engines;provides;semantic web technologies;['heuristic'];[43];yes;y;y;y;;;;1;1;;;;
381;semantic search engines;skos:broader/is/hyponym-of;semantic web technologies;['luanyi'];[10];yes;y;;y;;;;0;1;;;;
382;semantic search engines;uses;semantic web technologies;['luanyi'];[19];yes;y;y;y;;;;1;1;;;;
383;semantic search engines;uses;social networks;['luanyi'];[2];yes;n;y;n;;;;0;1;;;;
384;semantic search engines;uses;sparql;['luanyi'];[2];yes;y;y;y;;;;1;1;;;;
385;semantic search engines;uses;spatial data infrastructure;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
386;semantic search engines;provides;speech recognition;['heuristic'];[10];yes;n;;y;;;;0;0;;;;
387;semantic search engines;uses;text mining;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
388;semantic search engines;uses;user interfaces;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
389;semantic search engines;uses;user query;['luanyi', 'heuristic'];[1, 12];yes;y;y;y;;;;1;1;;;;
390;semantic search engines;requires;verification;['openie'];[1];yes;n;y;n;;;;0;1;;;;
739;semantic search engines;acquires;web contents;['heuristic'];[4.0];no;n;;y;;;;0;0;;;;
391;semantic search engines;uses;web of data;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
392;semantic search engines;uses;web ontology language;['luanyi', 'heuristic'];[2, 4];yes;y;y;y;;;;1;1;;;;
393;semantic search engines;improves;web searches;['openie'];[1];yes;y;y;y;;;;1;1;;;;
740;semantic search engines;produces;web-searching;['heuristic'];[4.0];no;y;y;y;;;;1;1;;;;
394;semantic search engines;uses;wordnet;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
741;semantic similarity measures;skos:broader/is/hyponym-of;ontology alignment;['heuristic'];[9.0];no;n;;n;;;;0;1;;;;
395;semantic similarity measures;uses;ontology alignment;['luanyi'];[3];yes;n;n;y;;;;1;0;;;;
742;semantic similarity measures;skos:broader/is/hyponym-of;semantic web services;['heuristic'];[3.0];no;n;;y;;;;0;0;;;;
396;semantic web rule languages;extends;web ontology language;['openie'];[1];yes;y;y;y;;;;1;1;;;;
397;semantic web rule languages;skos:broader/is/hyponym-of;web ontology language;['luanyi'];[8];yes;y;;y;;;;0;1;;;;
743;semantic web service discovery;based-on;ontology alignment;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
398;semantic web service discovery;uses;ontology alignment;['luanyi'];[2];yes;n;y;y;;;;0;0;;;;
744;semantic web service discovery;based-on;semantic web services;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
745;semantic web services;based-on;access control;['heuristic'];[3.0];no;n;;n;;;;0;1;;;;
399;semantic web services;uses;access control;['luanyi'];[3];yes;y;y;n;;;;1;0;;;;
400;semantic web services;uses;agent technology;['luanyi'];[2];yes;y;y;n;;;;1;0;;;;
401;semantic web services;requires;authentication;['openie', 'heuristic'];[1, 1];yes;y;y;n;;;;1;0;;;;
402;semantic web services;supports;automated reasoning;['openie'];[2];yes;y;y;y;;;;1;1;;;;
403;semantic web services;produces;automatic composition;['openie'];[1];yes;y;y;y;;;;1;1;;;;
746;semantic web services;provides;automatic composition;['heuristic'];[6.0];no;n;;y;;;;0;0;;;;
404;semantic web services;uses;automatic composition;['luanyi'];[1];yes;y;y;n;;;;1;0;;;;
405;semantic web services;provides;automation;['heuristic'];[14];yes;n;;y;;;;0;0;;;;
406;semantic web services;supports;automation;['openie'];[6];yes;n;y;y;;;;0;0;;;;
407;semantic web services;uses;bayesian classification;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
408;semantic web services;uses;business logic;['luanyi', 'heuristic'];[1, 5];yes;y;y;y;;;;1;1;;;;
409;semantic web services;uses;business process execution language;['luanyi'];[4];yes;y;y;y;;;;1;1;;;;
747;semantic web services;produces;business process modelling;['heuristic'];[3.0];no;n;n;y;;;;1;0;;;;
410;semantic web services;uses;collaborative filtering techniques;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
411;semantic web services;uses;collaborative tagging;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
412;semantic web services;includes;component-based software engineering;['luanyi'];[1];yes;n;y;y;;;;0;0;;;;
413;semantic web services;skos:broader/is/hyponym-of;component-based software engineering;['openie', 'heuristic'];[1, 16];yes;n;;y;;;;0;0;;;;
748;semantic web services;extends;context information;['heuristic'];[7.0];no;y;y;y;;;;1;1;;;;
414;semantic web services;uses;database management;['luanyi'];[1];yes;y;n;n;;;;0;0;;;;
749;semantic web services;based-on;description logics;['heuristic'];[6.0];no;y;;y;;;;0;1;;;;
415;semantic web services;uses;description logics;['luanyi'];[6];yes;y;y;y;;;;1;1;;;;
416;semantic web services;uses;distributed applications;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
417;semantic web services;uses;distributed architectures;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
418;semantic web services;uses;distributed systems;['luanyi'];[1];yes;y;y;y;;;;1;1;;;;
750;semantic web services;provides;dynamic composition;['heuristic'];[8.0];no;y;;y;;;;0;1;;;;
419;semantic web services;includes;dynamic environments;['luanyi'];[1];yes;y;;y;;;;0;1;;;;
751;semantic web services;uses;dynamic environments;['heuristic'];[4.0];no;y;;y;;;;0;1;;;;
752;semantic web services;matches;efficient algorithm;['heuristic'];[3.0];no;n;n;n;;;;1;1;;;;
