;s;p;o;source;support;pipeline;Danilo;FRA;;;;;;Danilo-FRA;;;
359;linked data;produces;learning;['heuristic'];[27];yes;n;n;;;;;;1;;;
367;linked data;provides;libraries;['heuristic'];[52];yes;n;y;;;;;;0;;;
540;linked data;provides;linked open data;['heuristic'];[22];yes;n;y;;;;;;0;;;
1189;linked data;base;machine learning techniques;['heuristic'];[3.0];no;n;n;;;;;;1;;;
462;linked data;uses;mobile devices;['luanyi'];[2];yes;n;y;;;;;;0;;;
193;linked data;uses;natural languages;['luanyi', 'openie'];[1, 1];yes;y;y;;;;;;1;;;
506;linked data;provides;ontologies;['heuristic'];[101];yes;n;y;;;;;;0;;;
268;linked data;supports;ontologies;['openie'];[2];yes;y;y;;;;;;1;;;
1190;linked data;improves;ontology development;['heuristic'];[3.0];no;y;y;;;;;;1;;;
549;linked data;supports;parsing algorithm;['openie'];[1];yes;y;y;;;;;;1;;;
863;linked data;supports;privacy;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1031;linked data;provides;python;['heuristic'];[4.0];no;n;n;;;;;;1;;;
818;linked data;uses;query execution;['heuristic'];[7.0];no;n;y;;;;;;0;;;
1032;linked data;produces;query rewritings;['heuristic'];[4.0];no;n;y;;;;;;0;;;
1033;linked data;proposes;question answering systems;['heuristic'];[4.0];no;n;n;;;;;;1;;;
158;linked data;uses;question answering systems;['luanyi'];[1];yes;n;y;;;;;;0;;;
3;linked data;uses;rdf data;['heuristic'];[27];yes;n;y;;;;;;0;;;
936;linked data;uses;recommender systems;['heuristic'];[5.0];no;n;n;;;;;;1;;;
1191;linked data;converts;relational data;['heuristic'];[3.0];no;n;y;;;;;;0;;;
606;linked data;uses;relational database systems;['luanyi'];[1];yes;n;y;;;;;;0;;;
136;linked data;uses;resource description framework (rdf);['heuristic', 'openie', 'heuristic'];[21, 1, 54];yes;y;y;;;;;;1;;;
104;linked data;uses;rule engine;['luanyi'];[1];yes;n;y;;;;;;0;;;
191;linked data;provides;semantic data;['heuristic'];[20];yes;y;y;;;;;;1;;;
1034;linked data;produces;semantic description;['heuristic'];[4.0];no;n;y;;;;;;0;;;
937;linked data;executes;semantic distance;['heuristic'];[5.0];no;n;n;;;;;;1;;;
74;linked data;provides;semantic interoperability;['openie', 'heuristic'];[2, 6];yes;y;y;;;;;;1;;;
938;linked data;is;semantic relationships;['heuristic'];[5.0];no;y;n;;;;;;0;;;
1035;linked data;produces;semantic relationships;['heuristic'];[4.0];no;y;n;;;;;;0;;;
1192;linked data;improves;semantic search engine;['heuristic'];[3.0];no;y;y;;;;;;1;;;
1193;linked data;improves;semantic similarity measures;['heuristic'];[3.0];no;n;y;;;;;;0;;;
605;linked data;is;semantic web technologies;['luanyi'];[11];yes;y;y;;;;;;1;;;
264;linked data;provides;semantic web technologies;['heuristic', 'heuristic'];[251, 53];yes;y;y;;;;;;1;;;
62;linked data;uses;semantic web technologies;['luanyi', 'openie', 'openie', 'luanyi'];[2, 2, 1, 4];yes;n;y;;;;;;0;;;
1194;linked data;includes;sensor networks;['heuristic'];[3.0];no;n;n;;;;;;1;;;
479;linked data;includes;social sciences;['luanyi'];[1];yes;y;n;;;;;;0;;;
328;linked data;uses;software design patterns;['luanyi', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
599;linked data;provides;sparql;['openie'];[1];yes;n;y;;;;;;0;;;
51;linked data;supports;sparql;['heuristic'];[74];yes;y;y;;;;;;1;;;
95;linked data;uses;sparql;['luanyi'];[5];yes;n;y;;;;;;0;;;
939;linked data;produces;spatial data;['heuristic'];[5.0];no;n;y;;;;;;0;;;
940;linked data;links;stream data;['heuristic'];[5.0];no;y;y;;;;;;1;;;
1195;linked data;includes;streaming data;['heuristic'];[3.0];no;y;y;;;;;;1;;;
941;linked data;improves;user experience;['heuristic'];[5.0];no;n;y;;;;;;0;;;
782;linked data;is;user interfaces;['heuristic'];[8.0];no;n;n;;;;;;1;;;
682;linked data;uses;user profiles;['heuristic'];[4];yes;n;y;;;;;;0;;;
819;linked data;supports;visualization;['heuristic'];[7.0];no;n;y;;;;;;0;;;
468;linked data;uses;vocabulary;['heuristic'];[25];yes;y;y;;;;;;1;;;
18;linked data;improves;web contents;['openie'];[1];yes;y;y;;;;;;1;;;
43;linked data;produces;web of data;['heuristic'];[58];yes;n;y;;;;;;0;;;
1036;linked data;supports;web ontology language;['heuristic'];[4.0];no;n;y;;;;;;0;;;
259;linked data;is;world wide web;['luanyi'];[1];yes;n;y;;;;;;0;;;
513;linked data;produces;world wide web;['openie'];[1];yes;n;y;;;;;;0;;;
72;linked open data;links;linked data;['heuristic'];[29];yes;y;y;;;;;;1;;;
864;linked open data;publishes;resource description framework (rdf);['heuristic'];[6.0];no;n;y;;;;;;0;;;
391;linked open data;supports;semantic search engines;['openie'];[2];yes;y;y;;;;;;1;;;
720;logic programming;uses;linked data;['heuristic'];[1];yes;y;y;;;;;;1;;;
66;logic programming;is;web ontology language;['luanyi'];[1];yes;n;n;;;;;;1;;;
637;logistics;uses;semantic search engine;['heuristic'];[1];yes;y;y;;;;;;1;;;
661;logistics;uses;semantic web services;['heuristic'];[11];yes;n;y;;;;;;0;;;
865;machine learning techniques;improves;ontology alignment;['heuristic'];[6.0];no;y;y;;;;;;1;;;
1196;machine learning techniques;requires;ontology alignment;['heuristic'];[3.0];no;y;n;;;;;;0;;;
772;machining;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
118;manets;includes;semantic description;['luanyi'];[2];yes;y;y;;;;;;1;;;
1197;map-reduce;requires;resource description framework (rdf);['heuristic'];[3.0];no;y;n;;;;;;0;;;
1037;mashup;publishes;linked data;['heuristic'];[4.0];no;n;y;;;;;;0;;;
475;mashup;selects;semantic web services;['openie'];[1];yes;y;y;;;;;;1;;;
46;mass customization;uses;semantic description;['luanyi'];[1];yes;n;y;;;;;;0;;;
942;matching algorithm;base;semantic web services;['heuristic'];[5.0];no;y;n;;;;;;0;;;
665;microdata;uses;linked data;['heuristic'];[1];yes;y;y;;;;;;1;;;
619;mobile applications;uses;linked data;['heuristic'];[2];yes;y;y;;;;;;1;;;
755;mobile applications;uses;semantic description;['heuristic'];[1];yes;y;y;;;;;;1;;;
1198;mobile devices;proposes;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
601;mobile services;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
263;model transformations;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
1199;model transformations;converts;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
308;modeling languages;uses;web ontology language;['luanyi'];[4];yes;y;n;;;;;;0;;;
717;mse;uses;web ontology language;['heuristic'];[1];yes;n;?;;;;;;0;;;
726;multimedia contents;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
1038;music recommendation;links;linked data;['heuristic'];[4.0];no;n;y;;;;;;0;;;
770;named entity recognition;uses;linked data;['heuristic'];[2];yes;y;y;;;;;;1;;;
450;named entity recognition;is;resource description framework (rdf);['luanyi'];[1];yes;n;n;;;;;;1;;;
240;natural language interfaces;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
820;natural language processing systems;publishes;linked data;['heuristic'];[7.0];no;n;n;;;;;;1;;;
634;natural language processing systems;uses;semantic description;['heuristic'];[1];yes;y;y;;;;;;1;;;
943;natural language processing systems;uses;semantic search engines;['heuristic'];[5.0];no;y;y;;;;;;1;;;
354;natural language processing systems;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
1200;natural languages;converts;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1201;network management;produces;resource description framework (rdf);['heuristic', 'heuristic'];[3.0, 2.0];no;n;n;;;;;;1;;;
715;network management;uses;semantic web services;['heuristic'];[1];yes;y;n;;;;;;0;;;
821;on-line learning;produces;linked data;['heuristic'];[7.0];no;y;y;;;;;;1;;;
4;ontologies;provides;linked data;['heuristic'];[108];yes;y;y;;;;;;1;;;
304;ontologies;supports;linked data;['openie'];[1];yes;y;y;;;;;;1;;;
199;ontologies;proposes;ontology alignment;['openie'];[1];yes;n;y;;;;;;0;;;
99;ontologies;uses;ontology alignment;['heuristic', 'heuristic', 'luanyi'];[204, 338, 2];yes;n;y;;;;;;0;;;
322;ontologies;represents;resource description framework (rdf);['heuristic'];[159];yes;n;y;;;;;;0;;;
438;ontologies;uses;resource description framework (rdf);['openie', 'heuristic'];[2, 91];yes;y;y;;;;;;1;;;
537;ontologies;produces;semantic description;['heuristic', 'openie'];[56];yes;y;y;;;;;;1;;;
499;ontologies;provides;semantic description;['heuristic'];[23];yes;y;y;;;;;;1;;;
777;ontologies;uses;semantic search engine;['heuristic'];[15];yes;y;y;;;;;;1;;;
545;ontologies;executes;semantic search engines;['openie'];[2];yes;n;n;;;;;;1;;;
115;ontologies;provides;semantic search engines;['heuristic'];[151];yes;n;n;;;;;;1;;;
312;ontologies;uses;semantic web services;['heuristic'];[226];yes;y;n;;;;;;0;;;
86;ontologies;uses;web ontology language;['heuristic', 'openie', 'heuristic', 'openie', 'luanyi', 'luanyi'];[391, 11, 418, 9, 25, 8];yes;y;y;;;;;;1;;;
1039;ontology alignment;supports;access control;['heuristic'];[4.0];no;n;n;;;;;;1;;;
718;ontology alignment;uses;answering queries;['heuristic'];[7];yes;y;n;;;;;;0;;;
305;ontology alignment;uses;argumentation;['luanyi', 'heuristic'];[2, 1];yes;y;y;;;;;;1;;;
14;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes;y;y;;;;;;1;;;
1040;ontology alignment;base;background knowledge;['heuristic'];[4.0];no;n;y;;;;;;0;;;
536;ontology alignment;uses;background knowledge;['luanyi'];[1];yes;y;y;;;;;;1;;;
290;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
1202;ontology alignment;executes;belief propagation;['heuristic'];[3.0];no;n;y;;;;;;0;;;
655;ontology alignment;uses;clone detection;['heuristic'];[1];yes;y;y;;;;;;1;;;
1203;ontology alignment;proposes;clustering algorithms;['heuristic'];[3.0];no;n;n;;;;;;1;;;
944;ontology alignment;is;communication;['heuristic'];[5.0];no;n;n;;;;;;1;;;
488;ontology alignment;produces;communication;['openie'];[1];yes;n;n;;;;;;1;;;
662;ontology alignment;supports;communication;['heuristic'];[8];yes;y;n;;;;;;0;;;
945;ontology alignment;uses;communication;['heuristic'];[5.0];no;n;n;;;;;;1;;;
560;ontology alignment;is;computer science;['luanyi'];[1];yes;n;y;;;;;;0;;;
189;ontology alignment;executes;concept similarity;['heuristic'];[21];yes;y;y;;;;;;1;;;
272;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes;y;y;;;;;;1;;;
335;ontology alignment;is;data integration;['heuristic'];[20];yes;y;y;;;;;;1;;;
946;ontology alignment;provides;data integration;['heuristic'];[5.0];no;y;y;;;;;;1;;;
1204;ontology alignment;provides;data mining;['heuristic'];[3.0];no;n;y;;;;;;0;;;
638;ontology alignment;uses;decision tables;['heuristic'];[1];yes;y;y;;;;;;1;;;
866;ontology alignment;uses;description logics;['heuristic', 'heuristic'];[6.0, 1.0];no;y;y;;;;;;1;;;
1041;ontology alignment;proposes;design knowledge;['heuristic'];[4.0];no;y;y;;;;;;1;;;
376;ontology alignment;uses;distributed environments;['luanyi'];[1];yes;y;y;;;;;;1;;;
1205;ontology alignment;requires;domain knowledge;['heuristic'];[3.0];no;y;y;;;;;;1;;;
776;ontology alignment;uses;domain knowledge;['heuristic'];[5];yes;y;y;;;;;;1;;;
867;ontology alignment;produces;domain-specific ontologies;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1206;ontology alignment;selects;domain-specific ontologies;['heuristic'];[3.0];no;n;y;;;;;;0;;;
120;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[1, 3];yes;y;y;;;;;;1;;;
1042;ontology alignment;produces;education;['heuristic'];[4.0];no;n;n;;;;;;1;;;
281;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes;n;n;;;;;;1;;;
1207;ontology alignment;produces;engineering;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1043;ontology alignment;uses;engineering;['heuristic'];[4.0];no;y;n;;;;;;0;;;
1208;ontology alignment;proposes;extensible markup language (xml);['heuristic'];[3.0];no;n;n;;;;;;1;;;
1209;ontology alignment;represents;faculty;['heuristic'];[3.0];no;n;n;;;;;;1;;;
673;ontology alignment;uses;formal concept analysis (fca);['heuristic'];[3];yes;y;y;;;;;;1;;;
528;ontology alignment;uses;fuzzy logics;['luanyi', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
190;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes;y;y;;;;;;1;;;
1044;ontology alignment;proposes;graph theory;['heuristic'];[4.0];no;n;n;;;;;;1;;;
579;ontology alignment;uses;grid environments;['luanyi'];[2];yes;y;y;;;;;;1;;;
691;ontology alignment;uses;hownet;['heuristic'];[1];yes;y;y;;;;;;1;;;
630;ontology alignment;uses;image retrieval;['heuristic', 'heuristic'];[1, 2];yes;y;y;;;;;;1;;;
1045;ontology alignment;improves;inference;['heuristic'];[4.0];no;n;y;;;;;;0;;;
87;ontology alignment;is;information integration;['luanyi', 'heuristic'];[2, 4];yes;y;y;;;;;;1;;;
1046;ontology alignment;represents;information integration;['heuristic'];[4.0];no;n;n;;;;;;1;;;
947;ontology alignment;converts;information retrieval;['heuristic'];[5.0];no;n;n;;;;;;1;;;
1047;ontology alignment;is;information sharing;['heuristic'];[4.0];no;n;y;;;;;;0;;;
664;ontology alignment;is;information systems;['heuristic'];[5];yes;n;y;;;;;;0;;;
400;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes;n;y;;;;;;0;;;
753;ontology alignment;uses;knowledge bases;['heuristic'];[2];yes;y;y;;;;;;1;;;
1048;ontology alignment;provides;knowledge exchange;['heuristic'];[4.0];no;n;y;;;;;;0;;;
244;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes;y;y;;;;;;1;;;
1210;ontology alignment;is;knowledge management;['heuristic'];[3.0];no;n;y;;;;;;0;;;
677;ontology alignment;supports;knowledge-sharing;['heuristic'];[5];yes;y;y;;;;;;1;;;
747;ontology alignment;uses;linked data;['heuristic'];[1];yes;y;y;;;;;;1;;;
868;ontology alignment;publishes;linked open data;['heuristic'];[6.0];no;n;n;;;;;;1;;;
948;ontology alignment;supports;linked open data;['heuristic'];[5.0];no;y;y;;;;;;1;;;
615;ontology alignment;uses;machine learning techniques;['luanyi'];[1];yes;y;y;;;;;;1;;;
1211;ontology alignment;defines;matching algorithm;['heuristic'];[3.0];no;y;y;;;;;;1;;;
73;ontology alignment;is;modeling languages;['luanyi'];[1];yes;y;n;;;;;;0;;;
411;ontology alignment;uses;mutual informations;['luanyi'];[1];yes;y;y;;;;;;1;;;
949;ontology alignment;base;natural language processing systems;['heuristic'];[5.0];no;n;y;;;;;;0;;;
218;ontology alignment;is;ontologies;['luanyi'];[1];yes;n;n;;;;;;1;;;
207;ontology alignment;reuses;ontologies;['openie'];[1];yes;y;y;;;;;;1;;;
34;ontology alignment;uses;ontologies;['heuristic', 'luanyi', 'heuristic', 'heuristic'];[111, 1, 429, 269];yes;y;y;;;;;;1;;;
1212;ontology alignment;provides;ontology building;['heuristic'];[3.0];no;n;n;;;;;;1;;;
502;ontology alignment;is;ontology construction;['luanyi'];[1];yes;n;n;;;;;;1;;;
456;ontology alignment;uses;ontology construction;['luanyi'];[1];yes;y;y;;;;;;1;;;
1049;ontology alignment;combines;ontology evolution;['heuristic'];[4.0];no;n;y;;;;;;0;;;
77;ontology alignment;uses;ontology integration;['luanyi'];[1];yes;y;y;;;;;;1;;;
1213;ontology alignment;is;ontology merging;['heuristic'];[3.0];no;n;n;;;;;;1;;;
500;ontology alignment;uses;ontology technology;['luanyi'];[1];yes;y;y;;;;;;1;;;
435;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes;y;y;;;;;;1;;;
231;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes;y;n;;;;;;0;;;
357;ontology alignment;uses;posterior probability;['luanyi'];[1];yes;y;y;;;;;;1;;;
1050;ontology alignment;proposes;product design;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1214;ontology alignment;executes;reasoning algorithms;['heuristic'];[3.0];no;n;y;;;;;;0;;;
1215;ontology alignment;matches;reasoning algorithms;['heuristic'];[3.0];no;n;n;;;;;;1;;;
869;ontology alignment;provides;reasoning algorithms;['heuristic'];[6.0];no;n;y;;;;;;0;;;
403;ontology alignment;uses;relational database systems;['luanyi'];[1];yes;y;y;;;;;;1;;;
447;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes;y;y;;;;;;1;;;
950;ontology alignment;provides;semantic data;['heuristic'];[5.0];no;y;y;;;;;;1;;;
245;ontology alignment;is;semantic description;['luanyi'];[2];yes;n;n;;;;;;1;;;
870;ontology alignment;limits;semantic heterogeneity;['heuristic'];[6.0];no;y;n;;;;;;0;;;
93;ontology alignment;provides;semantic interoperability;['openie'];[4];yes;y;y;;;;;;1;;;
570;ontology alignment;supports;semantic interoperability;['openie'];[1];yes;y;y;;;;;;1;;;
375;ontology alignment;uses;semantic interoperability;['luanyi', 'luanyi'];[1, 2];yes;y;n;;;;;;0;;;
581;ontology alignment;includes;semantic relationships;['luanyi'];[1];yes;y;n;;;;;;0;;;
535;ontology alignment;uses;semantic relationships;['luanyi', 'heuristic'];[1, 2];yes;y;y;;;;;;1;;;
822;ontology alignment;executes;semantic similarity measures;['heuristic'];[7.0];no;y;y;;;;;;1;;;
1051;ontology alignment;proposes;semantic web services;['heuristic'];[4.0];no;n;n;;;;;;1;;;
301;ontology alignment;is;semantic web technologies;['luanyi', 'luanyi', 'heuristic', 'heuristic'];[1, 9, 67, 43];yes;y;y;;;;;;1;;;
69;ontology alignment;uses;semantic web technologies;['luanyi', 'luanyi'];[2, 5];yes;y;y;;;;;;1;;;
1052;ontology alignment;represents;sensor data;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1216;ontology alignment;is;text categorization;['heuristic'];[3.0];no;n;n;;;;;;1;;;
562;ontology alignment;uses;vector space models;['luanyi'];[1];yes;y;y;;;;;;1;;;
215;ontology alignment;is;web of data;['luanyi'];[1];yes;n;n;;;;;;1;;;
1053;ontology alignment;provides;web of data;['heuristic'];[4.0];no;n;y;;;;;;0;;;
783;ontology alignment;provides;web ontology language;['heuristic'];[8.0];no;n;n;;;;;;1;;;
1217;ontology alignment;converts;web service composition;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1218;ontology alignment;improves;web services discovery;['heuristic'];[3.0];no;y;n;;;;;;0;;;
527;ontology alignment;uses;wordnet;['luanyi'];[1];yes;y;y;;;;;;1;;;
1219;ontology building;proposes;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
33;ontology construction;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1054;ontology construction;acquires;ontology alignment;['heuristic'];[4.0];no;n;n;;;;;;1;;;
1055;ontology construction;supports;resource description framework (rdf);['heuristic'];[4.0];no;y;n;;;;;;0;;;
709;ontology construction;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
704;ontology construction;uses;semantic description;['heuristic'];[2];yes;y;y;;;;;;1;;;
951;ontology construction;supports;web ontology language;['heuristic'];[5.0];no;n;n;;;;;;1;;;
310;ontology construction;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
621;ontology design;uses;web ontology language;['heuristic'];[1];yes;n;y;;;;;;0;;;
1056;ontology development;supports;resource description framework (rdf);['heuristic'];[4.0];no;y;n;;;;;;0;;;
125;ontology development;uses;web ontology language;['luanyi'];[2];yes;y;y;;;;;;1;;;
121;ontology evolution;is;semantic description;['luanyi'];[1];yes;n;n;;;;;;1;;;
36;ontology integration;includes;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
1220;ontology integration;provides;semantic web services;['heuristic'];[3.0];no;y;n;;;;;;0;;;
397;ontology language;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
680;ontology language;defines;semantic web services;['heuristic'];[18];yes;y;n;;;;;;0;;;
223;ontology language;proposes;web ontology language;['heuristic'];[82];yes;n;y;;;;;;0;;;
823;ontology language;provides;web ontology language;['heuristic'];[7.0];no;n;y;;;;;;0;;;
714;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y;y;;;;;;1;;;
534;ontology learning;is;semantic description;['luanyi'];[2];yes;n;n;;;;;;1;;;
1221;ontology merging;produces;ontology alignment;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1057;ontology modeling;matches;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
555;ontology modeling;uses;web ontology language;['luanyi'];[1];yes;y;y;;;;;;1;;;
608;open source software;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1058;optimization;learns;ontology alignment;['heuristic'];[4.0];no;n;n;;;;;;1;;;
702;organizational memory;uses;resource description framework (rdf);['heuristic'];[1];yes;y;n;;;;;;0;;;
178;parsing algorithm;uses;linked data;['luanyi'];[1];yes;y;y;;;;;;1;;;
1222;pattern;produces;linked data;['heuristic'];[3.0];no;n;?;;;;;;0;;;
1059;pattern;supports;semantic description;['heuristic'];[4.0];no;n;?;;;;;;0;;;
1060;pervasive;combines;semantic web services;['heuristic'];[4.0];no;n;n;;;;;;1;;;
646;pervasive computing;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
289;petri nets;uses;semantic web services;['heuristic'];[23];yes;y;n;;;;;;0;;;
321;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes;y;y;;;;;;1;;;
734;privacy;uses;web ontology language;['heuristic'];[1];yes;n;y;;;;;;0;;;
710;product configuration;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
633;product family design;uses;web ontology language;['heuristic'];[1];yes;y;y;;;;;;1;;;
752;programming languages;uses;semantic description;['heuristic'];[1];yes;n;y;;;;;;0;;;
766;propositional logic;uses;web ontology language;['heuristic'];[1];yes;y;n;;;;;;0;;;
952;query execution;executes;linked data;['heuristic'];[5.0];no;n;n;;;;;;1;;;
123;query expansion;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
561;query processing;links;linked data;['heuristic'];[20];yes;y;y;;;;;;1;;;
266;query processing;uses;ontology alignment;['luanyi'];[1];yes;y;y;;;;;;1;;;
824;question answering systems;links;linked data;['heuristic'];[7.0];no;y;n;;;;;;0;;;
230;question answering systems;uses;linked data;['luanyi'];[3];yes;y;y;;;;;;1;;;
173;question answering systems;uses;ontology alignment;['luanyi'];[3];yes;y;y;;;;;;1;;;
138;question answering systems;uses;semantic search engine;['luanyi'];[1];yes;y;y;;;;;;1;;;
1061;question answering systems;acquires;semantic search engines;['heuristic'];[4.0];no;y;n;;;;;;0;;;
784;question answering systems;links;semantic search engines;['heuristic'];[8.0];no;n;n;;;;;;1;;;
953;radio frequency identification technology;combines;semantic web services;['heuristic'];[5.0];no;n;n;;;;;;1;;;
114;rdf data;interacts;linked data;['heuristic'];[22];yes;n;n;;;;;;1;;;
472;rdf data;uses;resource description framework (rdf);['heuristic'];[29];yes;y;y;;;;;;1;;;
1223;rdf data;converts;semantic search engine;['heuristic'];[3.0];no;n;n;;;;;;1;;;
374;rdf data;uses;semantic search engine;['openie', 'luanyi'];[1, 1];yes;n;y;;;;;;0;;;
1224;rdf data;converts;semantic search engines;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1062;rdf data;provides;web ontology language;['heuristic'];[4.0];no;n;n;;;;;;1;;;
871;rdf graph;maintains;linked data;['heuristic'];[6.0];no;y;n;;;;;;0;;;
785;rdf graph;includes;resource description framework (rdf);['heuristic'];[8.0];no;y;y;;;;;;1;;;
684;re-engineering;uses;linked data;['heuristic'];[4];yes;y;y;;;;;;1;;;
825;reasoning algorithms;executes;ontology alignment;['heuristic'];[7.0];no;y;n;;;;;;0;;;
954;reasoning algorithms;represents;ontology alignment;['heuristic'];[5.0];no;n;n;;;;;;1;;;
955;reasoning algorithms;supports;ontology alignment;['heuristic'];[5.0];no;y;y;;;;;;1;;;
826;reasoning algorithms;produces;semantic description;['heuristic'];[7.0];no;y;y;;;;;;1;;;
1225;reasoning algorithms;is;web ontology language;['heuristic'];[3.0];no;n;n;;;;;;1;;;
329;reasoning algorithms;uses;web ontology language;['luanyi', 'heuristic', 'openie'];[1, 47, 1];yes;y;y;;;;;;1;;;
255;recommendation;is;linked data;['luanyi'];[1];yes;n;n;;;;;;1;;;
656;recommendation;uses;linked data;['heuristic'];[18];yes;y;y;;;;;;1;;;
956;recommendation;defines;resource description framework (rdf);['heuristic'];[5.0];no;n;n;;;;;;1;;;
764;recommendation;uses;web ontology language;['heuristic'];[7];yes;y;y;;;;;;1;;;
571;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 8];yes;n;y;;;;;;0;;;
393;recommender systems;includes;semantic web services;['luanyi'];[1];yes;y;n;;;;;;0;;;
460;relation extraction;uses;semantic search engine;['luanyi'];[1];yes;y;y;;;;;;1;;;
627;relational database systems;uses;ontology alignment;['heuristic'];[1];yes;y;n;;;;;;0;;;
294;relational database systems;uses;resource description framework (rdf);['heuristic'];[29];yes;y;y;;;;;;1;;;
1226;relational database systems;produces;semantic description;['heuristic'];[3.0];no;y;n;;;;;;0;;;
1063;relevance feedback;acquires;linked data;['heuristic'];[4.0];no;n;n;;;;;;1;;;
211;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes;n;y;;;;;;0;;;
1227;resource description framework (rdf);supports;access control;['heuristic'];[3.0];no;n;y;;;;;;0;;;
632;resource description framework (rdf);uses;access control;['heuristic'];[1];yes;n;y;;;;;;0;;;
957;resource description framework (rdf);uses;bdd;['heuristic'];[5.0];no;n;?;;;;;;0;;;
1228;resource description framework (rdf);affects;bibliographic data;['heuristic'];[3.0];no;n;n;;;;;;1;;;
872;resource description framework (rdf);uses;cloud computing;['heuristic'];[6.0];no;n;y;;;;;;0;;;
1064;resource description framework (rdf);improves;collaborative work;['heuristic'];[4.0];no;y;n;;;;;;0;;;
1065;resource description framework (rdf);produces;compilers;['heuristic'];[4.0];no;n;n;;;;;;1;;;
566;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes;n;n;;;;;;1;;;
149;resource description framework (rdf);is;component-based software engineering;['luanyi'];[1];yes;y;n;;;;;;0;;;
1229;resource description framework (rdf);provides;component-based software engineering;['heuristic'];[3.0];no;n;n;;;;;;1;;;
1230;resource description framework (rdf);acquires;computer graphics equipment;['heuristic'];[3.0];no;n;n;;;;;;1;;;
724;resource description framework (rdf);uses;computer science;['heuristic'];[1];yes;n;y;;;;;;0;;;
433;resource description framework (rdf);provides;data integration;['openie'];[2];yes;n;y;;;;;;0;;;
1066;resource description framework (rdf);supports;data integration;['heuristic'];[4.0];no;y;y;;;;;;1;;;
1231;resource description framework (rdf);produces;database systems;['heuristic'];[3.0];no;n;y;;;;;;0;;;
430;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes;n;y;;;;;;0;;;
958;resource description framework (rdf);interacts;dbpedia;['heuristic'];[5.0];no;n;n;;;;;;1;;;
873;resource description framework (rdf);uses;dbpedia;['heuristic'];[6.0];no;n;n;;;;;;1;;;
786;resource description framework (rdf);uses;description logics;['heuristic'];[8.0];no;y;y;;;;;;1;;;
90;resource description framework (rdf);uses;digital libraries;['luanyi', 'heuristic'];[1, 9];yes;n;y;;;;;;0;;;
721;resource description framework (rdf);represents;domain knowledge;['heuristic'];[5];yes;y;y;;;;;;1;;;
1067;resource description framework (rdf);proposes;education;['heuristic'];[4.0];no;n;n;;;;;;1;;;
