,s,p,o,source,support
559,semantic web services,uses,collaborative tagging,luanyi,1
560,ontology alignment,uses,description logics,heuristic,1
561,reasoning algorithms,uses,semantic web services,heuristic,19
562,semantic interoperability,uses,web ontology language,luanyi,2
563,linked data,conjunction,knowledge representation,luanyi,1
564,web service description,uses,semantic web services,luanyi,6
565,learning,uses,resource description framework (rdf),heuristic,9
566,propositional logic,uses,web ontology language,heuristic,1
567,grid computing,is,semantic web services,luanyi,1
568,semantic web services,uses,ontology language,luanyi,1
569,resource description framework (rdf),conjunction,data integration,luanyi,1
570,semantic search engines,conjunction,image search,luanyi,1
571,ontology alignment,uses,domain-specific ontologies,heuristic,3
572,business logic,uses,semantic web services,luanyi,1
573,linked open data,conjunction,semantic search engines,luanyi,2
574,semantic web services,uses,mobile devices,heuristic,1
575,ontology development,conjunction,ontology alignment,heuristic,1
576,engineering,converts,linked data,heuristic,10
577,semantic search engines,uses,automatic image annotation,luanyi,1
578,security models,uses,resource description framework (rdf),luanyi,1
579,ontology alignment,conjunction,question answering systems,luanyi,1
580,inference,is,semantic search engine,luanyi,1
581,cloud computing,conjunction,semantic web services,luanyi,1
582,semantic metadata,uses,resource description framework (rdf),heuristic,1
583,zig-bee,conjunction,web ontology language,luanyi,1
584,domain knowledge,uses,semantic web services,luanyi,1
585,automated systems,uses,ontology alignment,luanyi,1
586,semantic web service discovery,conjunction,semantic search engines,luanyi,1
587,open source software,uses,linked data,luanyi,1
588,ontology design,uses,web ontology language,heuristic,1
589,linked data,improves,web contents,openie,1
590,dublin core,conjunction,resource description framework (rdf),luanyi,3
591,semantic web services,supports,automated reasoning,openie,2
592,linked data,links,authentication,heuristic,11
593,keyword search,uses,linked data,luanyi,2
594,semantic search engines,conjunction,recommendation,luanyi,1
595,product family design,uses,web ontology language,heuristic,1
596,relational database systems,uses,ontology alignment,heuristic,1
597,activity recognition,uses,resource description framework (rdf),heuristic,1
598,ontology alignment,uses,controlled natural language,luanyi,1
599,semantic search engines,conjunction,cloud computing,luanyi,3
600,semantic search engines,uses,web ontology language,heuristic,4
601,web ontology language,supports,reasoning algorithms,openie,1
602,semantic web technologies,conjunction,linked data,luanyi,17
603,semantic search engines,provides,natural languages,heuristic,9
604,access control mechanism,uses,web ontology language,heuristic,1
605,web ontology language,is,knowledge management,luanyi,1
606,semantic search engines,conjunction,reasoning algorithms,luanyi,2
607,natural language processing systems,uses,semantic description,heuristic,1
608,authorization,uses,web ontology language,heuristic,4
609,ontology alignment,uses,bayesian networks,luanyi,1
610,resource discovery,uses,linked data,heuristic,1
611,semantic search engines,uses,web ontology language,luanyi,2
612,linked data,uses,natural languages,heuristic,7
613,linked data,conjunction,text mining,luanyi,1
614,semantic search engine,conjunction,recommendation systems,luanyi,1
615,semantic description,uses,ontologies,luanyi,6
616,artificial intelligence,conjunction,semantic web services,heuristic,1
617,ubiquitous computing environment,uses,web ontology language,heuristic,5
618,linked open data,conjunction,semantic search engine,luanyi,1
619,domain knowledge,uses,semantic description,luanyi,1
620,component-based software engineering,selects,semantic web services,heuristic,13
621,automatic translation,uses,web ontology language,luanyi,2
622,wiki,is,linked data,luanyi,1
623,java,conjunction,web ontology language,luanyi,2
624,ontology construction,uses,semantic descriptions,heuristic,2
625,knowledge representation and reasoning,uses,resource description framework (rdf),luanyi,1
626,ontology evaluation,conjunction,ontology alignment,heuristic,1
627,ontology alignment,conjunction,ontology alignment,heuristic,4
628,ontology evolution,conjunction,ontology alignment,luanyi,1
629,semantic descriptions,uses,semantic description,heuristic,1
630,twitter,is,linked data,luanyi,1
631,keyword search,conjunction,semantic search engines,luanyi,5
632,ontology technology,conjunction,web ontology language,luanyi,2
633,link prediction,conjunction,semantic search engines,luanyi,1
634,semantic interoperability,uses,semantic web services,luanyi,1
635,web ontology language,includes,component-based software engineering,heuristic,10
636,semantic search engines,conjunction,wordnet,luanyi,1
637,user navigation,uses,semantic search engines,luanyi,1
638,semantic web services,produces,service matching,heuristic,9
639,resource description framework (rdf),produces,inference,heuristic,26
640,semantic similarity measures,uses,ontology alignment,luanyi,1
641,ontology alignment,conjunction,service orchestration,heuristic,1
642,data management,uses,linked data,heuristic,14
643,semantic web services,uses,resource description framework (rdf),luanyi,1
644,semantic web services,uses,mobile devices,luanyi,1
645,component-based software engineering,uses,web ontology language,heuristic,14
646,commerce,conjunction,semantic web services,heuristic,1
647,product configuration,uses,web ontology language,heuristic,1
648,semantic web services,uses,text clustering,luanyi,1
649,ontology alignment,conjunction,knowledge acquisition,luanyi,2
650,user profiling,conjunction,semantic search engines,heuristic,1
651,resource description framework (rdf),conjunction,learning object metadata,luanyi,1
652,semantic search engine,uses,ontologies,luanyi,5
653,semantic search engines,uses,digital images,heuristic,1
654,wiki,provides,semantic search engines,openie,1
655,controlled vocabulary,uses,web ontology language,heuristic,2
656,semantic web services,proposes,web service composition,heuristic,19
657,fuzzy ontology,uses,web ontology language,heuristic,4
658,web ontology language,conjunction,pervasive computing,luanyi,1
659,semantic description,uses,fuzzy logics,luanyi,1
660,semantic search engines,conjunction,information fusion,heuristic,1
661,domain knowledge,uses,web ontology language,luanyi,3
662,access control mechanism,uses,web ontology language,luanyi,1
663,intelligent tutoring systems,uses,web ontology language,luanyi,1
664,ontology alignment,uses,vector space models,luanyi,1
665,web ontology language,defines,engine,heuristic,11
666,linked data,conjunction,software development life cycle,luanyi,1
667,resource description framework (rdf),uses,rdf graph,heuristic,21
668,information retrieval,uses,semantic description,heuristic,1
669,web ontology language,provides,tool support,heuristic,4
670,machine translation systems,conjunction,ontology alignment,luanyi,1
671,answer set programming,conjunction,web ontology language,luanyi,1
672,resource description framework (rdf),acquires,domain knowledge,heuristic,9
673,process management,combines,semantic web services,heuristic,9
674,xml technology,uses,semantic search engines,heuristic,1
675,semantic web services,uses,business logic,luanyi,1
676,voicexml,conjunction,resource description framework (rdf),luanyi,4
677,knowledge exchange,uses,resource description framework (rdf),luanyi,1
678,semantic web services,conjunction,grid services,luanyi,2
679,linked data,produces,dbpedia,heuristic,37
680,semantic data,uses,web ontology language,heuristic,2
681,robots,uses,semantic description,heuristic,2
682,semantic web services,uses,web ontology language,heuristic,3
683,web services discovery,conjunction,ontology alignment,luanyi,1
684,linked data,is,world wide web,luanyi,1
685,database systems,conjunction,semantic search engines,luanyi,1
686,social networks,conjunction,ontology alignment,heuristic,1
687,linked data,conjunction,user interface designs,luanyi,1
688,ontology alignment,uses,mutual informations,luanyi,1
689,validation,conjunction,ontology alignment,luanyi,1
690,semantic relationships,conjunction,semantic search engines,luanyi,10
691,javascript,conjunction,resource description framework (rdf),luanyi,1
692,knowledge-sharing,conjunction,semantic search engines,luanyi,1
693,user experience,uses,semantic search engine,luanyi,1
694,artificial intelligence,conjunction,semantic web services,luanyi,1
695,resource description framework (rdf),conjunction,intelligent agents,luanyi,1
696,data security,conjunction,semantic description,luanyi,2
697,web applications,uses,web ontology language,luanyi,1
698,b2b,uses,semantic web services,heuristic,1
699,semantic web services,is,information integration,luanyi,1
700,enterprise architecture,uses,resource description framework (rdf),heuristic,1
701,semantic web service discovery,conjunction,semantic search engines,heuristic,1
702,electrical discharge machining,conjunction,semantic search engine,luanyi,1
703,semantic wikis,conjunction,semantic web services,heuristic,2
704,image search,uses,semantic description,heuristic,1
705,communication,supports,resource description framework (rdf),heuristic,15
706,semantic search engines,uses,information retrieval,heuristic,34
707,image retrieval,uses,ontology alignment,luanyi,1
708,ontology alignment,conjunction,web 2.0,luanyi,1
709,web applications,uses,ontology alignment,luanyi,1
710,inference,uses,resource description framework (rdf),luanyi,2
711,web ontology language,uses,fuzzy logics,luanyi,1
712,semantic web services,uses,semantic web technologies,heuristic,1
713,sparql,links,linked data,heuristic,59
714,information fusion,conjunction,semantic search engines,heuristic,1
715,semantic search engines,conjunction,semantic search engines,luanyi,6
716,internet,links,linked data,heuristic,14
717,ontology alignment,uses,sensors,heuristic,1
718,multimedia contents,uses,web ontology language,heuristic,1
719,ontology alignment,conjunction,facebook,luanyi,1
720,manets,includes,semantic descriptions,luanyi,2
721,enterprise architecture,uses,resource description framework (rdf),luanyi,1
722,ontologies,executes,semantic search engines,openie,2
723,web crawlers,conjunction,resource description framework (rdf),luanyi,1
724,web ontology language,uses,knowledge representation,luanyi,1
725,linked data,conjunction,artificial intelligence,luanyi,1
726,web ontology language,conjunction,resource description framework (rdf),luanyi,30
727,web ontology language,includes,knowledge bases,luanyi,1
728,ontology alignment,uses,ontology technology,luanyi,1
729,ontology alignment,conjunction,blogs,luanyi,1
730,computer science,uses,linked data,luanyi,1
731,information fusion,conjunction,ontology alignment,luanyi,1
732,ontology alignment,uses,argumentation,luanyi,2
733,linked data,provides,libraries,heuristic,52
734,resource description framework (rdf),conjunction,data mining,luanyi,1
735,supervised machine learning,uses,web ontology language,luanyi,1
736,semantic web services,provides,dynamic composition,heuristic,10
737,text mining,conjunction,ontology alignment,heuristic,1
738,semantic web services,uses,natural languages,heuristic,5
739,semantic search engines,conjunction,validation,heuristic,1
740,semantic search engines,produces,internet,heuristic,11
741,resource description framework (rdf),is,social networks,luanyi,1
742,semantic web technologies,uses,semantic search engine,luanyi,2
743,semantic search engines,uses,semantic web services,heuristic,6
744,access control,uses,resource description framework (rdf),heuristic,1
745,information filtering,uses,semantic description,luanyi,1
746,linked data,conjunction,semantic similarity measures,luanyi,2
747,semantic descriptions,is,semantic relationships,luanyi,1
748,semantic search engine,uses,linked data,luanyi,1
749,semantic web services,uses,collaborative filtering algorithms,heuristic,1
750,semantic search engines,uses,resource description framework (rdf),luanyi,1
751,ajax,conjunction,web ontology language,luanyi,1
752,semantic search engines,conjunction,question answering systems,heuristic,6
753,semantic relationships,conjunction,semantic search engine,luanyi,1
754,semantic web services,provides,service execution,heuristic,9
755,search engines,uses,semantic web services,luanyi,2
756,learning objects,uses,ontology alignment,heuristic,1
757,ontology alignment,is,data integration,heuristic,11
758,document classification,conjunction,semantic search engines,luanyi,1
759,semantic descriptions,conjunction,semantic search engine,luanyi,1
760,dbpedia,is,linked data,luanyi,4
761,ontology alignment,conjunction,context modeling,heuristic,1
762,ontology alignment,is,semantic web technologies,luanyi,9
763,ontology alignment,conjunction,information retrieval,luanyi,1
764,resource description framework (rdf),conjunction,web-searching,luanyi,1
765,semantic search engines,conjunction,ontology learning,heuristic,1
766,digital libraries,uses,linked data,luanyi,1
767,web ontology language,is,recommendation,openie,1
768,semantic description,conjunction,biometrics,heuristic,1
769,semantic search engines,uses,inference,luanyi,2
770,security policies,uses,web ontology language,luanyi,1
771,linked data,conjunction,adaptive hypermedia,heuristic,1
772,domain-specific ontologies,uses,web ontology language,luanyi,3
773,ontology modeling,conjunction,ontology alignment,heuristic,1
774,web ontology language,is,modeling languages,luanyi,1
775,knowledge bases,conjunction,resource description framework (rdf),luanyi,2
776,web ontology language,is,semantic web services,luanyi,2
777,ontology building,conjunction,semantic search engines,luanyi,2
778,ontology alignment,uses,fuzzy sets theory,luanyi,1
779,ontology alignment,conjunction,sentence similarity,luanyi,2
780,constraint language,uses,resource description framework (rdf),heuristic,1
781,semantic description,uses,semantic web technologies,heuristic,3
782,extensible markup language,conjunction,web ontology language,luanyi,2
783,mobile applications,uses,semantic description,heuristic,1
784,semantic search engines,conjunction,visualization,luanyi,1
785,data integration,conjunction,ontology alignment,luanyi,3
786,ontology alignment,uses,automated reasoning,luanyi,1
787,semantic web services,uses,mashup,luanyi,1
788,web-mining,conjunction,semantic search engines,luanyi,1
789,cloud computing,is,semantic search engine,luanyi,1
790,semantic web services,uses,database management,luanyi,1
791,data integration,uses,linked data,luanyi,2
792,linked data,conjunction,social networks,luanyi,2
793,semantic search engines,conjunction,semantic interoperability,luanyi,1
794,pervasive,uses,web ontology language,heuristic,1
795,user query,uses,semantic search engine,luanyi,1
796,semantic relationships,uses,linked data,luanyi,2
797,semantic web services,proposes,services discovery,heuristic,12
798,linked data,provides,knowledge bases,heuristic,20
799,semantic search engine,uses,wordnet,luanyi,1
800,web-searching,uses,semantic search engines,luanyi,1
801,linked data,uses,sparql,luanyi,5
802,ontology modeling,conjunction,ontology alignment,luanyi,1
803,linked data,conjunction,process modelling,heuristic,1
804,resource description framework (rdf),includes,component-based software engineering,luanyi,1
805,semantic web services,uses,wi-fi,heuristic,3
806,ontology alignment,conjunction,social networks,heuristic,1
807,linked data,links,data publishing,heuristic,9
808,semantic search engines,conjunction,ontology building,heuristic,1
809,linked data,conjunction,natural language processing systems,luanyi,2
810,web ontology language,conjunction,ontology technology,heuristic,1
811,ontology technology,conjunction,web ontology language,heuristic,1
812,web ontology language,is,logic programming,luanyi,1
813,linked data,produces,internet,heuristic,23
814,ontology alignment,uses,ontology construction,luanyi,1
815,ontology alignment,is,information integration,luanyi,2
816,information integration,conjunction,web ontology language,luanyi,1
817,web applications,uses,resource description framework (rdf),heuristic,4
818,web ontology language,provides,access control,openie,1
819,distributed query processing,uses,linked data,luanyi,1
820,semantic web services,uses,visualization,luanyi,1
821,linked data,uses,natural languages,luanyi,1
822,semantic web services,uses,bayesian classification,luanyi,1
823,policy specification,uses,resource description framework (rdf),luanyi,1
824,semantic web services,uses,ontology integration,luanyi,1
825,knowledge engineering,uses,linked data,luanyi,2
826,web-mining,conjunction,ontology alignment,luanyi,1
827,background knowledge,uses,linked data,heuristic,4
828,web ontology language,provides,ontology modeling,openie,1
829,semantic search engines,conjunction,artificial intelligence,luanyi,1
830,software agents,uses,semantic web services,heuristic,13
831,semantic web services,uses,explicit knowledge,heuristic,2
832,ontology merging,conjunction,ontology alignment,heuristic,1
833,coloured petri nets,represents,semantic web services,heuristic,13
834,semantic search engines,conjunction,ontology construction,heuristic,1
835,semantic search engines,uses,spatial data infrastructure,luanyi,1
836,semantic search engine,includes,component-based software engineering,luanyi,1
837,web engineering,uses,semantic web services,luanyi,1
838,organizational memory,uses,resource description framework (rdf),heuristic,1
839,knowledge representation,conjunction,ontology alignment,luanyi,1
840,coloured petri nets,uses,web ontology language,luanyi,1
841,social search,conjunction,semantic search engines,luanyi,2
842,linked data,uses,software design patterns,luanyi,1
843,knowledge management,conjunction,semantic search engines,luanyi,1
844,supervised machine learning,uses,resource description framework (rdf),heuristic,1
845,linked data,uses,hadoop,heuristic,2
846,domain-specific ontologies,uses,semantic search engines,heuristic,13
847,ontology development,conjunction,web ontology language,luanyi,1
848,education,links,linked data,heuristic,6
849,information extraction,conjunction,ontology alignment,luanyi,1
850,schema matching,conjunction,ontology alignment,luanyi,4
851,hypervisor,is,linked data,luanyi,1
852,semantic web services,conjunction,communication,luanyi,2
853,semantic search engines,uses,mobile phones,heuristic,2
854,ontology alignment,conjunction,clustering algorithms,heuristic,3
855,xpath,conjunction,resource description framework (rdf),luanyi,1
856,web ontology language,includes,ontology construction,luanyi,2
857,web ontology language,is,web ontology language,luanyi,11
858,universities,links,linked data,heuristic,17
859,data publishing,uses,linked data,luanyi,1
860,semantic search engine,uses,database systems,luanyi,1
861,context modeling,conjunction,ontology alignment,luanyi,1
862,learning objects,uses,semantic search engines,luanyi,1
863,vocabulary,converts,web ontology language,heuristic,10
864,web contents,uses,linked data,luanyi,2
865,ontology construction,uses,resource description framework (rdf),heuristic,1
866,linked data,conjunction,query processing,luanyi,2
867,ontology alignment,is,computer science,luanyi,1
868,semantic web services,conjunction,knowledge engineering,luanyi,1
869,semantic search engines,uses,semantic search engine,luanyi,2
870,petri nets,uses,semantic web services,heuristic,23
871,search engines,links,linked data,heuristic,9
872,semantic relationships,uses,ontology alignment,luanyi,1
873,semantic search engines,improves,web searches,openie,1
874,ontology alignment,uses,posterior probability,luanyi,1
875,digital contents,uses,linked data,luanyi,1
876,web ontology language,conjunction,object constraint language,luanyi,1
877,web ontology language,conjunction,semantic relationships,luanyi,3
878,semantic web services,represents,programming models,openie,1
879,knowledge representation,uses,web ontology language,luanyi,1
880,semantic description,supports,reasoning algorithms,openie,1
881,fuzzy clustering techniques,conjunction,semantic web services,luanyi,1
882,machining,uses,web ontology language,heuristic,1
883,web ontology language,conjunction,inference,luanyi,3
884,resource description framework (rdf),conjunction,sparql,luanyi,63
885,digital libraries,conjunction,semantic search engines,heuristic,1
886,semantic web services,uses,distributed applications,luanyi,1
887,enterprise information systems,uses,semantic web services,heuristic,7
888,ontology alignment,uses,interactive visualizations,luanyi,2
889,linked data,uses,relational database systems,luanyi,1
890,semantic search engines,uses,semantic web technologies,luanyi,6
891,semantic search engines,conjunction,information integration,heuristic,3
892,caching,conjunction,web ontology language,luanyi,1
893,resource description framework (rdf),represents,web information,openie,1
894,information sharing,is,resource description framework (rdf),luanyi,1
895,web ontology language,conjunction,sparql,luanyi,31
896,semantic search engines,uses,map-reduce,luanyi,1
897,web ontology language,supports,search engines,heuristic,1
898,resource description framework (rdf),uses,libraries,heuristic,4
899,ontology alignment,conjunction,change detection,heuristic,1
900,word sense disambiguation,conjunction,ontology alignment,luanyi,1
901,linked data,supports,mashup,heuristic,11
902,semantic descriptions,uses,ontologies,luanyi,3
903,semantic search engines,conjunction,knowledge management,luanyi,1
904,resource description framework (rdf),uses,fuzzy cognitive maps,luanyi,1
905,semantic web services,uses,ontology technology,heuristic,3
906,semantic search engines,uses,graph matchings,luanyi,1
907,web engineering,uses,resource description framework (rdf),luanyi,2
908,recommendation,is,linked data,luanyi,1
909,recommendation,uses,web ontology language,heuristic,7
910,linked data,supports,semantic metadata,heuristic,9
911,engine,links,linked data,heuristic,13
912,ontology language,conjunction,web ontology language,luanyi,1
913,verification,uses,web ontology language,heuristic,2
914,knowledge bases,conjunction,linked data,luanyi,1
915,linked data,uses,javascript,heuristic,11
916,semantic search engines,is,natural language processing systems,luanyi,1
917,automatic composition,uses,web ontology language,heuristic,1
918,ontology learning,uses,resource description framework (rdf),heuristic,1
919,web ontology language,produces,world wide web,heuristic,15
920,machine learning techniques,uses,linked data,heuristic,2
921,query processing,links,linked data,heuristic,20
922,semantic search engines,conjunction,question answering systems,luanyi,4
923,ontology building,conjunction,semantic search engines,heuristic,1
924,semantic search engine,uses,semantic web technologies,luanyi,1
925,ontology alignment,conjunction,schema matching,heuristic,3
926,knowledge bases,conjunction,semantic search engines,luanyi,3
927,knowledge exchange,uses,ontology alignment,luanyi,1
928,learning,conjunction,semantic web services,luanyi,2
929,text clustering,uses,semantic search engine,luanyi,1
930,services selection,is,semantic web services,luanyi,1
931,ontology evolution,conjunction,semantic search engines,luanyi,1
932,semantic search engines,uses,ontologies,luanyi,16
933,engine,uses,resource description framework (rdf),heuristic,10
934,semantic search engines,conjunction,social search,luanyi,1
935,web ontology language,conjunction,optimization,luanyi,1
936,resource description framework (rdf),is,semantic relationships,luanyi,2
937,ontology construction,uses,linked data,luanyi,1
938,web 2.0,conjunction,ontology alignment,heuristic,1
939,ontology alignment,uses,grid environments,luanyi,2
940,libraries,uses,resource description framework (rdf),openie,1
941,semantic web services,uses,formal models,luanyi,2
942,semantic description,conjunction,data security,heuristic,2
943,hypervisor,conjunction,web ontology language,luanyi,1
944,knowledge discovery,uses,linked data,luanyi,3
945,semantic search engine,conjunction,semantic web services,luanyi,1
946,ontology alignment,uses,hownet,heuristic,1
947,supply chain coordination,uses,semantic web services,luanyi,2
948,linked data,conjunction,ontologies,luanyi,3
949,semantic search engines,uses,linked open data,heuristic,8
950,semantic web services,conjunction,blogging,luanyi,2
951,information retrieval,conjunction,ontology alignment,luanyi,1
952,semantic web services,uses,modeling languages,luanyi,2
953,semantic search engines,conjunction,ontology construction,luanyi,1
954,information systems,uses,linked data,luanyi,1
955,semantic web services,uses,linear logic,heuristic,3
956,semantic relationships,conjunction,semantic descriptions,luanyi,1
957,linked data,provides,data integration,openie,1
958,named entity recognition,uses,linked data,heuristic,2
959,resource description framework (rdf),is,linked open data,luanyi,8
960,information acquisitions,uses,semantic search engines,luanyi,1
961,semantic web services,conjunction,ontology technology,luanyi,1
962,grid computing,conjunction,semantic search engines,luanyi,1
963,ubiquitous computing,uses,web ontology language,heuristic,1
964,semantic web services,uses,semantic web technologies,luanyi,19
965,ontology alignment,is,distributed environments,heuristic,1
966,semantic description,supports,knowledge discovery,heuristic,1
967,semantic search engines,conjunction,pervasive,heuristic,1
968,web ontology language,uses,knowledge engineering,luanyi,1
969,query processing,uses,ontology alignment,luanyi,1
970,privacy,uses,web ontology language,heuristic,1
971,semantic relationships,uses,semantic description,luanyi,1
972,ontology alignment,conjunction,concept lattices,luanyi,1
973,linked data,is,component-based software engineering,openie,1
974,resource description framework (rdf),uses,digital libraries,luanyi,1
975,semantic search engines,conjunction,interactive visualizations,luanyi,1
976,linked data,conjunction,visualization,luanyi,1
977,semantic search engines,conjunction,semantic relationships,luanyi,1
978,concept similarity,uses,ontology alignment,luanyi,1
979,web ontology language,conjunction,linked data,luanyi,1
980,resource description framework (rdf),produces,semantic web services,heuristic,10
981,semantic search engines,uses,semantic similarity measures,heuristic,13
982,service compositions,uses,semantic description,luanyi,1
983,voicexml,conjunction,web ontology language,luanyi,4
984,intelligent tutoring systems,uses,web ontology language,heuristic,1
985,semantic search engine,uses,semantic relationships,luanyi,2
986,html5,conjunction,linked data,luanyi,1
987,semantic data,conjunction,linked data,luanyi,1
988,web ontology language,is,relational database systems,luanyi,1
989,semantic search engine,uses,semantic data,luanyi,1
990,ontology alignment,conjunction,information extraction,luanyi,1
991,resource description framework (rdf),uses,search engines,heuristic,16
992,ontology alignment,conjunction,engineering,luanyi,2
993,ontologies,conjunction,linked data,luanyi,9
994,data sparsity,uses,linked data,luanyi,1
995,information needs,uses,linked data,luanyi,1
996,resource description framework (rdf),conjunction,web ontology language,luanyi,233
997,semantic web services,uses,web ontology language,luanyi,4
998,ontology alignment,uses,query expansion,heuristic,1
999,semantic search engines,conjunction,natural language understanding,heuristic,2
