,s,p,o,source,support
620,intelligent agents,includes,semantic web services,openie,3
621,semantic description,uses,web ontology language,openie,1
622,semantic description,includes,cloud services,openie,1
623,database systems,includes,linked data,openie,1
624,knowledge bases,includes,semantic web services,openie,1
625,automatic image annotation,includes,semantic search engines,openie,1
626,enterprise information systems,includes,semantic web services,openie,1
627,linked open data,includes,semantic search engine,openie,1
628,web ontology language,includes,object constraint language,openie,1
629,resource description framework (rdf),includes,query processing,openie,1
630,semantic metadata,includes,semantic search engine,openie,1
631,interactive visualizations,includes,ontology alignment,openie,2
632,knowledge bases,includes,linked data,openie,1
633,semantic web services,includes,virtual organizations,openie,1
634,linked data,includes,digital contents,openie,1
635,semantic interoperability,includes,ontology alignment,openie,2
636,semantic web services,provides,automation,openie,4
637,semantic search engine,includes,semantic web services,openie,1
638,data exchange,includes,ontology alignment,openie,1
639,semantic web services,includes,user profiles,openie,1
640,ontology construction,includes,ontology alignment,openie,1
641,knowledge representation,uses,web ontology language,openie,1
642,semantic web services,includes,mobile computing,openie,1
643,linked data,includes,semantic web technologies,openie,10
644,software agents,includes,semantic web services,openie,5
645,ontology-based,includes,web ontology language,openie,22
646,reasoning algorithms,uses,web ontology language,openie,1
647,semantic search engines,includes,knowledge discovery,openie,3
648,ontology alignment,includes,ontology learning,openie,2
649,semantic web services,includes,ontology construction,openie,1
650,information integration,includes,ontology alignment,openie,1
651,linked data,includes,knowledge discovery,openie,4
652,semantic relationships,includes,semantic web services,openie,8
653,virtual organizations,includes,semantic web services,openie,1
654,data integration,includes,semantic web services,openie,2
655,semantic metadata,includes,semantic search engines,openie,1
656,semantic web services,includes,semantic web services,openie,19
657,linked open data,includes,resource description framework (rdf),openie,1
658,data mining,includes,ontology alignment,openie,2
659,semantic web services,includes,web searches,openie,1
660,information retrieval,includes,ontology alignment,openie,4
661,reference architectures,includes,semantic web services,openie,1
662,caching,includes,web ontology language,openie,1
663,data management,includes,semantic search engines,openie,1
664,content management,includes,resource description framework (rdf),openie,1
665,resource description framework (rdf),includes,web information,openie,1
666,grid computing,includes,semantic web services,openie,1
667,resource description framework (rdf),includes,semantic search engines,openie,1
668,ontology alignment,includes,information management,openie,1
669,semantic description,includes,ontology-based,openie,2
670,information retrieval,includes,semantic search engines,openie,6
671,semantic web technologies,includes,linked data,openie,2
672,sparql,includes,resource description framework (rdf),openie,5
673,inference,includes,semantic search engine,openie,1
674,verification,includes,ontology alignment,openie,1
675,data integration,includes,ontology alignment,openie,1
676,linked data,includes,information integration,openie,1
677,semantic search engines,includes,information contents,openie,1
678,semantic web services,includes,semantic description,openie,2
679,ontology technology,includes,semantic web services,openie,2
680,semantic web services,produces,automatic composition,openie,1
681,digital libraries,includes,linked data,openie,2
682,ontology alignment,includes,natural language processing systems,openie,1
683,ontology alignment,includes,information retrieval,openie,1
684,semantic search engines,includes,web applications,openie,3
685,semantic web technologies,includes,resource description framework (rdf),openie,6
686,web ontology language,includes,vocabulary,openie,2
687,graph theory,includes,semantic web services,openie,1
688,resource description framework (rdf),includes,data exchange,openie,1
689,linked data,includes,background knowledge,openie,3
690,semantic web technologies,includes,semantic web services,openie,19
691,ontology alignment,includes,word sense disambiguation,openie,1
692,semantic description,includes,grid services,openie,1
693,semantic web services,requires,authentication,openie,1
694,web 2.0,includes,semantic web services,openie,4
695,distributed systems,includes,semantic web services,openie,1
696,semantic web technologies,includes,semantic search engine,openie,2
697,natural language processing systems,uses,linked data,openie,1
698,relational database systems,includes,linked data,openie,3
699,semantic web services,includes,intelligent software agent,openie,1
700,on-line communities,includes,semantic web services,openie,1
701,resource description framework (rdf),includes,semantic web technologies,openie,1
702,semantic web services,includes,business process modelling,openie,1
703,semantic descriptions,includes,manets,openie,2
704,machine translation systems,includes,ontology alignment,openie,1
705,automated reasoning,includes,ontology alignment,openie,1
706,relational database systems,includes,resource description framework (rdf),openie,6
707,knowledge bases,includes,resource description framework (rdf),openie,1
708,knowledge representation,includes,ontology alignment,openie,2
709,semantic wikis,includes,semantic search engines,openie,1
710,semantic web technologies,supports,resource description framework (rdf),openie,1
711,resource description framework (rdf),includes,social sciences,openie,1
712,schema matching,includes,ontology alignment,openie,1
713,ontology alignment,includes,query processing,openie,1
714,web ontology language,supports,inference,openie,1
715,information integration,includes,linked data,openie,1
716,semantic web services,includes,search engines,openie,4
717,ontology alignment,includes,electronic commerce,openie,1
718,semantic data,includes,semantic search engine,openie,2
719,ontology alignment,includes,semantic heterogeneity,openie,3
720,resource description framework (rdf),includes,sparql,openie,78
721,web ontology language,includes,controlled natural language,openie,1
722,electronic commerce,requires,ontology alignment,openie,1
723,semantic web services,includes,business processes,openie,2
724,services selection,includes,semantic web services,openie,3
725,validation,includes,ontology alignment,openie,1
726,linked data,includes,semantic distance,openie,1
727,semantic web technologies,includes,semantic web services,openie,36
728,semantic search engines,includes,semantic metadata,openie,1
729,clustering algorithms,includes,semantic search engines,openie,1
730,semantic descriptions,is,component-based software engineering,openie,1
731,web services discovery,includes,semantic web services,openie,2
732,network management,includes,semantic web services,openie,1
733,description logics,includes,web ontology language,openie,14
734,resource description framework (rdf),includes,programming languages,openie,1
735,web 2.0,includes,semantic descriptions,openie,1
736,linked data,includes,world wide web,openie,3
737,natural language interfaces,includes,semantic search engine,openie,4
738,ontology alignment,includes,information integration,openie,2
739,database systems,includes,ontology alignment,openie,1
740,speech recognition,includes,semantic search engines,openie,1
741,ontology integration,includes,ontology alignment,openie,3
742,semantic search engines,includes,ontology learning,openie,3
743,semantic web services,includes,web applications,openie,5
744,semantic search engine,includes,web service composition,openie,1
745,heterogeneous databases,includes,semantic descriptions,openie,1
746,semantic description,includes,intelligent agents,openie,2
747,ontology alignment,includes,software maintenance,openie,1
748,linked data,includes,mobile services,openie,1
749,particle swarm optimization algorithms,includes,ontology alignment,openie,1
750,linked data,includes,linked open data,openie,2
751,semantic search engines,includes,semantic search engines,openie,4
752,web-mining,includes,ontology alignment,openie,1
753,web ontology language,includes,semantic search engines,openie,1
754,knowledge representation,includes,semantic search engines,openie,1
755,web ontology language,includes,semantic web technologies,openie,9
756,linked data,includes,artificial intelligence,openie,1
757,web contents,uses,resource description framework (rdf),openie,2
758,semantic search engines,includes,web contents,openie,1
759,ontology alignment,includes,automatic classification,openie,1
760,web ontology language,supports,reasoning algorithms,openie,1
761,ontology alignment,includes,semantic concept,openie,2
762,semantic search engines,includes,text mining,openie,1
763,collaborative filtering algorithms,includes,semantic web services,openie,1
764,augmented reality,includes,linked data,openie,1
765,ontology alignment,includes,semantic relationships,openie,3
766,natural languages,includes,semantic descriptions,openie,1
767,ontology modeling,includes,ontology alignment,openie,1
768,graph matchings,includes,semantic search engines,openie,1
769,semantic web technologies,uses,web ontology language,openie,2
770,resource description framework (rdf),includes,web contents,openie,1
771,web ontology language,includes,data integration,openie,1
772,web ontology language,includes,web contents,openie,2
773,ontology alignment,includes,semantic web technologies,openie,10
774,resource description framework (rdf),includes,knowledge representation and reasoning,openie,1
775,semantic search engines,includes,recommendation,openie,1
776,personalizations,includes,semantic search engines,openie,1
777,ontology alignment,supports,semantic interoperability,openie,1
778,service orchestration,includes,ontology alignment,openie,1
779,knowledge representation,includes,web ontology language,openie,1
780,ontology language,includes,semantic web services,openie,1
781,social software,includes,semantic search engines,openie,1
782,web ontology language,includes,ontology development,openie,1
783,extreme programming,defines,web ontology language,openie,1
784,web ontology language,includes,relational database systems,openie,3
785,ontology alignment,includes,semantic interoperability,openie,10
786,linked data,includes,information systems,openie,3
787,domain-specific ontologies,includes,semantic search engines,openie,4
788,mobile phones,includes,semantic search engines,openie,2
789,web ontology language,supports,search engines,openie,1
790,linked data,includes,information fusion,openie,1
791,semantic search engines,includes,education,openie,1
792,controlled natural language,includes,ontology alignment,openie,1
793,web ontology language,includes,coloured petri nets,openie,1
794,resource description framework (rdf),includes,authentication,openie,1
795,semantic web services,includes,service matching,openie,4
796,rdf graph,includes,semantic search engines,openie,1
797,resource description framework (rdf),includes,ontology language,openie,12
798,information retrieval,includes,semantic web services,openie,4
799,automatic image annotation,supports,semantic search engines,openie,1
800,semantic relationships,includes,web ontology language,openie,1
801,web ontology language,includes,knowledge bases,openie,1
802,feature space,includes,semantic search engines,openie,1
803,semantic web technologies,includes,web ontology language,openie,2
804,knowledge acquisition,includes,semantic web services,openie,1
805,linked data,uses,resource description framework (rdf),openie,1
806,uml profiles,includes,semantic web services,openie,3
807,knowledge management,includes,semantic web services,openie,1
808,data integration,includes,ontology alignment,openie,5
809,answer set programming,includes,web ontology language,openie,1
810,resource description framework (rdf),includes,data management,openie,1
811,ontology alignment,includes,web 2.0,openie,1
812,linked data,includes,semantic similarity measures,openie,4
813,ontology integration,includes,ontology alignment,openie,1
814,semantic web services,includes,web services discovery,openie,6
815,ontology-based,includes,semantic descriptions,openie,4
816,semantic web services,includes,software architectures,openie,2
817,semantic web services,includes,knowledge management,openie,1
818,web-mining,includes,semantic search engines,openie,1
819,ontology alignment,includes,schema matching,openie,1
820,semantic search engines,includes,mobile computing,openie,1
821,semantic web services,includes,dialogue,openie,1
822,artificial intelligence,includes,linked data,openie,1
823,ontology alignment,includes,ontology alignment,openie,2
824,relational data models,includes,semantic search engines,openie,1
825,word sense disambiguation,includes,ontology alignment,openie,1
826,resource description framework (rdf),includes,world wide web,openie,1
827,mashup,includes,semantic web services,openie,1
828,linked data,includes,ontology construction,openie,1
829,ontology alignment,includes,text mining,openie,1
830,semantic web technologies,includes,resource description framework (rdf),openie,2
831,linked data,includes,data sparsity,openie,1
832,web ontology language,includes,semantic web technologies,openie,23
833,resource description framework (rdf),includes,intelligent agents,openie,1
834,semantic web services,includes,recommender systems,openie,1
835,semantic web services,includes,semantic wikis,openie,1
836,semantic search engines,uses,resource description framework (rdf),openie,1
837,semantic web services,includes,process modelling,openie,1
838,document classification,includes,semantic search engines,openie,2
839,kernel functions,includes,ontology alignment,openie,1
840,linked data,includes,schema mappings,openie,1
841,coloured petri nets,includes,semantic web services,openie,2
842,ontology alignment,includes,modeling languages,openie,1
843,semantic search engines,includes,image search,openie,1
844,ontology alignment,includes,semantic data,openie,1
845,resource description framework (rdf),includes,description logics,openie,6
846,ontology alignment,includes,semantic relationships,openie,1
847,resource description framework (rdf),includes,knowledge representation,openie,6
848,domain knowledge,includes,web ontology language,openie,1
849,linked data,includes,social sciences,openie,1
850,semantic search engines,includes,machine translation systems,openie,1
851,background knowledge,includes,ontology alignment,openie,1
852,ontology-based,proposes,ontology alignment,openie,1
853,pervasive computing environments,includes,ontology alignment,openie,1
854,web ontology language,includes,context information,openie,3
855,semantic web services,includes,service compositions,openie,1
856,sparql,includes,semantic web services,openie,1
857,semantic description,includes,systems integration,openie,1
858,sparql,includes,linked data,openie,3
859,information sharing,includes,ontology alignment,openie,1
860,web ontology language,includes,semantic relationships,openie,2
861,linked data,includes,information exchanges,openie,2
862,distributed architectures,includes,semantic web services,openie,1
863,ontology technology,includes,semantic description,openie,1
864,ontology alignment,includes,web services discovery,openie,1
865,z,includes,web ontology language,openie,1
866,web ontology language,includes,collaborative designs,openie,1
867,linked data,includes,knowledge engineering,openie,1
868,web ontology language,includes,context reasoning,openie,2
869,ontology alignment,includes,clustering algorithms,openie,3
870,semantic web services,includes,domain knowledge,openie,1
871,natural language processing systems,includes,ontology alignment,openie,4
872,linked data,improves,web contents,openie,1
873,relational data models,includes,resource description framework (rdf),openie,1
874,voicexml,includes,resource description framework (rdf),openie,4
875,search engines,includes,semantic web services,openie,1
876,document clustering,includes,semantic search engines,openie,1
877,automated reasoning,includes,web ontology language,openie,1
878,information retrieval,includes,ontology alignment,openie,2
879,linked data,supports,parsing algorithm,openie,1
880,ontology-based,includes,semantic search engines,openie,22
881,semantic web services,includes,computer science,openie,1
882,ontology alignment,includes,ontology merging,openie,2
883,semantic web technologies,includes,semantic search engines,openie,5
884,linked data,includes,machine learning techniques,openie,1
885,semantic web services,includes,software development life cycle,openie,1
886,web ontology language,is,resource description framework (rdf),openie,1
887,resource description framework (rdf),includes,enterprise architecture,openie,1
888,semantic web services,includes,automation,openie,1
889,ontology alignment,includes,data integration,openie,1
890,resource description framework (rdf),includes,semantic web technologies,openie,64
891,semantic web services,includes,web contents,openie,1
892,extensible markup language,includes,web ontology language,openie,4
893,semantic description,includes,computer systems,openie,1
894,ontology alignment,includes,semantic web services,openie,2
895,rule engine,includes,linked data,openie,1
896,ontology alignment,includes,query rewritings,openie,1
897,ontology alignment,includes,ontology integration,openie,4
898,search engines,includes,semantic search engines,openie,5
899,web ontology language,includes,java,openie,1
900,communication,includes,semantic web services,openie,1
901,knowledge bases,includes,semantic search engine,openie,1
902,software agents,includes,semantic description,openie,1
903,web ontology language,includes,inference,openie,3
904,web information,includes,semantic description,openie,1
905,ontology learning,includes,ontology alignment,openie,1
906,linked data,includes,relational database systems,openie,1
907,domain-specific ontologies,includes,ontology alignment,openie,1
908,web ontology language,includes,computer systems,openie,1
909,software design patterns,includes,linked data,openie,1
910,web ontology language,includes,resource discovery,openie,1
911,ontology-based,uses,resource description framework (rdf),openie,1
912,cloud computing,includes,semantic search engines,openie,1
913,semantic web services,includes,web engineering,openie,1
914,web ontology language,includes,knowledge representation,openie,3
915,question answering systems,includes,linked data,openie,1
916,resource description framework (rdf),includes,web ontology language,openie,35
917,personalized services,includes,semantic web services,openie,1
918,ontology-based,includes,semantic description,openie,4
919,back propagation neural networks,includes,semantic web services,openie,1
920,database management,includes,semantic web services,openie,1
921,facebook,includes,semantic search engines,openie,1
922,semantic search engine,includes,semantic wikis,openie,1
923,ontology alignment,includes,testing and debugging,openie,1
924,semantic web services,includes,semantic heterogeneity,openie,1
925,ontology alignment,includes,information extraction,openie,1
926,service-oriented computing,includes,semantic web services,openie,1
927,bayesian networks,includes,ontology alignment,openie,1
928,web ontology language,includes,ontology construction,openie,1
929,cloud storages,includes,semantic search engines,openie,1
930,rough sets theory,includes,ontology alignment,openie,1
931,semantic search engines,includes,semantic web technologies,openie,2
932,linked data,includes,information extraction,openie,1
933,semantic web services,includes,knowledge-sharing,openie,1
934,semantic web services,includes,shape optimization,openie,1
935,petri nets,includes,semantic web services,openie,4
936,hierarchical models,includes,semantic search engines,openie,2
937,semantic web services,includes,software agents,openie,3
938,anomaly detection,includes,semantic search engines,openie,1
939,web contents,includes,semantic search engines,openie,1
940,linked data,includes,digital libraries,openie,8
941,ontology alignment,includes,semantic heterogeneity,openie,5
942,resource description framework (rdf),includes,web engineering,openie,2
943,mobile devices,includes,semantic search engines,openie,2
944,xml schemas,includes,resource description framework (rdf),openie,1
945,resource description framework (rdf),includes,knowledge management,openie,1
946,semantic web services,includes,telecommunications industry,openie,2
947,resource description framework (rdf),includes,knowledge management systems,openie,1
948,automatic composition,includes,semantic web services,openie,3
949,linked data,includes,data management,openie,1
950,web ontology language,provides,access control,openie,1
951,web ontology language,includes,dynamic service composition,openie,1
952,fuzzy extension,includes,web ontology language,openie,1
953,semantic relationships,includes,semantic search engine,openie,1
954,semantic search engine,includes,web contents,openie,2
955,linked data,includes,cloud computing,openie,2
956,semantic description,includes,web contents,openie,1
957,energy conservation,includes,semantic web services,openie,1
958,semantic search engines,includes,interactive visualizations,openie,1
959,semantic web technologies,includes,semantic search engines,openie,7
960,xml schemas,includes,web ontology language,openie,10
961,phonology,includes,semantic search engines,openie,1
962,knowledge bases,uses,web ontology language,openie,1
963,ontology alignment,includes,semantic web technologies,openie,1
964,linked data,includes,web applications,openie,4
965,resource description framework (rdf),includes,natural language processing systems,openie,1
966,resource description framework (rdf),includes,relational database systems,openie,1
967,intelligent agents,includes,semantic descriptions,openie,2
968,web ontology language,includes,ontology design,openie,1
969,information integration,includes,semantic web services,openie,4
970,business processes,includes,semantic web services,openie,1
971,vocabulary,includes,linked data,openie,1
972,intranets,includes,semantic web services,openie,1
973,linked data,includes,social networks,openie,2
974,ontology alignment,includes,semantic similarity measures,openie,1
975,cloud computing,includes,semantic web services,openie,1
976,ontology alignment,includes,data exchange,openie,1
977,linked data,includes,vocabulary,openie,1
978,ontology alignment,includes,reasoning algorithms,openie,3
979,pervasive computing,includes,semantic search engines,openie,1
980,fuzzy logics,includes,web ontology language,openie,1
981,knowledge management,includes,semantic search engines,openie,1
982,ontology alignment,includes,ontology alignment,openie,42
983,linked data,includes,semantic relationships,openie,1
984,semantic search engines,includes,social software,openie,1
985,semantic search engines,uses,mobile phones,openie,1
986,web ontology language,is,web ontology language,openie,1
987,extreme programming,includes,linked data,openie,1
988,web ontology language,includes,modeling languages,openie,1
989,semantic description,includes,search engines,openie,1
990,linked data,includes,knowledge bases,openie,1
991,ontology-based,supports,linked data,openie,1
992,database systems,includes,web ontology language,openie,1
993,fuzzy sets theory,includes,ontology alignment,openie,1
994,web ontology language,includes,programming languages,openie,1
995,fuzzy c-means clustering algorithms,includes,ontology alignment,openie,1
996,semantic description,includes,domain knowledge,openie,1
997,semantic descriptions,includes,content management systems,openie,1
998,bayesian classification,includes,semantic web services,openie,1
999,resource description framework (rdf),includes,semantic web technologies,openie,9
1000,programming models,includes,semantic web services,openie,1
1001,semantic description,includes,affective computing,openie,1
1002,social networks,includes,linked data,openie,2
1003,sentence similarity,includes,ontology alignment,openie,2
1004,resource description framework (rdf),includes,computer science,openie,1
1005,ontology alignment,includes,anomaly detection,openie,1
1006,resource description framework (rdf),supports,data exchange,openie,1
1007,open source software,includes,semantic web services,openie,1
1008,query processing,includes,semantic search engine,openie,1
1009,linked data,includes,semantic web technologies,openie,44
1010,database systems,includes,resource description framework (rdf),openie,2
1011,semantic web services,includes,multi-agents,openie,1
1012,digital libraries,includes,semantic web services,openie,2
1013,testing and debugging,includes,ontology alignment,openie,1
1014,information extraction,includes,ontology alignment,openie,1
1015,semantic web services,includes,semantic web technologies,openie,3
1016,linked data,includes,cloud services,openie,1
1017,semantic search engines,includes,ontology construction,openie,1
1018,semantic web services,includes,adaptive systems,openie,1
1019,linked data,includes,geographic information system,openie,1
1020,web ontology language,includes,reasoning algorithms,openie,1
