;s;p;o;annotation (y or n)
709;semantic description;uses;analytic hierarchy process (ahp);
710;semantic description;supports;automated reasoning;
711;semantic description;provides;automation;
712;semantic description;supports;autonomic computing;
751;semantic description;supports;business services;
713;semantic description;improves;cache;
714;semantic description;requires;compilers;
715;semantic description;uses;component-based software engineering;
716;semantic description;produces;content based recommendation (cbr);
717;semantic description;uses;description logics;
718;semantic description;proposes;descriptors;
719;semantic description;improves;digital libraries;
720;semantic description;uses;digital libraries;
721;semantic description;learns;e-learning environment;
722;semantic description;links;engineering;
723;semantic description;affects;extensible markup language (xml);
724;semantic description;uses;formal specifications;
725;semantic description;uses;fuzzy logics;
726;semantic description;uses;haskell;
727;semantic description;acquires;knowledge bases;
728;semantic description;uses;knowledge bases;
729;semantic description;converts-to;knowledge representation;
730;semantic description;proposes;linked data;
731;semantic description;uses;model-driven architectures;
732;semantic description;includes;multimedia data;
733;semantic description;uses;ontologies;
734;semantic description;uses;ontology alignment;
735;semantic description;uses;ontology language;
736;semantic description;uses;parallel programming;
737;semantic description;supports;reasoning algorithms;
738;semantic description;supports;search engines;
739;semantic description;extends;semantic distance;
740;semantic description;extends;semantic relationships;
741;semantic description;provides;semantic relationships;
742;semantic description;uses;semantic relationships;
743;semantic description;provides;semantic web services;
744;semantic description;uses;semantic web technologies;
745;semantic description;provides;sensor data;
746;semantic description;supports;service compositions;
747;semantic description;provides;web ontology language;
748;semantic description;uses;web ontology language;
749;semantic description;provides;wordnet;
750;semantic description;uses;wordnet;
752;semantic descriptions;skos:broader/is/hyponym-of;component-based software engineering;
753;semantic descriptions;uses;heterogeneous databases;
754;semantic descriptions;publishes;linked data;
755;semantic descriptions;uses;ontologies;
756;semantic descriptions;skos:broader/is/hyponym-of;resource description framework (rdf);
757;semantic descriptions;uses;semantic description;
758;semantic descriptions;skos:broader/is/hyponym-of;semantic relationships;
759;semantic descriptions;skos:broader/is/hyponym-of;semantic web technologies;
760;semantic descriptions;uses;semantic web technologies;
761;semantic descriptions;supports;web of data;
762;semantic desktop;uses;linked data;
763;semantic desktop;uses;semantic search engines;
764;semantic distance;uses;linked data;
765;semantic heterogeneity;uses;ontology alignment;
766;semantic heterogeneity;uses;semantic web services;
767;semantic interoperability;provides;linked data;
768;semantic interoperability;uses;ontology alignment;
769;semantic interoperability;supports;semantic search engines;
770;semantic interoperability;converts-to;semantic web services;
771;semantic interoperability;uses;semantic web services;
772;semantic interoperability;includes;web ontology language;
773;semantic interoperability;uses;web ontology language;
774;semantic metadata;uses;resource description framework (rdf);
775;semantic relationships;uses;linked data;
776;semantic relationships;uses;ontology alignment;
777;semantic relationships;converts-to;resource description framework (rdf);
778;semantic relationships;represents;resource description framework (rdf);
779;semantic relationships;selects;semantic description;
780;semantic relationships;uses;semantic description;
781;semantic relationships;represents;semantic web services;
782;semantic relationships;supports;semantic web services;
783;semantic relationships;uses;semantic web services;
784;semantic relationships;uses;web ontology language;
785;semantic search engine;acquires;component-based software engineering;
786;semantic search engine;includes;component-based software engineering;
787;semantic search engine;acquires;database systems;
788;semantic search engine;uses;database systems;
789;semantic search engine;uses;description logics;
790;semantic search engine;produces;domain-specific ontologies;
791;semantic search engine;uses;engine;
792;semantic search engine;combines;information retrieval;
793;semantic search engine;skos:broader/is/hyponym-of;information technology;
794;semantic search engine;acquires;internet;
795;semantic search engine;uses;knowledge bases;
796;semantic search engine;uses;linked data;
797;semantic search engine;supports;linked open data;
798;semantic search engine;uses;natural language interfaces;
799;semantic search engine;provides;natural languages;
800;semantic search engine;produces;ontologies;
801;semantic search engine;uses;ontologies;
802;semantic search engine;acquires;ontology technology;
803;semantic search engine;combines;ontology technology;
804;semantic search engine;uses;ontology technology;
805;semantic search engine;uses;search engines;
806;semantic search engine;uses;semantic data;
807;semantic search engine;uses;semantic relationships;
808;semantic search engine;uses;semantic search engines;
809;semantic search engine;uses;semantic web technologies;
810;semantic search engine;uses;structured query language (sql);
811;semantic search engine;uses;user interfaces;
812;semantic search engine;provides;user query;
813;semantic search engine;supports;visualization;
814;semantic search engine;acquires;web contents;
815;semantic search engine;includes;web information;
816;semantic search engine;uses;wordnet;
817;semantic search engines;produces;access control;
818;semantic search engines;uses;artificial intelligence;
819;semantic search engines;supports;audio;
820;semantic search engines;uses;automatic image annotation;
821;semantic search engines;acquires;background knowledge;
822;semantic search engines;uses;clustering algorithms;
823;semantic search engines;produces;communication;
824;semantic search engines;acquires;component-based software engineering;
825;semantic search engines;skos:broader/is/hyponym-of;component-based software engineering;
826;semantic search engines;proposes;concept lattices;
827;semantic search engines;causes;concept similarity;
828;semantic search engines;uses;data mining;
829;semantic search engines;uses;database systems;
830;semantic search engines;uses;description logics;
831;semantic search engines;uses;digital images;
832;semantic search engines;skos:broader/is/hyponym-of;digital libraries;
833;semantic search engines;provides;domain knowledge;
834;semantic search engines;uses;domain-specific ontologies;
835;semantic search engines;learns;e-learning environment;
836;semantic search engines;uses;electronic documents;
837;semantic search engines;uses;email;
838;semantic search engines;uses;engine;
839;semantic search engines;based-on;extensible markup language (xml);
840;semantic search engines;uses;fuzzy description logic;
841;semantic search engines;uses;graph matchings;
842;semantic search engines;based-on;hierarchical models;
843;semantic search engines;uses;hierarchical models;
844;semantic search engines;uses;index structure;
845;semantic search engines;uses;inference;
846;semantic search engines;supports;information acquisitions;
847;semantic search engines;uses;information needs;
848;semantic search engines;uses;information retrieval;
849;semantic search engines;provides;knowledge bases;
850;semantic search engines;improves;knowledge discovery;
851;semantic search engines;supports;knowledge management;
852;semantic search engines;uses;knowledge representation;
853;semantic search engines;learns;learning;
854;semantic search engines;selects;libraries;
855;semantic search engines;uses;linked data;
856;semantic search engines;uses;linked open data;
857;semantic search engines;uses;map-reduce;
858;semantic search engines;uses;mobile agents;
859;semantic search engines;uses;mobile devices;
860;semantic search engines;uses;mobile phones;
861;semantic search engines;provides;multimedia data;
862;semantic search engines;uses;named entity recognition;
863;semantic search engines;skos:broader/is/hyponym-of;natural language processing systems;
864;semantic search engines;uses;natural language processing systems;
865;semantic search engines;requires;ontologies;
866;semantic search engines;uses;ontologies;
867;semantic search engines;uses;parallelism;
868;semantic search engines;uses;pervasive computing;
869;semantic search engines;improves;process mining;
870;semantic search engines;produces;purchase;
871;semantic search engines;uses;rdf data;
872;semantic search engines;executes;reasoning algorithms;
873;semantic search engines;uses;recommendation;
874;semantic search engines;uses;resource description framework (rdf);
875;semantic search engines;combines;search engines;
876;semantic search engines;requires;search engines;
877;semantic search engines;uses;search engines;
878;semantic search engines;requires;semantic metadata;
879;semantic search engines;uses;semantic relationships;
880;semantic search engines;uses;semantic search engine;
881;semantic search engines;uses;semantic similarity measures;
882;semantic search engines;uses;semantic web services;
883;semantic search engines;based-on;semantic web technologies;
885;semantic search engines;provides;semantic web technologies;
884;semantic search engines;skos:broader/is/hyponym-of;semantic web technologies;
886;semantic search engines;uses;semantic web technologies;
887;semantic search engines;uses;social networks;
888;semantic search engines;uses;sparql;
889;semantic search engines;uses;sparql inferencing notation (spin);
890;semantic search engines;uses;spatial data infrastructure;
891;semantic search engines;selects;stream data;
892;semantic search engines;uses;text mining;
893;semantic search engines;extends;user profiling;
894;semantic search engines;uses;user query;
895;semantic search engines;requires;verification;
896;semantic search engines;uses;vocabulary;
897;semantic search engines;classify;web contents;
898;semantic search engines;includes;web information;
899;semantic search engines;uses;web of data;
900;semantic search engines;uses;web ontology language;
901;semantic search engines;improves;web searches;
902;semantic search engines;produces;web-searching;
903;semantic similarity measures;proposes;linked data;
904;semantic similarity measures;skos:broader/is/hyponym-of;ontology alignment;
905;semantic similarity measures;uses;ontology alignment;
906;semantic similarity measures;extends;semantic description;
907;semantic similarity measures;skos:broader/is/hyponym-of;semantic web services;
908;semantic web rule languages;defines;web ontology language;
909;semantic web rule languages;extends;web ontology language;
911;semantic web rule languages;produces;web ontology language;
910;semantic web rule languages;skos:broader/is/hyponym-of;web ontology language;
912;semantic web service discovery;based-on;ontology alignment;
913;semantic web service discovery;uses;ontology alignment;
914;semantic web service discovery;based-on;semantic web services;
915;semantic web services;based-on;access control;
916;semantic web services;uses;access control;
917;semantic web services;uses;agent technology;
918;semantic web services;uses;answering queries;
919;semantic web services;requires;authentication;
920;semantic web services;supports;automated reasoning;
921;semantic web services;produces;automatic composition;
922;semantic web services;uses;automatic composition;
923;semantic web services;supports;automation;
924;semantic web services;uses;bayesian classification;
925;semantic web services;uses;business logic;
926;semantic web services;uses;business process execution language;
927;semantic web services;produces;business process modelling;
928;semantic web services;uses;collaborative filtering algorithms;
929;semantic web services;uses;collaborative tagging;
930;semantic web services;provides;communication;
931;semantic web services;includes;component-based software engineering;
933;semantic web services;produces;component-based software engineering;
932;semantic web services;skos:broader/is/hyponym-of;component-based software engineering;
934;semantic web services;represents;computer science;
935;semantic web services;extends;context information;
936;semantic web services;combines;cycle;
937;semantic web services;automates;data integration;
938;semantic web services;uses;database management;
939;semantic web services;uses;description logics;
940;semantic web services;uses;distributed applications;
941;semantic web services;uses;distributed architectures;
942;semantic web services;uses;distributed systems;
943;semantic web services;requires;domain-specific ontologies;
944;semantic web services;matches;efficient algorithm;
945;semantic web services;uses;explicit knowledge;
946;semantic web services;uses;extensible markup language (xml);
947;semantic web services;includes;finite state machines;
948;semantic web services;uses;formal models;
949;semantic web services;supports;grid services;
950;semantic web services;proposes;inference;
951;semantic web services;skos:broader/is/hyponym-of;information integration;
952;semantic web services;queries;information retrieval;
953;semantic web services;supports;information systems;
954;semantic web services;extends;information technology;
955;semantic web services;uses;information theory;
956;semantic web services;skos:broader/is/hyponym-of;intelligibility;
957;semantic web services;uses;knowledge acquisition;
958;semantic web services;uses;learning;
959;semantic web services;supports;learning objects;
960;semantic web services;uses;linear logic;
961;semantic web services;links;linked open data;
962;semantic web services;proposes;logistics;
963;semantic web services;uses;machine learning techniques;
964;semantic web services;uses;mashup;
965;semantic web services;uses;matching algorithm;
966;semantic web services;uses;mobile devices;
967;semantic web services;uses;modeling languages;
968;semantic web services;uses;ontologies;
969;semantic web services;uses;ontology alignment;
970;semantic web services;uses;ontology evolution;
971;semantic web services;provides;ontology integration;
972;semantic web services;uses;ontology integration;
973;semantic web services;uses;ontology language;
974;semantic web services;uses;ontology technology;
975;semantic web services;produces;optimization;
976;semantic web services;based-on;planning algorithms;
977;semantic web services;requires;privacy;
978;semantic web services;supports;process discovery;
979;semantic web services;represents;programming models;
980;semantic web services;uses;radio frequency identification technology;
981;semantic web services;supports;reasoning algorithms;
982;semantic web services;uses;reference architectures;
983;semantic web services;uses;resource description framework (rdf);
984;semantic web services;combines;robots;
985;semantic web services;includes;semantic description;
986;semantic web services;produces;semantic description;
987;semantic web services;provides;semantic description;
988;semantic web services;matches;semantic distance;
989;semantic web services;uses;semantic interoperability;
990;semantic web services;improves;semantic relationships;
991;semantic web services;uses;semantic relationships;
992;semantic web services;uses;semantic search engines;
993;semantic web services;based-on;semantic similarity measures;
994;semantic web services;uses;semantic web service discovery;
995;semantic web services;combines;semantic web technologies;
996;semantic web services;skos:broader/is/hyponym-of;semantic web technologies;
997;semantic web services;uses;semantic web technologies;
998;semantic web services;uses;semantic wikis;
999;semantic web services;produces;service architecture;
1000;semantic web services;supports;service compositions;
1001;semantic web services;uses;service compositions;
1002;semantic web services;uses;service management;
1003;semantic web services;proposes;service ontology;
1004;semantic web services;proposes;service-oriented computing;
1005;semantic web services;uses;service-oriented computing;
1006;semantic web services;includes;services selection;
1007;semantic web services;supports;services selection;
1008;semantic web services;uses;shortest paths;
1009;semantic web services;extends;social networks;
1010;semantic web services;uses;soft computing;
1011;semantic web services;supports;software agents;
1012;semantic web services;uses;software agents;
1013;semantic web services;queries;sparql;
1014;semantic web services;uses;sparql;
1015;semantic web services;extends;supply chain coordination;
1016;semantic web services;supports;supply chain coordination;
1017;semantic web services;uses;system architectures;
1018;semantic web services;uses;text clustering;
1019;semantic web services;uses;tool support;
1020;semantic web services;uses;uml profiles;
1021;semantic web services;provides;user experience;
1022;semantic web services;matches;user query;
1023;semantic web services;uses;user query;
1024;semantic web services;automates;verification;
1025;semantic web services;uses;visual programming;
1026;semantic web services;extends;visualization;
1027;semantic web services;uses;visualization;
1028;semantic web services;uses;web 2.0;
1029;semantic web services;uses;web engineering;
1030;semantic web services;uses;web of data;
1031;semantic web services;uses;web ontology language;
1032;semantic web services;uses;web service description;
1033;semantic web services;automates;web services discovery;
1034;semantic web services;provides;web services discovery;
1035;semantic web services;supports;web services discovery;
1036;semantic web services;uses;web services discovery;
1037;semantic web services;uses;wi-fi;
1038;semantic web services;converts-to;xml data;
1039;semantic web services;uses;zig-bee;
1040;semantic web technologies;links;linked data;
1041;semantic web technologies;publishes;linked data;
1042;semantic web technologies;supports;linked data;
1043;semantic web technologies;uses;linked data;
1044;semantic web technologies;includes;ontology alignment;
1045;semantic web technologies;provides;ontology alignment;
1046;semantic web technologies;uses;ontology alignment;
1047;semantic web technologies;includes;resource description framework (rdf);
1048;semantic web technologies;uses;resource description framework (rdf);
1049;semantic web technologies;includes;semantic description;
1050;semantic web technologies;supports;semantic description;
1051;semantic web technologies;uses;semantic description;
1052;semantic web technologies;includes;semantic descriptions;
1053;semantic web technologies;provides;semantic descriptions;
1054;semantic web technologies;uses;semantic search engine;
1055;semantic web technologies;includes;semantic search engines;
1056;semantic web technologies;supports;semantic search engines;
1057;semantic web technologies;produces;semantic web services;
1058;semantic web technologies;provides;semantic web services;
1059;semantic web technologies;supports;semantic web services;
1060;semantic web technologies;uses;semantic web services;
1061;semantic web technologies;combines;web ontology language;
1062;semantic web technologies;supports;web ontology language;
1063;semantic web technologies;uses;web ontology language;
1064;sensor data;based-on;linked data;
1065;sensor networks;uses;ontology alignment;
1066;sensors;publishes;linked data;
1067;service architecture;uses;resource description framework (rdf);
1068;service compositions;uses;semantic description;
1069;service execution;skos:broader/is/hyponym-of;semantic web services;
1070;service execution;supports;semantic web services;
1071;service matching;produces;semantic description;
1072;service matching;uses;semantic web services;
1073;service ontology;based-on;web ontology language;
1074;service ontology;uses;web ontology language;
1076;services selection;selects;semantic web services;
1075;services selection;skos:broader/is/hyponym-of;semantic web services;
1077;services selection;uses;semantic web services;
1078;smart grids;links;linked data;
1079;smart phones;uses;semantic search engines;
1080;social networks;uses;linked data;
1081;social networks;produces;resource description framework (rdf);
1082;social networks;publishes;resource description framework (rdf);
1083;social networks;uses;web ontology language;
1084;social relationships;uses;semantic search engines;
1085;software agents;uses;semantic description;
1086;software agents;uses;semantic web services;
1087;software design;uses;web ontology language;
1088;software design patterns;uses;web ontology language;
1089;software development life cycle;based-on;semantic web services;
1090;software development life cycle;uses;semantic web services;
1091;software engineering;uses;linked data;
1092;software engineering;produces;web ontology language;
1093;software maintenance;uses;ontology alignment;
1094;software product lines;acquires;semantic description;
1095;source codes;proposes;linked data;
1096;spam filtering;publishes;linked data;
1097;sparql;links;linked data;
1098;sparql;proposes;ontology alignment;
1099;sparql;acquires;resource description framework (rdf);
1101;sparql;queries;resource description framework (rdf);
1102;sparql;represents;resource description framework (rdf);
1100;sparql;skos:broader/is/hyponym-of;resource description framework (rdf);
1103;sparql;uses;semantic search engines;
1104;sparql;executes;web ontology language;
1105;sparql;supports;web ontology language;
1106;spatial data;converts-to;linked data;
1107;spatial data;uses;linked data;
1108;speech recognition;uses;semantic search engines;
1109;star schema;uses;web ontology language;
1110;stream data;improves;semantic description;
1111;structured query language (sql);produces;resource description framework (rdf);
1112;supervised machine learning;uses;resource description framework (rdf);
1113;supervised machine learning;uses;web ontology language;
1114;supply chain coordination;uses;semantic web services;
1115;telecommunications industry;uses;semantic web services;
1116;text clustering;uses;semantic search engine;
1117;text mining;selects;semantic description;
1118;text mining;supports;semantic search engines;
1119;text mining;uses;semantic web services;
1120;topology;links;linked data;
1121;twitter;skos:broader/is/hyponym-of;linked data;
1122;twitter;uses;linked data;
1123;type systems;provides;linked data;
1124;ubiquitous computing;uses;web ontology language;
1125;ubiquitous computing environment;uses;web ontology language;
1126;undirected graph;represents;resource description framework (rdf);
1127;universities;acquires;resource description framework (rdf);
1128;user experience;uses;semantic search engine;
1129;user navigation;uses;semantic search engines;
1130;user query;uses;ontology alignment;
1131;user query;uses;semantic search engine;
1132;user query;uses;semantic search engines;
1133;user query;uses;web ontology language;
1134;vector space model (vsm);uses;web ontology language;
1135;verification;represents;semantic description;
1136;verification;supports;semantic web services;
1137;verification;uses;web ontology language;
1138;video search;proposes;semantic search engines;
1139;visual features;supports;semantic search engines;
1140;visualization;supports;ontology alignment;
1141;visualization;includes;resource description framework (rdf);
1142;vocabulary;proposes;linked data;
1143;vocabulary;produces;resource description framework (rdf);
1144;vocabulary;proposes;semantic web services;
1145;web 2.0;selects;linked data;
1146;web applications;uses;linked data;
1147;web applications;uses;ontology alignment;
1148;web applications;uses;resource description framework (rdf);
1149;web applications;defines;semantic description;
1150;web applications;based-on;semantic search engines;
1151;web applications;produces;semantic web services;
1152;web applications;uses;semantic web services;
1153;web applications;executes;web ontology language;
1154;web applications;uses;web ontology language;
1155;web browsing;uses;linked data;
1156;web contents;selects;linked data;
1157;web contents;uses;linked data;
1158;web contents;uses;resource description framework (rdf);
1159;web contents;uses;semantic description;
1160;web contents;uses;semantic search engine;
1161;web contents;uses;semantic search engines;
1162;web contents;uses;semantic web services;
1163;web contents;uses;web ontology language;
1164;web development;includes;resource description framework (rdf);
1165;web development;requires;semantic web services;
1166;web engineering;uses;resource description framework (rdf);
1167;web engineering;produces;semantic description;
1168;web engineering;uses;semantic web services;
1169;web information;uses;semantic web services;
1170;web of data;links;linked data;
1171;web of data;uses;linked data;
1172;web of data;acquires;resource description framework (rdf);
1173;web of data;includes;resource description framework (rdf);
1174;web of data;uses;resource description framework (rdf);
1175;web of data;uses;semantic search engine;
1176;web ontology language;limits;access control;
1177;web ontology language;provides;access control;
1178;web ontology language;defines;automated reasoning;
1179;web ontology language;provides;automated reasoning;
1180;web ontology language;produces;automatic composition;
1181;web ontology language;supports;automation;
1182;web ontology language;based-on;bayesian approaches;
1183;web ontology language;represents;bayesian approaches;
1184;web ontology language;produces;cellular;
1185;web ontology language;uses;classifiers;
1186;web ontology language;proposes;cloud services;
1187;web ontology language;uses;collaborative designs;
1188;web ontology language;uses;communication;
1189;web ontology language;uses;component repository;
1190;web ontology language;uses;component-based software engineering;
1191;web ontology language;executes;computation independent model (cim);
1192;web ontology language;produces;computation independent model (cim);
1193;web ontology language;supports;computer aided design (cad);
1194;web ontology language;skos:broader/is/hyponym-of;computer science;
1195;web ontology language;uses;computer science;
1196;web ontology language;provides;context modeling;
1197;web ontology language;supports;data exchange;
1198;web ontology language;provides;data integration;
1199;web ontology language;uses;data integration;
1200;web ontology language;extends;data integration system;
1201;web ontology language;based-on;description logics;
1202;web ontology language;skos:broader/is/hyponym-of;description logics;
1203;web ontology language;uses;description logics;
1204;web ontology language;defines;domain knowledge;
1205;web ontology language;represents;domain knowledge;
1206;web ontology language;includes;domain-specific ontologies;
1207;web ontology language;produces;domain-specific ontologies;
1208;web ontology language;uses;engine;
1209;web ontology language;represents;engineering;
1210;web ontology language;skos:broader/is/hyponym-of;expert systems;
1211;web ontology language;converts-to;extensible markup language (xml);
1212;web ontology language;uses;extensible stylesheet language (xslt);
1213;web ontology language;proposes;facebook;
1214;web ontology language;skos:broader/is/hyponym-of;fuzzy extension;
1215;web ontology language;uses;fuzzy extension;
1216;web ontology language;uses;fuzzy logics;
1217;web ontology language;extends;horn clause;
1218;web ontology language;uses;hypertext transfer protocol (http);
1219;web ontology language;defines;inference;
1220;web ontology language;supports;inference;
1221;web ontology language;uses;inference;
1222;web ontology language;maintains;information systems;
1223;web ontology language;includes;intelligent agents;
1224;web ontology language;includes;knowledge bases;
1225;web ontology language;produces;knowledge bases;
1226;web ontology language;uses;knowledge engineering;
1228;web ontology language;represents;knowledge management;
1227;web ontology language;skos:broader/is/hyponym-of;knowledge management;
1229;web ontology language;uses;knowledge representation;
1230;web ontology language;supports;knowledge-sharing;
1231;web ontology language;skos:broader/is/hyponym-of;logic programming;
1232;web ontology language;defines;matching algorithm;
1233;web ontology language;skos:broader/is/hyponym-of;modeling languages;
1234;web ontology language;uses;modeling languages;
1235;web ontology language;provides;natural language processing systems;
1236;web ontology language;defines;ontologies;
1237;web ontology language;includes;ontologies;
1238;web ontology language;skos:broader/is/hyponym-of;ontologies;
1239;web ontology language;defines;ontology alignment;
1240;web ontology language;provides;ontology alignment;
1241;web ontology language;includes;ontology construction;
1242;web ontology language;proposes;ontology construction;
1243;web ontology language;includes;ontology language;
1244;web ontology language;skos:broader/is/hyponym-of;ontology language;
1245;web ontology language;provides;ontology modeling;
1246;web ontology language;supports;ontology modeling;
1247;web ontology language;produces;pervasive;
1248;web ontology language;based-on;petri nets;
1249;web ontology language;maintains;privacy;
1250;web ontology language;acquires;probability;
1251;web ontology language;provides;query processing;
1252;web ontology language;acquires;rdf data;
1253;web ontology language;provides;reasoning algorithms;
1254;web ontology language;supports;reasoning algorithms;
1255;web ontology language;skos:broader/is/hyponym-of;recommendation;
1256;web ontology language;matches;relational data models;
1257;web ontology language;uses;relational data models;
1259;web ontology language;produces;relational database systems;
1258;web ontology language;skos:broader/is/hyponym-of;relational database systems;
1260;web ontology language;uses;relational database systems;
1261;web ontology language;provides;resource description framework (rdf);
1262;web ontology language;uses;resource discovery;
1263;web ontology language;produces;search engines;
1264;web ontology language;supports;search engines;
1265;web ontology language;skos:broader/is/hyponym-of;semantic description;
1266;web ontology language;provides;semantic interoperability;
1267;web ontology language;converts-to;semantic relationships;
1268;web ontology language;proposes;semantic relationships;
1269;web ontology language;produces;semantic web rule languages;
1270;web ontology language;proposes;semantic web rule languages;
1271;web ontology language;includes;semantic web services;
1272;web ontology language;skos:broader/is/hyponym-of;semantic web services;
1273;web ontology language;defines;semantic web technologies;
1274;web ontology language;includes;semantic web technologies;
1276;web ontology language;produces;semantic web technologies;
1275;web ontology language;skos:broader/is/hyponym-of;semantic web technologies;
1277;web ontology language;uses;semantic web technologies;
1278;web ontology language;skos:broader/is/hyponym-of;sensors;
1279;web ontology language;supports;software agents;
1280;web ontology language;skos:broader/is/hyponym-of;software engineering;
1281;web ontology language;based-on;sparql;
1282;web ontology language;selects;uml models;
1283;web ontology language;includes;uml profiles;
1284;web ontology language;uses;uml profiles;
1285;web ontology language;improves;understandability;
1286;web ontology language;defines;vocabulary;
1288;web ontology language;proposes;vocabulary;
1289;web ontology language;provides;vocabulary;
1287;web ontology language;skos:broader/is/hyponym-of;vocabulary;
1290;web ontology language;selects;web contents;
1291;web ontology language;uses;web of data;
1292;web ontology language;supports;wiki;
1293;web ontology language;supports;xml data;
1294;web ontology language;converts-to;xml schemas;
1295;web searches;proposes;resource description framework (rdf);
1296;web searches;uses;resource description framework (rdf);
1297;web searches;uses;semantic search engines;
1298;web service composition;uses;ontology alignment;
1299;web service composition;uses;semantic web services;
1300;web service description;lacks;semantic web services;
1301;web service description;uses;semantic web services;
1302;web services discovery;based-on;ontology alignment;
1303;web services discovery;uses;semantic description;
1304;web services discovery;combines;semantic search engines;
1305;web services discovery;uses;semantic web services;
1306;web-mining;uses;semantic search engines;
1307;web-searching;uses;semantic search engines;
1308;wiki;skos:broader/is/hyponym-of;linked data;
1309;wiki;uses;resource description framework (rdf);
1310;wiki;provides;semantic search engines;
1311;wiki;uses;semantic search engines;
1312;wireless sensor networks (wsn);uses;web ontology language;
1313;wordnet;produces;ontology alignment;
1314;wordnet;converts-to;web ontology language;
1315;wordnet;skos:broader/is/hyponym-of;web ontology language;
1316;world wide web;improves;linked data;
1317;world wide web;converts-to;resource description framework (rdf);
1318;world wide web;skos:broader/is/hyponym-of;semantic search engine;
1319;world wide web;recommends;web ontology language;
1320;xacml;skos:broader/is/hyponym-of;web ontology language;
1321;xml schemas;skos:broader/is/hyponym-of;web ontology language;
1322;xml technology;uses;semantic search engines;
1323;xpath;provides;resource description framework (rdf);
1324;xquery;provides;resource description framework (rdf);
