;s;p;o;source;support;pipeline;Danilo
86;ontologies;uses;web ontology language;['heuristic', 'openie', 'heuristic', 'openie', 'luanyi', 'luanyi'];[391, 11, 418, 9, 25, 8];yes;y
1039;ontology alignment;supports;access control;['heuristic'];[4.0];no;n
718;ontology alignment;uses;answering queries;['heuristic'];[7];yes;y
305;ontology alignment;uses;argumentation;['luanyi', 'heuristic'];[2, 1];yes;y
14;ontology alignment;uses;automated reasoning;['luanyi'];[1];yes;y
1040;ontology alignment;base;background knowledge;['heuristic'];[4.0];no;n
536;ontology alignment;uses;background knowledge;['luanyi'];[1];yes;y
290;ontology alignment;uses;bayesian networks;['luanyi', 'heuristic'];[1, 1];yes;y
1202;ontology alignment;executes;belief propagation;['heuristic'];[3.0];no;n
655;ontology alignment;uses;clone detection;['heuristic'];[1];yes;y
1203;ontology alignment;proposes;clustering algorithms;['heuristic'];[3.0];no;n
944;ontology alignment;is;communication;['heuristic'];[5.0];no;n
488;ontology alignment;produces;communication;['openie'];[1];yes;n
662;ontology alignment;supports;communication;['heuristic'];[8];yes;y
945;ontology alignment;uses;communication;['heuristic'];[5.0];no;n
560;ontology alignment;is;computer science;['luanyi'];[1];yes;n
189;ontology alignment;executes;concept similarity;['heuristic'];[21];yes;y
272;ontology alignment;uses;controlled natural language;['luanyi'];[1];yes;y
335;ontology alignment;is;data integration;['heuristic'];[20];yes;y
946;ontology alignment;provides;data integration;['heuristic'];[5.0];no;y
1204;ontology alignment;provides;data mining;['heuristic'];[3.0];no;n
638;ontology alignment;uses;decision tables;['heuristic'];[1];yes;y
866;ontology alignment;uses;description logics;['heuristic', 'heuristic'];[6.0, 1.0];no;y
1041;ontology alignment;proposes;design knowledge;['heuristic'];[4.0];no;y
376;ontology alignment;uses;distributed environments;['luanyi'];[1];yes;y
1205;ontology alignment;requires;domain knowledge;['heuristic'];[3.0];no;y
776;ontology alignment;uses;domain knowledge;['heuristic'];[5];yes;y
867;ontology alignment;produces;domain-specific ontologies;['heuristic'];[6.0];no;n
1206;ontology alignment;selects;domain-specific ontologies;['heuristic'];[3.0];no;n
120;ontology alignment;uses;domain-specific ontologies;['luanyi', 'heuristic'];[1, 3];yes;y
1042;ontology alignment;produces;education;['heuristic'];[4.0];no;n
281;ontology alignment;uses;electronic commerce;['luanyi'];[2];yes;n
1207;ontology alignment;produces;engineering;['heuristic'];[3.0];no;n
1043;ontology alignment;uses;engineering;['heuristic'];[4.0];no;y
1208;ontology alignment;proposes;extensible markup language (xml);['heuristic'];[3.0];no;n
1209;ontology alignment;represents;faculty;['heuristic'];[3.0];no;n
673;ontology alignment;uses;formal concept analysis (fca);['heuristic'];[3];yes;y
528;ontology alignment;uses;fuzzy logics;['luanyi', 'heuristic'];[1, 1];yes;y
190;ontology alignment;uses;fuzzy sets theory;['luanyi'];[1];yes;y
1044;ontology alignment;proposes;graph theory;['heuristic'];[4.0];no;n
579;ontology alignment;uses;grid environments;['luanyi'];[2];yes;y
691;ontology alignment;uses;hownet;['heuristic'];[1];yes;y
630;ontology alignment;uses;image retrieval;['heuristic', 'heuristic'];[1, 2];yes;y
1045;ontology alignment;improves;inference;['heuristic'];[4.0];no;n
87;ontology alignment;is;information integration;['luanyi', 'heuristic'];[2, 4];yes;y
1046;ontology alignment;represents;information integration;['heuristic'];[4.0];no;n
947;ontology alignment;converts;information retrieval;['heuristic'];[5.0];no;n
1047;ontology alignment;is;information sharing;['heuristic'];[4.0];no;n
664;ontology alignment;is;information systems;['heuristic'];[5];yes;n
400;ontology alignment;uses;interactive visualizations;['luanyi'];[2];yes;n
753;ontology alignment;uses;knowledge bases;['heuristic'];[2];yes;y
1048;ontology alignment;provides;knowledge exchange;['heuristic'];[4.0];no;n
244;ontology alignment;supports;knowledge exchange;['openie', 'heuristic'];[1, 1];yes;y
1210;ontology alignment;is;knowledge management;['heuristic'];[3.0];no;n
677;ontology alignment;supports;knowledge-sharing;['heuristic'];[5];yes;y
747;ontology alignment;uses;linked data;['heuristic'];[1];yes;y
868;ontology alignment;publishes;linked open data;['heuristic'];[6.0];no;n
948;ontology alignment;supports;linked open data;['heuristic'];[5.0];no;y
615;ontology alignment;uses;machine learning techniques;['luanyi'];[1];yes;y
1211;ontology alignment;defines;matching algorithm;['heuristic'];[3.0];no;y
73;ontology alignment;is;modeling languages;['luanyi'];[1];yes;y
411;ontology alignment;uses;mutual informations;['luanyi'];[1];yes;y
949;ontology alignment;base;natural language processing systems;['heuristic'];[5.0];no;n
218;ontology alignment;is;ontologies;['luanyi'];[1];yes;n
207;ontology alignment;reuses;ontologies;['openie'];[1];yes;y
34;ontology alignment;uses;ontologies;['heuristic', 'luanyi', 'heuristic', 'heuristic'];[111, 1, 429, 269];yes;y
1212;ontology alignment;provides;ontology building;['heuristic'];[3.0];no;n
502;ontology alignment;is;ontology construction;['luanyi'];[1];yes;n
456;ontology alignment;uses;ontology construction;['luanyi'];[1];yes;y
1049;ontology alignment;combines;ontology evolution;['heuristic'];[4.0];no;n
77;ontology alignment;uses;ontology integration;['luanyi'];[1];yes;y
1213;ontology alignment;is;ontology merging;['heuristic'];[3.0];no;n
500;ontology alignment;uses;ontology technology;['luanyi'];[1];yes;y
435;ontology alignment;uses;particle swarm optimization algorithms;['luanyi'];[1];yes;y
231;ontology alignment;includes;pervasive computing environments;['luanyi'];[1];yes;y
357;ontology alignment;uses;posterior probability;['luanyi'];[1];yes;y
1050;ontology alignment;proposes;product design;['heuristic'];[4.0];no;n
1214;ontology alignment;executes;reasoning algorithms;['heuristic'];[3.0];no;n
1215;ontology alignment;matches;reasoning algorithms;['heuristic'];[3.0];no;n
869;ontology alignment;provides;reasoning algorithms;['heuristic'];[6.0];no;n
403;ontology alignment;uses;relational database systems;['luanyi'];[1];yes;y
447;ontology alignment;uses;rough sets theory;['luanyi'];[1];yes;y
950;ontology alignment;provides;semantic data;['heuristic'];[5.0];no;y
245;ontology alignment;is;semantic descriptions;['luanyi'];[2];yes;n
870;ontology alignment;limits;semantic heterogeneity;['heuristic'];[6.0];no;y
93;ontology alignment;provides;semantic interoperability;['openie'];[4];yes;y
570;ontology alignment;supports;semantic interoperability;['openie'];[1];yes;y
375;ontology alignment;uses;semantic interoperability;['luanyi', 'luanyi'];[1, 2];yes;y
581;ontology alignment;includes;semantic relationships;['luanyi'];[1];yes;y
535;ontology alignment;uses;semantic relationships;['luanyi', 'heuristic'];[1, 2];yes;y
822;ontology alignment;executes;semantic similarity measures;['heuristic'];[7.0];no;y
1051;ontology alignment;proposes;semantic web services;['heuristic'];[4.0];no;n
301;ontology alignment;is;semantic web technologies;['luanyi', 'luanyi', 'heuristic', 'heuristic'];[1, 9, 67, 43];yes;y
69;ontology alignment;uses;semantic web technologies;['luanyi', 'luanyi'];[2, 5];yes;y
1052;ontology alignment;represents;sensor data;['heuristic'];[4.0];no;n
1216;ontology alignment;is;text categorization;['heuristic'];[3.0];no;n
562;ontology alignment;uses;vector space models;['luanyi'];[1];yes;y
215;ontology alignment;is;web of data;['luanyi'];[1];yes;n
1053;ontology alignment;provides;web of data;['heuristic'];[4.0];no;n
783;ontology alignment;provides;web ontology language;['heuristic'];[8.0];no;n
1217;ontology alignment;converts;web service composition;['heuristic'];[3.0];no;n
1218;ontology alignment;improves;web services discovery;['heuristic'];[3.0];no;y
527;ontology alignment;uses;wordnet;['luanyi'];[1];yes;y
1219;ontology building;proposes;web ontology language;['heuristic'];[3.0];no;n
33;ontology construction;uses;linked data;['luanyi'];[1];yes;y
1054;ontology construction;acquires;ontology alignment;['heuristic'];[4.0];no;n
1055;ontology construction;supports;resource description framework (rdf);['heuristic'];[4.0];no;y
709;ontology construction;uses;resource description framework (rdf);['heuristic'];[1];yes;y
704;ontology construction;uses;semantic descriptions;['heuristic'];[2];yes;y
951;ontology construction;supports;web ontology language;['heuristic'];[5.0];no;n
310;ontology construction;uses;web ontology language;['luanyi'];[1];yes;y
621;ontology design;uses;web ontology language;['heuristic'];[1];yes;n
1056;ontology development;supports;resource description framework (rdf);['heuristic'];[4.0];no;y
125;ontology development;uses;web ontology language;['luanyi'];[2];yes;y
121;ontology evolution;is;semantic descriptions;['luanyi'];[1];yes;n
36;ontology integration;includes;ontology alignment;['luanyi'];[1];yes;y
1220;ontology integration;provides;semantic web services;['heuristic'];[3.0];no;y
397;ontology language;uses;resource description framework (rdf);['luanyi'];[1];yes;y
680;ontology language;defines;semantic web services;['heuristic'];[18];yes;y
223;ontology language;proposes;web ontology language;['heuristic'];[82];yes;n
823;ontology language;provides;web ontology language;['heuristic'];[7.0];no;n
714;ontology learning;uses;resource description framework (rdf);['heuristic'];[1];yes;y
534;ontology learning;is;semantic descriptions;['luanyi'];[2];yes;n
1221;ontology merging;produces;ontology alignment;['heuristic'];[3.0];no;y
1057;ontology modeling;matches;web ontology language;['heuristic'];[4.0];no;n
555;ontology modeling;uses;web ontology language;['luanyi'];[1];yes;y
608;open source software;uses;linked data;['luanyi'];[1];yes;y
1058;optimization;learns;ontology alignment;['heuristic'];[4.0];no;n
702;organizational memory;uses;resource description framework (rdf);['heuristic'];[1];yes;y
178;parsing algorithm;uses;linked data;['luanyi'];[1];yes;y
1222;pattern;produces;linked data;['heuristic'];[3.0];no;n
1059;pattern;supports;semantic descriptions;['heuristic'];[4.0];no;n
1060;pervasive;combines;semantic web services;['heuristic'];[4.0];no;n
646;pervasive computing;uses;web ontology language;['heuristic'];[1];yes;y
289;petri nets;uses;semantic web services;['heuristic'];[23];yes;y
321;policy specification;uses;resource description framework (rdf);['luanyi'];[1];yes;y
734;privacy;uses;web ontology language;['heuristic'];[1];yes;n
710;product configuration;uses;web ontology language;['heuristic'];[1];yes;y
633;product family design;uses;web ontology language;['heuristic'];[1];yes;y
752;programming languages;uses;semantic description;['heuristic'];[1];yes;n
766;propositional logic;uses;web ontology language;['heuristic'];[1];yes;y
952;query execution;executes;linked data;['heuristic'];[5.0];no;n
123;query expansion;uses;ontology alignment;['luanyi'];[1];yes;y
561;query processing;links;linked data;['heuristic'];[20];yes;y
266;query processing;uses;ontology alignment;['luanyi'];[1];yes;y
824;question answering systems;links;linked data;['heuristic'];[7.0];no;y
230;question answering systems;uses;linked data;['luanyi'];[3];yes;y
173;question answering systems;uses;ontology alignment;['luanyi'];[3];yes;y
138;question answering systems;uses;semantic search engine;['luanyi'];[1];yes;y
1061;question answering systems;acquires;semantic search engines;['heuristic'];[4.0];no;y
784;question answering systems;links;semantic search engines;['heuristic'];[8.0];no;n
953;radio frequency identification technology;combines;semantic web services;['heuristic'];[5.0];no;n
114;rdf data;interacts;linked data;['heuristic'];[22];yes;n
472;rdf data;uses;resource description framework (rdf);['heuristic'];[29];yes;y
1223;rdf data;converts;semantic search engine;['heuristic'];[3.0];no;n
374;rdf data;uses;semantic search engine;['openie', 'luanyi'];[1, 1];yes;n
1224;rdf data;converts;semantic search engines;['heuristic'];[3.0];no;n
1062;rdf data;provides;web ontology language;['heuristic'];[4.0];no;n
871;rdf graph;maintains;linked data;['heuristic'];[6.0];no;y
785;rdf graph;includes;resource description framework (rdf);['heuristic'];[8.0];no;y
684;re-engineering;uses;linked data;['heuristic'];[4];yes;y
825;reasoning algorithms;executes;ontology alignment;['heuristic'];[7.0];no;y
954;reasoning algorithms;represents;ontology alignment;['heuristic'];[5.0];no;n
955;reasoning algorithms;supports;ontology alignment;['heuristic'];[5.0];no;y
826;reasoning algorithms;produces;semantic description;['heuristic'];[7.0];no;y
1225;reasoning algorithms;is;web ontology language;['heuristic'];[3.0];no;n
329;reasoning algorithms;uses;web ontology language;['luanyi', 'heuristic', 'openie'];[1, 47, 1];yes;y
255;recommendation;is;linked data;['luanyi'];[1];yes;n
656;recommendation;uses;linked data;['heuristic'];[18];yes;y
956;recommendation;defines;resource description framework (rdf);['heuristic'];[5.0];no;n
764;recommendation;uses;web ontology language;['heuristic'];[7];yes;y
571;recommender systems;uses;linked data;['luanyi', 'heuristic'];[1, 8];yes;n
393;recommender systems;includes;semantic web services;['luanyi'];[1];yes;y
460;relation extraction;uses;semantic search engine;['luanyi'];[1];yes;y
627;relational database systems;uses;ontology alignment;['heuristic'];[1];yes;y
294;relational database systems;uses;resource description framework (rdf);['heuristic'];[29];yes;y
1226;relational database systems;produces;semantic description;['heuristic'];[3.0];no;y
1063;relevance feedback;acquires;linked data;['heuristic'];[4.0];no;n
211;resource description framework (rdf);uses;abstract syntax;['luanyi'];[1];yes;n
1227;resource description framework (rdf);supports;access control;['heuristic'];[3.0];no;n
632;resource description framework (rdf);uses;access control;['heuristic'];[1];yes;n
957;resource description framework (rdf);uses;bdd;['heuristic'];[5.0];no;n
1228;resource description framework (rdf);affects;bibliographic data;['heuristic'];[3.0];no;n
872;resource description framework (rdf);uses;cloud computing;['heuristic'];[6.0];no;n
1064;resource description framework (rdf);improves;collaborative work;['heuristic'];[4.0];no;y
1065;resource description framework (rdf);produces;compilers;['heuristic'];[4.0];no;n
566;resource description framework (rdf);includes;component-based software engineering;['luanyi'];[1];yes;n
149;resource description framework (rdf);is;component-based software engineering;['luanyi'];[1];yes;y
1229;resource description framework (rdf);provides;component-based software engineering;['heuristic'];[3.0];no;n
1230;resource description framework (rdf);acquires;computer graphics equipment;['heuristic'];[3.0];no;n
724;resource description framework (rdf);uses;computer science;['heuristic'];[1];yes;n
433;resource description framework (rdf);provides;data integration;['openie'];[2];yes;n
1066;resource description framework (rdf);supports;data integration;['heuristic'];[4.0];no;y
1231;resource description framework (rdf);produces;database systems;['heuristic'];[3.0];no;n
430;resource description framework (rdf);uses;database systems;['luanyi'];[3];yes;n
958;resource description framework (rdf);interacts;dbpedia;['heuristic'];[5.0];no;n
873;resource description framework (rdf);uses;dbpedia;['heuristic'];[6.0];no;n
786;resource description framework (rdf);uses;description logics;['heuristic'];[8.0];no;y
90;resource description framework (rdf);uses;digital libraries;['luanyi', 'heuristic'];[1, 9];yes;n
721;resource description framework (rdf);represents;domain knowledge;['heuristic'];[5];yes;y
1067;resource description framework (rdf);proposes;education;['heuristic'];[4.0];no;n
959;resource description framework (rdf);supports;engineering;['heuristic'];[5.0];no;y
1232;resource description framework (rdf);base;extensible markup language;['heuristic'];[3.0];no;n
0;resource description framework (rdf);uses;extensible markup language (xml);['heuristic', 'heuristic'];[25, 136];yes;n
161;resource description framework (rdf);uses;fuzzy cognitive maps;['luanyi'];[1];yes;n
1233;resource description framework (rdf);converts;graph matchings;['heuristic'];[3.0];no;n
1068;resource description framework (rdf);executes;hash;['heuristic'];[4.0];no;n
1069;resource description framework (rdf);provides;hypertext transfer protocol (http);['heuristic'];[4.0];no;n
1070;resource description framework (rdf);evaluates;index structure;['heuristic'];[4.0];no;n
182;resource description framework (rdf);produces;inference;['heuristic'];[26];yes;n
787;resource description framework (rdf);supports;inference;['heuristic'];[8.0];no;y
1234;resource description framework (rdf);requires;information fusion;['heuristic'];[3.0];no;n
250;resource description framework (rdf);is;intelligent agents;['luanyi'];[1];yes;n
1235;resource description framework (rdf);selects;knowledge acquisition;['heuristic', 'heuristic'];[3.0, 2.0];no;n
1071;resource description framework (rdf);provides;knowledge bases;['heuristic'];[4.0];no;n
960;resource description framework (rdf);supports;knowledge management;['heuristic'];[5.0];no;y
1072;resource description framework (rdf);uses;knowledge management;['heuristic'];[4.0];no;n
257;resource description framework (rdf);guides;knowledge representation;['heuristic'];[33];yes;y
874;resource description framework (rdf);is;knowledge representation;['heuristic'];[6.0];no;y
788;resource description framework (rdf);learns;learning;['heuristic'];[8.0];no;n
875;resource description framework (rdf);learns;learning objects;['heuristic'];[6.0];no;n
1073;resource description framework (rdf);uses;libraries;['heuristic'];[4.0];no;y
96;resource description framework (rdf);is;linked data;['luanyi'];[1];yes;n
471;resource description framework (rdf);links;linked data;['heuristic'];[24];yes;y
563;resource description framework (rdf);produces;linked data;['heuristic'];[55];yes;n
176;resource description framework (rdf);is;linked open data;['luanyi'];[8];yes;n
789;resource description framework (rdf);uses;linked open data;['heuristic'];[8.0];no;n
1236;resource description framework (rdf);acquires;mobile applications;['heuristic'];[3.0];no;n
1237;resource description framework (rdf);provides;modeling languages;['heuristic'];[3.0];no;y
1238;resource description framework (rdf);selects;natural language processing systems;['heuristic'];[3.0];no;n
28;resource description framework (rdf);defines;ontologies;['heuristic', 'openie', 'heuristic'];[77, 3, 155];yes;n
64;resource description framework (rdf);is;ontology language;['luanyi'];[11];yes;n
262;resource description framework (rdf);provides;ontology modeling;['openie'];[1];yes;y
1074;resource description framework (rdf);improves;query execution;['heuristic'];[4.0];no;n
587;resource description framework (rdf);uses;query optimization;['luanyi'];[1];yes;n
548;resource description framework (rdf);includes;rdf data;['luanyi'];[1];yes;n
315;resource description framework (rdf);queries;rdf data;['openie'];[1];yes;n
166;resource description framework (rdf);uses;rdf data;['heuristic'];[53];yes;y
356;resource description framework (rdf);uses;rdf graph;['heuristic'];[21];yes;n
439;resource description framework (rdf);produces;reasoning algorithms;['heuristic'];[20];yes;n
9;resource description framework (rdf);provides;reasoning algorithms;['openie'];[1];yes;n
876;resource description framework (rdf);supports;reasoning algorithms;['heuristic'];[6.0];no;n
366;resource description framework (rdf);is;recommendation;['openie'];[2];yes;n
1075;resource description framework (rdf);produces;relational data;['heuristic'];[4.0];no;y
490;resource description framework (rdf);uses;relational data;['luanyi'];[1];yes;n
877;resource description framework (rdf);converts;relational database systems;['heuristic'];[6.0];no;n
197;resource description framework (rdf);matches;relational database systems;['heuristic'];[29];yes;n
1239;resource description framework (rdf);produces;resource discovery;['heuristic'];[3.0];no;n
741;resource description framework (rdf);provides;retrieval performance;['heuristic'];[1];yes;y
827;resource description framework (rdf);acquires;semantic data;['heuristic'];[7.0];no;n
595;resource description framework (rdf);includes;semantic data;['luanyi'];[1];yes;n
249;resource description framework (rdf);is;semantic interoperability;['luanyi'];[1];yes;n
1240;resource description framework (rdf);provides;semantic interoperability;['heuristic'];[3.0];no;y
465;resource description framework (rdf);is;semantic relationships;['luanyi'];[2];yes;n
961;resource description framework (rdf);supports;semantic search engines;['heuristic'];[5.0];no;y
1241;resource description framework (rdf);converts;semantic web technologies;['heuristic'];[3.0];no;n
112;resource description framework (rdf);is;semantic web technologies;['luanyi', 'heuristic', 'luanyi', 'luanyi'];[9, 131, 8, 68];yes;y
600;resource description framework (rdf);provides;semantic web technologies;['heuristic'];[228];yes;y
78;resource description framework (rdf);uses;semantic web technologies;['luanyi'];[2];yes;n
409;resource description framework (rdf);is;semantic wikis;['luanyi'];[1];yes;n
61;resource description framework (rdf);is;social networks;['luanyi'];[1];yes;n
169;resource description framework (rdf);includes;social sciences;['luanyi'];[1];yes;n
401;resource description framework (rdf);represents;sparql;['heuristic'];[39];yes;n
258;resource description framework (rdf);uses;sparql;['heuristic', 'openie'];[134, 1];yes;n
694;resource description framework (rdf);uses;sparql inferencing notation (spin);['heuristic'];[2];yes;n
347;resource description framework (rdf);is;standard model;['openie', 'heuristic', 'heuristic'];[1, 1, 2];yes;y
1242;resource description framework (rdf);produces;structured query language (sql);['heuristic'];[3.0];no;n
1076;resource description framework (rdf);automates;validation;['heuristic'];[4.0];no;n
226;resource description framework (rdf);is;vocabulary;['luanyi'];[2];yes;n
338;resource description framework (rdf);provides;vocabulary;['heuristic'];[20];yes;y
557;resource description framework (rdf);is;web applications;['luanyi'];[8];yes;n
1243;resource description framework (rdf);provides;web applications;['heuristic'];[3.0];no;n
790;resource description framework (rdf);includes;web contents;['heuristic', 'heuristic'];[8.0, 3.0];no;y
154;resource description framework (rdf);represents;web contents;['openie', 'heuristic'];[1, 2];yes;y
444;resource description framework (rdf);is;web engineering;['luanyi'];[1];yes;y
501;resource description framework (rdf);represents;web information;['openie', 'heuristic'];[1, 8];yes;y
1077;resource description framework (rdf);interacts;web of data;['heuristic'];[4.0];no;y
27;resource description framework (rdf);is;web ontology language;['luanyi'];[6];yes;y
275;resource description framework (rdf);uses;web ontology language;['heuristic'];[212];yes;y
1244;resource description framework (rdf);supports;wordnet;['heuristic'];[3.0];no;y
373;resource description framework (rdf);includes;xml data;['openie'];[1];yes;y
620;resource discovery;uses;linked data;['heuristic'];[1];yes;y
482;resource discovery;uses;web ontology language;['luanyi'];[1];yes;y
1245;resource sharing;base;web ontology language;['heuristic'];[3.0];no;n
689;robots;uses;semantic description;['heuristic'];[2];yes;y
763;robots;uses;semantic web services;['heuristic'];[2];yes;y
1246;satisfiability;includes;web ontology language;['heuristic'];[3.0];no;n
962;schema matching;uses;ontology alignment;['heuristic'];[5.0];no;y
296;scientific data;uses;linked data;['luanyi'];[1];yes;y
963;search engines;base;resource description framework (rdf);['heuristic'];[5.0];no;y
1078;search engines;selects;resource description framework (rdf);['heuristic'];[4.0];no;y
91;search engines;includes;semantic search engines;['luanyi'];[4];yes;y
346;search engines;provides;semantic search engines;['openie', 'heuristic'];[2, 44];yes;y
585;search engines;uses;semantic web services;['luanyi'];[2];yes;y
598;search engines;uses;web ontology language;['luanyi'];[2];yes;y
25;security models;uses;resource description framework (rdf);['luanyi'];[1];yes;y
1247;security policies;base;web ontology language;['heuristic', 'heuristic'];[3.0, 1.0];no;y
52;security policies;uses;web ontology language;['luanyi'];[1];yes;y
1248;semantic concept;supports;semantic search engines;['heuristic'];[3.0];no;n
1079;semantic data;links;linked data;['heuristic'];[4.0];no;y
412;semantic data;uses;ontology alignment;['luanyi'];[1];yes;y
878;semantic data;improves;semantic search engines;['heuristic'];[6.0];no;y
658;semantic data;uses;web ontology language;['heuristic'];[2];yes;y
565;semantic description;uses;analytic hierarchy process (ahp);['luanyi'];[1];yes;n
1249;semantic description;supports;automated reasoning;['heuristic'];[3.0];no;y
879;semantic description;provides;automation;['heuristic'];[6.0];no;n
1250;semantic description;supports;autonomic computing;['heuristic'];[3.0];no;y
964;semantic description;improves;cache;['heuristic'];[5.0];no;n
1080;semantic description;requires;compilers;['heuristic'];[4.0];no;n
663;semantic description;uses;component-based software engineering;['heuristic'];[11];yes;n
828;semantic description;produces;content based recommendation (cbr);['heuristic'];[7.0];no;n
316;semantic description;uses;description logics;['luanyi'];[1];yes;n
1251;semantic description;proposes;descriptors;['heuristic'];[3.0];no;n
791;semantic description;improves;digital libraries;['heuristic'];[8.0];no;y
145;semantic description;uses;digital libraries;['luanyi'];[1];yes;n
1081;semantic description;learns;e-learning environment;['heuristic'];[4.0];no;n
1252;semantic description;links;engineering;['heuristic'];[3.0];no;n
1253;semantic description;affects;extensible markup language (xml);['heuristic'];[3.0];no;n
202;semantic description;uses;formal specifications;['luanyi'];[1];yes;y
164;semantic description;uses;fuzzy logics;['luanyi'];[1];yes;n
688;semantic description;uses;haskell;['heuristic'];[2];yes;n
1254;semantic description;acquires;knowledge bases;['heuristic'];[3.0];no;n
142;semantic description;uses;knowledge bases;['luanyi'];[1];yes;n
1082;semantic description;converts;knowledge representation;['heuristic'];[4.0];no;n
1255;semantic description;proposes;linked data;['heuristic'];[3.0];no;n
402;semantic description;uses;model-driven architectures;['luanyi'];[1];yes;n
1083;semantic description;includes;multimedia data;['heuristic'];[4.0];no;n
485;semantic description;uses;ontologies;['heuristic', 'luanyi', 'openie'];[48, 6, 1];yes;y
731;semantic description;uses;ontology alignment;['heuristic'];[1];yes;n
59;semantic description;uses;ontology language;['luanyi', 'heuristic'];[2, 4];yes;y
686;semantic description;uses;parallel programming;['heuristic'];[2];yes;n
552;semantic description;supports;reasoning algorithms;['openie'];[1];yes;y
1084;semantic description;supports;search engines;['heuristic'];[4.0];no;y
174;semantic description;uses;semantic descriptions;['luanyi'];[1];yes;n
880;semantic description;extends;semantic distance;['heuristic'];[6.0];no;n
1256;semantic description;extends;semantic relationships;['heuristic'];[3.0];no;y
1085;semantic description;provides;semantic relationships;['heuristic'];[4.0];no;n
377;semantic description;uses;semantic relationships;['luanyi'];[1];yes;n
1086;semantic description;provides;semantic web services;['heuristic'];[4.0];no;n
611;semantic description;uses;semantic web technologies;['luanyi', 'heuristic'];[1, 3];yes;n
1087;semantic description;provides;sensor data;['heuristic'];[4.0];no;n
1257;semantic description;supports;service compositions;['heuristic'];[3.0];no;n
1258;semantic description;provides;web ontology language;['heuristic'];[3.0];no;n
170;semantic description;uses;web ontology language;['openie', 'heuristic'];[1, 3];yes;y
1259;semantic description;provides;wordnet;['heuristic'];[3.0];no;n
510;semantic description;uses;wordnet;['luanyi'];[1];yes;n
159;semantic descriptions;supports;business services;['openie'];[1];yes;y
364;semantic descriptions;is;component-based software engineering;['openie'];[1];yes;n
542;semantic descriptions;uses;heterogeneous databases;['luanyi'];[1];yes;n
1260;semantic descriptions;publishes;linked data;['heuristic'];[3.0];no;n
541;semantic descriptions;uses;ontologies;['luanyi'];[3];yes;y
1261;semantic descriptions;is;resource description framework (rdf);['heuristic'];[3.0];no;n
685;semantic descriptions;uses;semantic description;['heuristic'];[1];yes;n
13;semantic descriptions;is;semantic relationships;['luanyi'];[1];yes;n
881;semantic descriptions;is;semantic web technologies;['heuristic', 'heuristic'];[6.0, 1.0];no;n
269;semantic descriptions;uses;semantic web technologies;['openie', 'heuristic'];[1, 3];yes;n
1262;semantic descriptions;supports;web of data;['heuristic'];[3.0];no;y
765;semantic desktop;uses;linked data;['heuristic'];[1];yes;y
232;semantic desktop;uses;semantic search engines;['luanyi'];[1];yes;y
514;semantic distance;uses;linked data;['luanyi'];[1];yes;n
318;semantic heterogeneity;uses;ontology alignment;['luanyi', 'luanyi'];[3, 1];yes;y
75;semantic heterogeneity;uses;semantic web services;['luanyi'];[1];yes;y
1263;semantic interoperability;provides;linked data;['heuristic'];[3.0];no;n
146;semantic interoperability;uses;ontology alignment;['luanyi', 'luanyi', 'heuristic'];[10, 3, 10];yes;n
1264;semantic interoperability;supports;semantic search engines;['heuristic'];[3.0];no;y
1088;semantic interoperability;converts;semantic web services;['heuristic'];[4.0];no;n
489;semantic interoperability;uses;semantic web services;['luanyi'];[1];yes;y
792;semantic interoperability;includes;web ontology language;['heuristic'];[8.0];no;n
497;semantic interoperability;uses;web ontology language;['luanyi', 'heuristic'];[2, 3];yes;y
719;semantic metadata;uses;resource description framework (rdf);['heuristic'];[1];yes;y
436;semantic relationships;uses;linked data;['luanyi', 'luanyi'];[1, 2];yes;y
5;semantic relationships;uses;ontology alignment;['luanyi'];[1];yes;y
1265;semantic relationships;converts;resource description framework (rdf);['heuristic'];[3.0];no;n
1266;semantic relationships;represents;resource description framework (rdf);['heuristic'];[3.0];no;n
1267;semantic relationships;selects;semantic description;['heuristic'];[3.0];no;n
425;semantic relationships;uses;semantic description;['luanyi'];[1];yes;y
965;semantic relationships;represents;semantic web services;['heuristic'];[5.0];no;n
526;semantic relationships;supports;semantic web services;['heuristic'];[21];yes;y
387;semantic relationships;uses;semantic web services;['luanyi'];[4];yes;n
703;semantic relationships;uses;web ontology language;['heuristic', 'heuristic'];[8, 1];yes;n
882;semantic search engine;acquires;component-based software engineering;['heuristic', 'heuristic'];[6.0, 1.0];no;n
212;semantic search engine;includes;component-based software engineering;['luanyi'];[1];yes;n
1268;semantic search engine;acquires;database systems;['heuristic'];[3.0];no;n
406;semantic search engine;uses;database systems;['luanyi'];[1];yes;y
248;semantic search engine;uses;description logics;['luanyi'];[1];yes;y
1269;semantic search engine;produces;domain-specific ontologies;['heuristic'];[3.0];no;y
644;semantic search engine;uses;engine;['heuristic'];[17];yes;y
1089;semantic search engine;combines;information retrieval;['heuristic'];[4.0];no;y
157;semantic search engine;is;information technology;['luanyi'];[1];yes;n
1270;semantic search engine;acquires;internet;['heuristic'];[3.0];no;n
701;semantic search engine;uses;knowledge bases;['heuristic'];[4];yes;y
141;semantic search engine;uses;linked data;['luanyi'];[1];yes;y
1090;semantic search engine;supports;linked open data;['heuristic'];[4.0];no;y
241;semantic search engine;uses;natural language interfaces;['luanyi'];[4];yes;y
