,s,p,o,source,support
710,linked data,includes,web ontology language,heuristic,3
711,ontology alignment,provides,background knowledge,heuristic,10
712,semantic web services,uses,answering queries,heuristic,1
713,intelligent software agent,conjunction,semantic web services,heuristic,1
714,semantic web services,conjunction,intelligent software agent,heuristic,1
715,semantic web services,analyzes,visualization,heuristic,3
716,web contents,affects,resource description framework (rdf),heuristic,12
717,distributed architectures,proposes,semantic web services,heuristic,4
718,ontology integration,provides,semantic web services,heuristic,3
719,ontology alignment,uses,semantic web services,heuristic,1
720,text mining,uses,semantic web services,heuristic,1
721,engineering,links,ontology alignment,heuristic,3
722,ontology alignment,produces,engineering,heuristic,4
723,semantic wikis,conjunction,semantic web services,heuristic,2
724,semantic web services,conjunction,semantic wikis,heuristic,2
725,reasoning algorithms,uses,semantic web services,heuristic,9
726,ontology alignment,is,ontology alignment,heuristic,7
727,ontology alignment,conjunction,ontology alignment,heuristic,4
728,semantic web technologies,includes,semantic search engines,heuristic,6
729,semantic web technologies,provides,semantic description,heuristic,3
730,semantic description,provides,automation,heuristic,4
731,semantic web services,requires,knowledge discovery,heuristic,1
732,semantic search engines,conjunction,semantic web services,heuristic,1
733,semantic web services,conjunction,semantic search engines,heuristic,1
734,semantic search engines,conjunction,information integration,heuristic,2
735,information integration,conjunction,semantic search engines,heuristic,2
736,semantic web services,uses,semantic web technologies,heuristic,3
737,semantic web technologies,includes,resource description framework (rdf),heuristic,2
738,reasoning algorithms,is,web ontology language,heuristic,5
739,reasoning algorithms,produces,semantic description,heuristic,5
740,semantic web services,proposes,process modelling,heuristic,2
741,semantic web services,produces,business processes,heuristic,10
742,resource description framework (rdf),represents,web information,heuristic,3
743,resource description framework (rdf),represents,web information,heuristic,1
744,java,uses,resource description framework (rdf),heuristic,1
745,ontology language,base,resource description framework (rdf),heuristic,3
746,semantic search engine,provides,semantic web technologies,heuristic,9
747,mobile devices,defines,web ontology language,heuristic,1
748,agent technology,uses,semantic web services,heuristic,7
749,semantic web services,uses,agent technology,heuristic,7
750,decision trees,improves,ontology alignment,heuristic,1
751,trade,combines,semantic web services,heuristic,1
752,privacy policies,combines,semantic web services,heuristic,1
753,content management systems,uses,semantic web services,heuristic,2
754,formal modelling,is,resource description framework (rdf),heuristic,2
755,formal modelling,is,web ontology language,heuristic,2
756,semantic web services,is,intelligibility,heuristic,3
757,relational database systems,produces,semantic web services,heuristic,1
758,semantic web services,provides,dynamic composition,heuristic,9
759,access control mechanism,uses,web ontology language,heuristic,1
760,verification,uses,web ontology language,heuristic,2
761,concept lattices,proposes,ontology alignment,heuristic,2
762,ontology alignment,base,rough sets theory,heuristic,1
763,ontology alignment,conjunction,information fusion,heuristic,1
764,information fusion,conjunction,ontology alignment,heuristic,1
765,information fusion,conjunction,semantic search engines,heuristic,1
766,semantic search engines,conjunction,information fusion,heuristic,1
767,semantic search engines,uses,semantic relationships,heuristic,4
768,web ontology language,includes,intelligent agents,heuristic,2
769,semantic relationships,provides,semantic description,heuristic,1
770,web ontology language,produces,xquery,heuristic,3
771,linked data,uses,personalizations,heuristic,1
772,semantic description,links,dbpedia,heuristic,1
773,domain-specific ontologies,uses,resource description framework (rdf),heuristic,3
774,resource description framework (rdf),represents,user query,heuristic,2
775,resource description framework (rdf),represents,user query,heuristic,2
776,semantic web services,conjunction,agent-based,heuristic,1
777,agent-based,conjunction,semantic web services,heuristic,1
778,semantic description,acquires,database systems,heuristic,3
779,semantic web services,extends,web development,heuristic,1
780,web development,requires,semantic web services,heuristic,3
781,semantic description,base,description logics,heuristic,3
782,semantic description,supports,reasoning algorithms,heuristic,3
783,semantic relationships,improves,ontology alignment,heuristic,2
784,ontology alignment,conjunction,change detection,heuristic,1
785,change detection,conjunction,ontology alignment,heuristic,1
786,semantic web services,base,trust management,heuristic,1
787,ontology alignment,is,knowledge-sharing,heuristic,2
788,microblogging,uses,resource description framework (rdf),heuristic,1
789,search engines,proposes,semantic web services,heuristic,10
790,web ontology language,analyzes,propositional logic,heuristic,3
791,web ontology language,supports,expert systems,heuristic,3
792,xml schemas,conjunction,resource description framework (rdf),heuristic,1
793,resource description framework (rdf),conjunction,xml schemas,heuristic,1
794,service ontology,analyzes,web ontology language,heuristic,2
795,semantic web services,includes,efficient algorithm,heuristic,3
796,resource description framework (rdf),proposes,extensible markup language,heuristic,10
797,ontology alignment,matches,ontology evolution,heuristic,6
798,semantic web services,produces,information needs,heuristic,2
799,reasoning algorithms,improves,linked data,heuristic,6
800,ontology alignment,represents,information integration,heuristic,4
801,semantic web services,provides,extreme programming,heuristic,1
802,logistics,represents,semantic web services,heuristic,2
803,automatic composition,proposes,semantic web services,heuristic,8
804,rule engine,conjunction,resource description framework (rdf),heuristic,1
805,network management,uses,semantic web services,heuristic,1
806,intranets,uses,semantic web services,heuristic,2
807,services selection,is,semantic web services,heuristic,1
808,data exchange,provides,resource description framework (rdf),heuristic,4
809,resource description framework (rdf),produces,data exchange,heuristic,10
810,data exchange,queries,web ontology language,heuristic,3
811,libraries,uses,resource description framework (rdf),heuristic,4
812,resource description framework (rdf),improves,libraries,heuristic,5
813,semantic search engines,conjunction,ontology building,heuristic,1
814,ontology building,conjunction,semantic search engines,heuristic,1
815,personalizations,conjunction,semantic search engines,heuristic,1
816,semantic search engines,conjunction,personalizations,heuristic,1
817,component-based software engineering,selects,semantic web services,heuristic,4
818,semantic web services,provides,communication,heuristic,15
819,linked data,uses,facebook,heuristic,1
820,linked data,provides,python,heuristic,4
821,linked data,provides,javascript,heuristic,8
822,web ontology language,improves,resource description framework (rdf),heuristic,6
823,matching algorithm,base,semantic web services,heuristic,1
824,semantic web services,extends,information technology,heuristic,4
825,semantic web services,extends,supply chain coordination,heuristic,3
826,learning objects,learns,semantic web services,heuristic,4
827,uml models,visualizes,web ontology language,heuristic,9
828,services discovery,is,semantic web services,heuristic,1
829,semantic description,uses,component-based software engineering,heuristic,1
830,semantic description,supports,software agents,heuristic,1
831,web contents,is,semantic description,heuristic,1
832,web ontology language,is,context reasoning,heuristic,2
833,user query,proposes,resource description framework (rdf),heuristic,1
834,semantic web services,maintains,fuzzy synthetic evaluation,heuristic,1
835,word sense disambiguation,is,ontology alignment,heuristic,1
836,image features,matches,semantic description,heuristic,1
837,semantic web services,proposes,web ontology language,heuristic,7
838,linked data,is,reasoning algorithms,heuristic,7
839,semantic web services,provides,open source software,heuristic,7
840,semantic web services,base,graph theory,heuristic,1
841,authorization,base,semantic web services,heuristic,3
842,semantic web services,proposes,authorization,heuristic,3
843,semantic web services,base,access control,heuristic,3
844,formal models,uses,semantic web services,heuristic,6
845,semantic web services,converts,information exchanges,heuristic,1
846,web engineering,base,semantic web services,heuristic,1
847,internet,represents,resource description framework (rdf),heuristic,1
848,semantic web services,uses,ontology technology,heuristic,3
849,semantic descriptions,is,semantic web technologies,heuristic,1
850,ontology-based,provides,semantic descriptions,heuristic,12
851,linked data,proposes,user query,heuristic,4
852,linked data,links,semantic web services,heuristic,1
853,world wide web,proposes,semantic web services,heuristic,2
854,semantic web technologies,produces,ontology alignment,heuristic,3
855,semantic description,uses,ontology alignment,heuristic,1
856,ontology alignment,provides,semantic description,heuristic,1
857,linked data,produces,semantic relationships,heuristic,4
858,semantic web services,extends,dialogue,heuristic,1
859,ontology alignment,uses,linked data,heuristic,1
860,answering queries,maintains,linked data,heuristic,1
861,semantic description,analyzes,engine,heuristic,3
862,semantic description,publishes,semantic similarity measures,heuristic,2
863,semantic web services,proposes,robots,heuristic,5
864,learning,uses,semantic search engine,heuristic,1
865,resource description framework (rdf),represents,sparql,heuristic,22
866,semantic data,improves,semantic search engine,heuristic,2
867,extreme programming,proposes,semantic web services,heuristic,2
868,parallelism,improves,semantic search engines,heuristic,1
869,ontology alignment,proposes,semantic web technologies,heuristic,4
870,semantic web services,supports,learning objects,heuristic,5
871,semantic web services,provides,tool support,heuristic,1
872,ontology alignment,conjunction,ontology construction,heuristic,1
873,ontology construction,conjunction,ontology alignment,heuristic,1
874,semantic description,links,engineering,heuristic,3
875,semantic web services,produces,clustering algorithms,heuristic,2
876,semantic web technologies,produces,ontology alignment,heuristic,3
877,ontology alignment,conjunction,sentence similarity,heuristic,2
878,sentence similarity,conjunction,ontology alignment,heuristic,2
879,linked open data,includes,resource description framework (rdf),heuristic,3
880,semantic search engines,uses,semantic web technologies,heuristic,7
881,semantic web services,is,service matching,heuristic,10
882,web contents,selects,semantic description,heuristic,2
883,ontology alignment,is,semantic web technologies,heuristic,8
884,communication,produces,semantic web services,heuristic,5
885,jxta,produces,semantic web services,heuristic,2
886,semantic descriptions,uses,semantic web technologies,heuristic,3
887,semantic web technologies,conjunction,semantic descriptions,heuristic,2
888,semantic descriptions,conjunction,intelligent agents,heuristic,4
889,intelligent agents,conjunction,semantic descriptions,heuristic,4
890,sparql,is,resource description framework (rdf),heuristic,23
891,semantic search engines,combines,grid computing,heuristic,2
892,semantic description,improves,multimedia contents,heuristic,2
893,knowledge representation,provides,semantic description,heuristic,7
894,semantic description,uses,knowledge representation,heuristic,1
895,semantic search engines,uses,resource description framework (rdf),heuristic,3
896,semantic search engines,produces,sparql,heuristic,2
897,agent technology,proposes,semantic description,heuristic,3
898,semantic descriptions,provides,ontology-based,heuristic,3
899,semantic description,base,semantic descriptions,heuristic,1
900,semantic descriptions,uses,semantic description,heuristic,1
901,semantic search engine,conjunction,linked open data,heuristic,1
902,linked open data,conjunction,semantic search engine,heuristic,1
903,semantic search engine,conjunction,semantic web services,heuristic,1
904,semantic web services,conjunction,semantic search engine,heuristic,1
905,verification,is,ontology alignment,heuristic,1
906,semantic web services,is,pervasive computing,heuristic,1
907,communication,provides,web ontology language,heuristic,3
908,ontology alignment,is,data warehousing,heuristic,1
909,ontology alignment,is,data exchange,heuristic,1
910,web ontology language,represents,web ontology language,heuristic,4
911,image annotation,conjunction,semantic web services,heuristic,1
912,semantic web services,conjunction,image annotation,heuristic,1
913,verification,supports,semantic web services,heuristic,3
914,semantic web service discovery,selects,semantic description,heuristic,2
915,information retrieval,maintains,ontology alignment,heuristic,3
916,ontology alignment,conjunction,information retrieval,heuristic,2
917,ontology alignment,combines,document clustering,heuristic,1
918,resource description framework (rdf),base,policy language,heuristic,1
919,resource description framework (rdf),base,policy language,heuristic,1
920,semantic web services,supports,services selection,heuristic,2
921,web ontology language,provides,natural language processing systems,heuristic,4
922,resource description framework (rdf),combines,natural language processing systems,heuristic,1
923,wiki,provides,linked data,heuristic,7
924,web ontology language,uses,data exchange,heuristic,1
925,investments,extends,resource description framework (rdf),heuristic,1
926,resource description framework (rdf),uses,investments,heuristic,1
927,web ontology language,produces,fuzzy ontology,heuristic,1
928,web ontology language,improves,information retrieval,heuristic,2
929,web ontology language,provides,web contents,heuristic,1
930,information extraction,supports,linked data,heuristic,3
931,semantic web services,proposes,services discovery,heuristic,3
932,web ontology language,provides,testing and debugging,heuristic,1
933,web ontology language,provides,visualization,heuristic,1
934,resource description framework (rdf),supports,digital libraries,heuristic,9
935,shortest paths,produces,resource description framework (rdf),heuristic,1
936,shortest paths,produces,web ontology language,heuristic,1
937,resource description framework (rdf),provides,data integration,heuristic,7
938,web ontology language,provides,data integration,heuristic,4
939,mobile devices,produces,resource description framework (rdf),heuristic,1
940,semantic metadata,base,semantic web services,heuristic,1
941,semantic web services,requires,distributed computing environment,heuristic,1
942,insert,improves,semantic web services,heuristic,1
943,web ontology language,includes,online courses,heuristic,2
944,linked data,analyzes,user-generated content,heuristic,3
945,fuzzy logics,uses,semantic description,heuristic,3
946,resource description framework (rdf),supports,query processing,heuristic,1
947,semantic description,represents,semantic web technologies,heuristic,2
948,semantic web services,lacks,reusability,heuristic,1
949,linked data,includes,sensor networks,heuristic,3
950,xml technology,annotates,resource description framework (rdf),heuristic,1
951,xml technology,annotates,resource description framework (rdf),heuristic,1
952,context reasoning,analyzes,web ontology language,heuristic,1
953,web ontology language,supports,interpretability,heuristic,1
954,ontology alignment,selects,libraries,heuristic,2
955,ontology alignment,selects,semantic similarity measures,heuristic,1
956,ontology alignment,selects,libraries,heuristic,3
957,uml models,improves,semantic web services,heuristic,2
958,resource description framework (rdf),supports,reasoning algorithms,heuristic,3
959,mashup,selects,semantic web services,heuristic,2
960,semantic descriptions,requires,linked data,heuristic,3
961,mashup,requires,linked data,heuristic,3
962,computer science,links,linked data,heuristic,1
963,privacy,is,semantic web services,heuristic,1
964,semantic web technologies,includes,semantic web services,heuristic,2
965,semantic search engines,analyzes,user profiles,heuristic,1
966,semantic web services,base,semantic similarity measures,heuristic,6
967,data mining process,proposes,semantic web services,heuristic,2
968,reference architectures,improves,semantic description,heuristic,3
969,distributed systems,is,web ontology language,heuristic,4
970,software architectures,produces,semantic web services,heuristic,1
971,ontology alignment,conjunction,ontology construction,heuristic,2
972,ontology construction,conjunction,ontology alignment,heuristic,2
973,recommender systems,produces,semantic web services,heuristic,1
974,semantic search engine,acquires,component-based software engineering,heuristic,1
975,semantic search engine,acquires,component-based software engineering,heuristic,4
976,semantic search engine,acquires,ontology technology,heuristic,5
977,semantic search engine,acquires,database systems,heuristic,3
978,fuzzy description logic,provides,semantic web services,heuristic,1
979,semantic relationships,converts,resource description framework (rdf),heuristic,2
980,source language,base,semantic description,heuristic,1
981,target language,base,semantic description,heuristic,1
982,semantic description,supports,mass customization,heuristic,2
983,semantic web technologies,is,semantic search engines,heuristic,8
984,web ontology language,provides,computability,heuristic,2
985,clustering algorithms,proposes,semantic web services,heuristic,4
986,linked data,converts,vocabulary,heuristic,9
987,resource description framework (rdf),uses,web applications,heuristic,9
988,linked data,produces,distributed database,heuristic,2
989,semantic description,provides,intelligent agents,heuristic,2
990,virtual laboratories,uses,semantic web services,heuristic,1
991,database systems,includes,semantic description,heuristic,6
992,semantic description,acquires,knowledge bases,heuristic,2
993,interactive visualizations,supports,ontology alignment,heuristic,2
994,data security,conjunction,semantic description,heuristic,2
995,semantic description,conjunction,data security,heuristic,2
996,natural language interfaces,selects,semantic description,heuristic,1
997,semantic web services,produces,business process modelling,heuristic,3
998,semantic web services,supports,grid services,heuristic,3
999,web ontology language,improves,service matching,heuristic,1
1000,formal specifications,base,web ontology language,heuristic,1
1001,web ontology language,represents,knowledge management,heuristic,4
1002,web ontology language,represents,t s fuzzy system,heuristic,2
1003,clustering algorithms,represents,web ontology language,heuristic,2
1004,ontology alignment,is,communication,heuristic,7
1005,testing and debugging,conjunction,ontology alignment,heuristic,1
1006,semantic description,analyzes,semantic distance,heuristic,6
1007,verification,represents,semantic description,heuristic,3
1008,linked data,conjunction,automated reasoning,heuristic,1
1009,semantic web services,represents,data integration,heuristic,2
1010,background knowledge,provides,ontology alignment,heuristic,1
1011,web servers,provides,resource description framework (rdf),heuristic,1
1012,knowledge bases,conjunction,semantic web services,heuristic,1
1013,semantic web services,conjunction,knowledge bases,heuristic,1
1014,resource description framework (rdf),represents,t s fuzzy system,heuristic,1
1015,fuzzy logics,represents,resource description framework (rdf),heuristic,2
1016,resource description framework (rdf),conjunction,fuzzy ontology,heuristic,1
1017,fuzzy ontology,conjunction,resource description framework (rdf),heuristic,1
1018,semantic web services,is,world wide web,heuristic,1
1019,semantic descriptions,is,component-based software engineering,heuristic,1
1020,semantic web services,is,product design,heuristic,1
1021,semantic web services,is,engineering,heuristic,1
1022,ontology alignment,analyzes,description logics,heuristic,4
1023,web contents,provides,semantic descriptions,heuristic,2
1024,semantic search engines,conjunction,visualization,heuristic,1
1025,knowledge discovery,supports,ontology alignment,heuristic,3
1026,web information,is,semantic description,heuristic,1
1027,virtual machines,is,resource description framework (rdf),heuristic,2
1028,virtual machines,is,resource description framework (rdf),heuristic,2
1029,resource description framework (rdf),base,product design,heuristic,1
1030,product design,produces,resource description framework (rdf),heuristic,1
1031,resource description framework (rdf),base,product design,heuristic,1
1032,product design,produces,resource description framework (rdf),heuristic,1
1033,semantic web services,conjunction,multi-agents,heuristic,1
1034,multi-agents,conjunction,semantic web services,heuristic,1
1035,multimedia contents,uses,web ontology language,heuristic,1
1036,ontology alignment,uses,domain-specific ontologies,heuristic,3
1037,ontology alignment,selects,inference,heuristic,3
1038,ontology alignment,supports,knowledge exchange,heuristic,1
1039,web ontology language,provides,context information,heuristic,2
1040,resource description framework (rdf),is,community of practice,heuristic,1
1041,resource description framework (rdf),is,knowledge-sharing,heuristic,2
1042,boosting algorithm,proposes,semantic web services,heuristic,2
1043,ontology alignment,conjunction,ontology merging,heuristic,2
1044,ontology merging,conjunction,ontology alignment,heuristic,2
1045,clustering algorithms,conjunction,ontology alignment,heuristic,3
1046,ontology alignment,conjunction,clustering algorithms,heuristic,3
1047,semantic descriptions,is,resource description framework (rdf),heuristic,3
1048,resource description framework (rdf),analyzes,semantic descriptions,heuristic,1
1049,embedded,uses,resource description framework (rdf),heuristic,1
1050,embedded,uses,semantic search engine,heuristic,1
1051,web contents,uses,semantic search engine,heuristic,1
1052,service matching,uses,semantic web services,heuristic,7
1053,programming languages,uses,semantic description,heuristic,1
1054,expert systems,conjunction,web ontology language,heuristic,1
1055,resource description framework (rdf),supports,knowledge management,heuristic,6
1056,web ontology language,improves,knowledge management,heuristic,2
1057,domain knowledge,defines,web ontology language,heuristic,3
1058,resource description framework (rdf),supports,data integration,heuristic,2
1059,semantic search engines,conjunction,user profiling,heuristic,1
1060,user profiling,conjunction,semantic search engines,heuristic,1
1061,artificial intelligence,produces,semantic description,heuristic,3
1062,ontology alignment,uses,clone detection,heuristic,1
1063,clone detection,provides,ontology alignment,heuristic,2
1064,semantic search engines,produces,web-searching,heuristic,4
1065,semantic web services,analyzes,web 2.0,heuristic,1
1066,semantic web services,matches,electronic data interchange,heuristic,1
1067,semantic relationships,represents,semantic web services,heuristic,2
1068,semantic web services,base,shortest paths,heuristic,1
1069,resource description framework (rdf),uses,mobile devices,heuristic,1
1070,semantic web services,requires,authentication,heuristic,1
1071,semantic web services,requires,privacy,heuristic,1
1072,web ontology language,is,z,heuristic,1
1073,web ontology language,acquires,product families,heuristic,2
1074,web ontology language,recommends,learning,heuristic,4
1075,web ontology language,limits,product design,heuristic,2
1076,rdf graph,base,web ontology language,heuristic,2
1077,web ontology language,is,abstract syntax,heuristic,2
1078,abstract syntax,extends,web ontology language,heuristic,3
1079,web ontology language,proposes,social networks,heuristic,2
1080,argumentation,produces,semantic description,heuristic,1
1081,web ontology language,matches,relational data models,heuristic,3
1082,grid services,provides,semantic web services,heuristic,2
1083,information systems,conjunction,ontology alignment,heuristic,1
1084,ontology alignment,conjunction,information systems,heuristic,1
1085,model-driven engineering,analyzes,web ontology language,heuristic,2
1086,search engines,selects,resource description framework (rdf),heuristic,2
1087,search engines,selects,web ontology language,heuristic,2
1088,semantic web services,is,ubiquitous computing,heuristic,1
1089,linked data,supports,information systems,heuristic,2
1090,resource description framework (rdf),supports,wordnet,heuristic,3
1091,semantic web services,is,service ontology,heuristic,2
1092,mobile learning,extends,semantic web services,heuristic,2
1093,ontology alignment,uses,software agents,heuristic,1
1094,electronic commerce,conjunction,semantic web services,heuristic,1
1095,semantic search engines,improves,information acquisitions,heuristic,3
1096,semantic web technologies,represents,web ontology language,heuristic,3
1097,web ontology language,defines,autonomous agents,heuristic,2
1098,natural language processing systems,converts,web ontology language,heuristic,1
1099,data integration,uses,semantic web services,heuristic,2
1100,semantic web services,produces,customer services,heuristic,3
1101,web ontology language,represents,knowledge bases,heuristic,6
1102,semantic web services,supports,virtual organizations,heuristic,1
1103,resource description framework (rdf),supports,information integration,heuristic,1
1104,web ontology language,supports,information integration,heuristic,1
1105,on-line communities,produces,resource description framework (rdf),heuristic,4
1106,on-line communities,produces,web ontology language,heuristic,4
1107,web ontology language,provides,validation,heuristic,2
1108,web ontology language,represents,product configuration,heuristic,2
1109,semantic description,supports,systems integration,heuristic,1
1110,ontology alignment,combines,ontology construction,heuristic,1
1111,ontology alignment,matches,communication,heuristic,3
1112,web ontology language,includes,uml profiles,heuristic,6
1113,web ontology language,uses,modeling languages,heuristic,4
1114,semantic web services,base,programming languages,heuristic,1
1115,semantic web services,provides,automatic service composition,heuristic,2
1116,ontology modeling,uses,web ontology language,heuristic,1
1117,semantic web services,analyzes,formal ontology,heuristic,1
1118,curriculum,represents,ontology alignment,heuristic,1
1119,knowledge-sharing,represents,ontology alignment,heuristic,2
1120,semantic search engine,conjunction,world wide web,heuristic,1
1121,world wide web,conjunction,semantic search engine,heuristic,1
1122,vocabulary,represents,resource description framework (rdf),heuristic,15
1123,web ontology language,uses,relational database systems,heuristic,10
1124,relational database systems,acquires,web ontology language,heuristic,9
1125,java,provides,resource description framework (rdf),heuristic,4
1126,resource description framework (rdf),represents,index structure,heuristic,4
1127,index structure,provides,resource description framework (rdf),heuristic,3
1128,resource description framework (rdf),provides,semantic interoperability,heuristic,2
1129,resource description framework (rdf),represents,semantic interoperability,heuristic,11
1130,domain knowledge,acquires,semantic search engines,heuristic,2
1131,web ontology language,proposes,machining,heuristic,1
1132,vocabulary,converts,web ontology language,heuristic,8
1133,dublin core,learns,web ontology language,heuristic,3
1134,resource description framework (rdf),represents,dbpedia,heuristic,6
1135,semantic web technologies,proposes,semantic search engine,heuristic,1
1136,grid resources,base,semantic description,heuristic,1
1137,web applications,base,semantic search engines,heuristic,3
1138,semantic metadata,selects,semantic search engine,heuristic,1
1139,ontology alignment,maintains,evaluation system,heuristic,1
1140,semantic web services,provides,distributed applications,heuristic,2
1141,vocabulary,uses,semantic description,heuristic,1
1142,resource description framework (rdf),analyzes,distributed query processing,heuristic,2
1143,semantic interoperability,converts,linked data,heuristic,1
1144,semantic web services,provides,information sharing,heuristic,2
1145,semantic web services,is,temporal properties,heuristic,2
1146,semantic web technologies,limits,semantic search engine,heuristic,5
1147,semantic relationships,selects,ontology alignment,heuristic,5
1148,vocabulary,converts,web ontology language,heuristic,5
1149,web ontology language,uses,ontology development,heuristic,1
1150,semantic search engines,improves,semantic metadata,heuristic,3
1151,knowledge-sharing,proposes,web ontology language,heuristic,2
1152,services selection,is,semantic web services,heuristic,2
1153,semantic web services,produces,matching algorithm,heuristic,3
1154,matching algorithm,base,semantic description,heuristic,2
1155,spatial databases,acquires,semantic description,heuristic,2
1156,software product lines,includes,semantic description,heuristic,3
1157,sensors,improves,semantic description,heuristic,1
1158,architecture viewpoints,uses,ontology alignment,heuristic,1
1159,information management,evaluates,ontology alignment,heuristic,1
1160,ontology technology,conjunction,semantic web services,heuristic,2
1161,user profiles,conjunction,semantic web services,heuristic,1
1162,semantic web services,conjunction,user profiles,heuristic,1
1163,semantic description,provides,business process execution language,heuristic,2
1164,ontology alignment,is,semantic concept,heuristic,2
1165,web ontology language,conjunction,ontology technology,heuristic,1
1166,resource description framework (rdf),uses,computer science,heuristic,1
1167,linked data,requires,web development,heuristic,1
1168,semantic search engines,combines,ontology evolution,heuristic,1
1169,resource description framework (rdf),queries,semantic metadata,heuristic,2
1170,ontology construction,is,semantic descriptions,heuristic,5
1171,semantic description,supports,model-driven architectures,heuristic,2
1172,pattern,includes,semantic description,heuristic,3
1173,web ontology language,proposes,uml models,heuristic,3
1174,knowledge management,provides,semantic web services,heuristic,2
1175,information retrieval,uses,semantic web services,heuristic,2
1176,recommendation,conjunction,semantic web services,heuristic,1
1177,semantic web services,conjunction,recommendation,heuristic,1
1178,radio frequency identification technology,combines,semantic web services,heuristic,1
1179,optimization,is,resource description framework (rdf),heuristic,2
1180,resource description framework (rdf),produces,information contents,heuristic,2
1181,ontology alignment,uses,knowledge bases,heuristic,1
1182,ontology alignment,uses,dbpedia,heuristic,1
1183,linked data,provides,question answering systems,heuristic,6
1184,web ontology language,is,ontology modeling,heuristic,1
1185,ontology construction,supports,resource description framework (rdf),heuristic,4
1186,ontology construction,supports,web ontology language,heuristic,3
1187,learning,uses,resource description framework (rdf),heuristic,3
1188,resource description framework (rdf),produces,learning,heuristic,1
1189,inference,base,web ontology language,heuristic,2
1190,data integration,is,resource description framework (rdf),heuristic,7
1191,web ontology language,acquires,linked data,heuristic,2
1192,geoprocessing,base,web ontology language,heuristic,2
1193,dbpedia,base,semantic description,heuristic,1
1194,mobile robotics,produces,semantic description,heuristic,2
1195,vocabulary,proposes,resource description framework (rdf),heuristic,4
1196,semantic description,proposes,distributed applications,heuristic,2
1197,distributed applications,is,semantic description,heuristic,4
1198,semantic similarity measures,proposes,semantic description,heuristic,2
1199,web ontology language,supports,automation,heuristic,3
1200,semantic web services,analyzes,semantic data,heuristic,2
1201,cloud computing,conjunction,semantic web services,heuristic,1
1202,semantic web services,conjunction,cloud computing,heuristic,1
1203,electronic commerce,requires,ontology alignment,heuristic,5
1204,web contents,is,semantic search engine,heuristic,1
1205,semantic descriptions,conjunction,semantic search engine,heuristic,1
1206,building model,provides,web ontology language,heuristic,4
1207,re-engineering,provides,web ontology language,heuristic,4
1208,java,converts,web ontology language,heuristic,6
1209,knowledge management,conjunction,semantic search engines,heuristic,1
1210,evolutionary algorithms,supports,ontology alignment,heuristic,2
1211,ontology alignment,proposes,clustering algorithms,heuristic,3
1212,mobile applications,uses,semantic description,heuristic,1
1213,semantic description,produces,mobile applications,heuristic,1
1214,semantic description,learns,e-learning environment,heuristic,4
1215,graphical models,selects,semantic description,heuristic,3
1216,resource description framework (rdf),conjunction,relational data models,heuristic,1
1217,equivalence relations,defines,resource description framework (rdf),heuristic,2
1218,semantic web services,automates,web services discovery,heuristic,2
1219,web ontology language,conjunction,pattern recognition,heuristic,1
1220,pattern recognition,conjunction,web ontology language,heuristic,1
1221,resource description framework (rdf),proposes,web contents,heuristic,4
1222,resource description framework (rdf),proposes,web contents,heuristic,2
1223,ontology alignment,provides,embedded,heuristic,2
1224,linked data,provides,embedded,heuristic,4
1225,ontology alignment,conjunction,linked data,heuristic,1
1226,resource description framework (rdf),provides,linked open data,heuristic,3
1227,description logics,supports,resource description framework (rdf),heuristic,1
1228,engineering,includes,ontology alignment,heuristic,1
1229,ontology alignment,conjunction,knowledge representation,heuristic,1
1230,knowledge representation,conjunction,ontology alignment,heuristic,1
1231,semantic descriptions,uses,web 2.0,heuristic,2
1232,web ontology language,represents,decision models,heuristic,2
1233,semantic web services,represents,programming models,heuristic,1
1234,universities,supports,semantic web services,heuristic,1
1235,semantic web services,base,text clustering,heuristic,1
1236,semantic relationships,conjunction,semantic descriptions,heuristic,1
1237,ontology construction,includes,ontology alignment,heuristic,1
1238,ontology alignment,produces,information systems,heuristic,3
1239,semantic description,automates,service compositions,heuristic,1
1240,web ontology language,is,authorization,heuristic,3
1241,web ontology language,guides,access control,heuristic,4
1242,web ontology language,supports,attribute based access control,heuristic,1
1243,semantic web services,conjunction,information integration,heuristic,2
1244,resource description framework (rdf),is,standard model,heuristic,1
1245,resource description framework (rdf),is,standard model,heuristic,1
1246,inference,represents,web ontology language,heuristic,3
1247,resource description framework (rdf),provides,data streams,heuristic,1
1248,resource description framework (rdf),provides,data streams,heuristic,1
1249,web ontology language,produces,vocabulary,heuristic,1
1250,domain-specific ontologies,proposes,ontology alignment,heuristic,3
1251,automatic classification,conjunction,ontology alignment,heuristic,1
1252,ontology alignment,conjunction,automatic classification,heuristic,1
1253,linked data,links,cycle,heuristic,2
1254,email,supports,semantic search engines,heuristic,2
1255,semantic web services,conjunction,shape optimization,heuristic,1
1256,shape optimization,conjunction,semantic web services,heuristic,1
1257,linked data,provides,knowledge discovery,heuristic,6
1258,semantic search engines,conjunction,product design,heuristic,1
1259,open source software,converts,linked data,heuristic,3
1260,dbpedia,evaluates,semantic search engines,heuristic,1
1261,doherty power amplifier,proposes,semantic description,heuristic,1
1262,domain knowledge,classify,semantic description,heuristic,1
1263,semantic description,base,domain knowledge,heuristic,1
1264,semantic description,produces,formal specifications,heuristic,1
1265,virtual reality,base,resource description framework (rdf),heuristic,1
1266,visualization,uses,resource description framework (rdf),heuristic,2
