;s;p;o;source;support;Danilo;
349;recommendation;conjunction;semantic web services;luanyi;1;y;
35;recommender systems;uses;linked data;luanyi;1;n;
722;recommender systems;includes;semantic web services;luanyi;1;y;
724;relation extraction;uses;semantic search engine;luanyi;1;y;
588;relational database systems;uses;ontology alignment;heuristic;1;y;
2;relational database systems;conjunction;resource description framework (rdf);luanyi;2;y;
693;relational database systems;acquires;web ontology language;heuristic;12;y;
710;representational state transfer;conjunction;web ontology language;luanyi;1;n;
449;resource description framework (rdf);uses;abstract syntax;luanyi;1;n;
45;resource description framework (rdf);conjunction;ajax;luanyi;1;n;
936;resource description framework (rdf);conjunction;caching;luanyi;1;n;
280;resource description framework (rdf);includes;component-based software engineering;luanyi;1;n;
471;resource description framework (rdf);is;constraint language;heuristic;1;y;
644;resource description framework (rdf);conjunction;content management;heuristic;1;y;
273;resource description framework (rdf);uses;data exchange;heuristic;10;n;
68;resource description framework (rdf);conjunction;data integration;luanyi;1;y;
276;resource description framework (rdf);conjunction;data mining;luanyi;1;y;
532;resource description framework (rdf);uses;database systems;luanyi;3;n;
509;resource description framework (rdf);conjunction;dbpedia;luanyi;2;y;
744;resource description framework (rdf);conjunction;description logics;luanyi;1;y;
981;resource description framework (rdf);uses;digital libraries;luanyi;1;n;
344;resource description framework (rdf);acquires;domain knowledge;heuristic;9;n;
488;resource description framework (rdf);conjunction;dublin core;luanyi;1;n;
387;resource description framework (rdf);uses;engine;heuristic;9;n;
980;resource description framework (rdf);conjunction;extensible markup language;luanyi;4;y;
550;resource description framework (rdf);uses;formal specifications;heuristic;5;y;
791;resource description framework (rdf);uses;fuzzy cognitive maps;luanyi;1;n;
888;resource description framework (rdf);produces;inference;heuristic;26;n;
185;resource description framework (rdf);conjunction;intelligent agents;luanyi;1;y;
75;resource description framework (rdf);proposes;internet;heuristic;11;n;
308;resource description framework (rdf);extends;knowledge bases;heuristic;12;y;
606;resource description framework (rdf);guides;knowledge representation;heuristic;33;y;
620;resource description framework (rdf);conjunction;learning object metadata;luanyi;1;n;
459;resource description framework (rdf);uses;libraries;heuristic;12;y;
329;resource description framework (rdf);conjunction;linked data;luanyi;7;y;
1023;resource description framework (rdf);is;linked open data;luanyi;8;n;
595;resource description framework (rdf);conjunction;microdata;luanyi;1;y;
319;resource description framework (rdf);conjunction;natural language processing systems;luanyi;1;y;
808;resource description framework (rdf);conjunction;ontologies;luanyi;4;y;
622;resource description framework (rdf);is;ontology language;luanyi;11;n;
711;resource description framework (rdf);provides;ontology modeling;openie;1;y;
890;resource description framework (rdf);conjunction;optimization;luanyi;1;n;
519;resource description framework (rdf);uses;query optimization;luanyi;1;n;
805;resource description framework (rdf);includes;rdf data;luanyi;1;n;
661;resource description framework (rdf);uses;rdf graph;heuristic;21;n;
1001;resource description framework (rdf);conjunction;reasoning algorithms;luanyi;1;y;
630;resource description framework (rdf);is;recommendation;openie;2;n;
82;resource description framework (rdf);uses;relational data;luanyi;1;n;
508;resource description framework (rdf);matches;relational database systems;heuristic;29;n;
172;resource description framework (rdf);uses;search engines;heuristic;16;n;
221;resource description framework (rdf);includes;semantic data;luanyi;1;n;
233;resource description framework (rdf);is;semantic interoperability;luanyi;1;n;
404;resource description framework (rdf);is;semantic relationships;luanyi;2;n;
634;resource description framework (rdf);conjunction;semantic web rule languages;luanyi;7;y;
599;resource description framework (rdf);produces;semantic web services;heuristic;10;y;
289;resource description framework (rdf);is;semantic web technologies;luanyi;68;y;
837;resource description framework (rdf);is;semantic wikis;luanyi;1;n;
393;resource description framework (rdf);provides;service ontology;heuristic;1;n;
582;resource description framework (rdf);is;social networks;luanyi;1;n;
657;resource description framework (rdf);includes;social sciences;luanyi;1;n;
338;resource description framework (rdf);conjunction;sparql;luanyi;63;y;
1025;resource description framework (rdf);conjunction;spatial data;luanyi;1;y;
399;resource description framework (rdf);is;standard model;openie;1;y;
351;resource description framework (rdf);supports;tool support;heuristic;1;n;
255;resource description framework (rdf);is;vocabulary;luanyi;2;n;
230;resource description framework (rdf);is;web applications;luanyi;8;n;
458;resource description framework (rdf);represents;web contents;openie;1;y;
650;resource description framework (rdf);is;web engineering;luanyi;1;y;
910;resource description framework (rdf);represents;web information;openie;1;y;
955;resource description framework (rdf);conjunction;web ontology language;luanyi;233;y;
6;resource description framework (rdf);conjunction;web-searching;luanyi;1;y;
51;resource description framework (rdf);conjunction;world wide web;luanyi;1;y;
345;resource description framework (rdf);includes;xml data;openie;1;y;
340;resource description framework (rdf);conjunction;xpath;luanyi;1;y;
876;resource discovery;uses;linked data;heuristic;1;y;
548;resource discovery;uses;web ontology language;luanyi;1;y;
898;robots;uses;semantic web services;heuristic;2;y;
507;schema integration;conjunction;ontology alignment;luanyi;2;y;
948;schema matching;conjunction;ontology alignment;luanyi;1;y;
901;scientific data;uses;linked data;luanyi;1;y;
1005;search engines;links;linked data;heuristic;9;y;
600;search engines;conjunction;ontology alignment;luanyi;1;y;
150;search engines;provides;semantic search engine;heuristic;17;y;
954;search engines;includes;semantic search engines;luanyi;4;y;
402;search engines;uses;semantic web services;luanyi;2;y;
356;search engines;uses;web ontology language;luanyi;2;y;
484;security models;uses;resource description framework (rdf);luanyi;1;y;
316;security policies;uses;web ontology language;luanyi;1;y;
814;semantic data;conjunction;linked data;luanyi;1;y;
474;semantic data;uses;ontology alignment;luanyi;1;y;
762;semantic data;uses;web ontology language;heuristic;2;y;
187;semantic description;conjunction;biometrics;heuristic;1;n;
389;semantic description;uses;component-based software engineering;heuristic;11;n;
63;semantic description;uses;description logics;luanyi;1;n;
358;semantic description;uses;digital libraries;luanyi;1;n;
148;semantic description;produces;engine;heuristic;16;n;
485;semantic description;uses;formal specifications;luanyi;1;y;
71;semantic description;uses;fuzzy logics;luanyi;1;n;
576;semantic description;uses;knowledge bases;luanyi;1;n;
1007;semantic description;learns;learning;heuristic;11;n;
817;semantic description;uses;model-driven architectures;luanyi;1;n;
157;semantic description;uses;ontologies;luanyi;6;y;
412;semantic description;uses;ontology alignment;heuristic;1;n;
42;semantic description;uses;ontology language;luanyi;2;y;
464;semantic description;uses;parallel programming;heuristic;2;n;
353;semantic description;supports;reasoning algorithms;openie;1;y;
362;semantic description;uses;semantic descriptions;luanyi;1;n;
758;semantic description;uses;semantic relationships;luanyi;1;n;
563;semantic description;uses;semantic web technologies;luanyi;1;n;
133;semantic description;uses;web ontology language;openie;1;y;
1000;semantic description;uses;wordnet;luanyi;1;n;
633;semantic descriptions;supports;business services;openie;1;y;
337;semantic descriptions;is;component-based software engineering;openie;1;n;
134;semantic descriptions;uses;heterogeneous databases;luanyi;1;n;
933;semantic descriptions;conjunction;intelligent agents;luanyi;3;y;
756;semantic descriptions;uses;ontologies;luanyi;3;y;
691;semantic descriptions;uses;semantic description;heuristic;1;n;?
421;semantic descriptions;uses;semantic descriptions;luanyi;2;n;?
183;semantic descriptions;is;semantic relationships;luanyi;1;n;
767;semantic descriptions;conjunction;semantic search engine;luanyi;1;y;
982;semantic descriptions;uses;semantic web technologies;openie;1;n;
262;semantic descriptions;conjunction;verification;luanyi;2;n;
516;semantic desktop;uses;linked data;heuristic;1;y;
426;semantic desktop;uses;semantic search engines;luanyi;1;y;
140;semantic distance;uses;linked data;luanyi;1;n;
250;semantic heterogeneity;uses;ontology alignment;luanyi;1;y;
521;semantic heterogeneity;uses;semantic web services;luanyi;1;y;
825;semantic interoperability;uses;ontology alignment;luanyi;10;n;
996;semantic interoperability;conjunction;semantic search engines;luanyi;1;y;
256;semantic interoperability;uses;semantic web services;luanyi;1;y;
893;semantic interoperability;uses;web ontology language;luanyi;2;y;
300;semantic metadata;uses;resource description framework (rdf);heuristic;1;y;
843;semantic relationships;uses;linked data;luanyi;2;y;
275;semantic relationships;uses;ontology alignment;luanyi;1;y;
985;semantic relationships;uses;semantic description;luanyi;1;y;
86;semantic relationships;conjunction;semantic descriptions;luanyi;1;y;
989;semantic relationships;conjunction;semantic search engine;luanyi;1;y;
325;semantic relationships;conjunction;semantic search engines;luanyi;10;y;
770;semantic relationships;uses;semantic web services;luanyi;4;n;
909;semantic relationships;conjunction;web ontology language;luanyi;2;n;
326;semantic search engine;includes;component-based software engineering;luanyi;1;n;
551;semantic search engine;uses;database systems;luanyi;1;y;
472;semantic search engine;uses;description logics;luanyi;1;y;
841;semantic search engine;uses;engine;heuristic;17;y;
48;semantic search engine;is;information technology;luanyi;1;n;
1;semantic search engine;uses;knowledge bases;heuristic;4;y;
135;semantic search engine;uses;linked data;luanyi;1;y;
626;semantic search engine;uses;natural language interfaces;luanyi;4;y;
481;semantic search engine;uses;ontologies;luanyi;5;y;
897;semantic search engine;uses;ontology technology;luanyi;1;y;
719;semantic search engine;conjunction;recommendation systems;luanyi;1;y;
69;semantic search engine;conjunction;search engines;luanyi;5;y;
842;semantic search engine;uses;semantic data;luanyi;1;y;
138;semantic search engine;uses;semantic relationships;luanyi;2;y;
623;semantic search engine;uses;semantic search engines;luanyi;2;y;
205;semantic search engine;conjunction;semantic web services;luanyi;1;y;
189;semantic search engine;uses;semantic web technologies;luanyi;3;y;
869;semantic search engine;uses;user interfaces;luanyi;1;y;
121;semantic search engine;uses;wordnet;luanyi;1;y;
831;semantic search engines;conjunction;adaptive hypermedia;luanyi;1;y;
681;semantic search engines;conjunction;agent technology;luanyi;1;y;
258;semantic search engines;conjunction;artificial intelligence;luanyi;1;y;
8;semantic search engines;conjunction;audio;luanyi;2;n;
124;semantic search engines;uses;automatic image annotation;luanyi;1;y;
321;semantic search engines;conjunction;cloud computing;luanyi;3;y;
105;semantic search engines;is;component-based software engineering;openie;1;n;
432;semantic search engines;conjunction;data integration;luanyi;1;y;
531;semantic search engines;conjunction;data mining;luanyi;1;y;
1034;semantic search engines;conjunction;database systems;luanyi;1;y;
834;semantic search engines;uses;description logics;luanyi;1;y;
118;semantic search engines;uses;digital images;heuristic;1;y;
907;semantic search engines;conjunction;document classification;heuristic;1;y;
590;semantic search engines;uses;domain-specific ontologies;luanyi;5;y;
394;semantic search engines;conjunction;education;luanyi;1;y;
694;semantic search engines;uses;electronic documents;luanyi;1;y;
931;semantic search engines;uses;email;luanyi;1;y;
249;semantic search engines;uses;engine;heuristic;47;y;
858;semantic search engines;uses;fuzzy description logic;heuristic;2;y;
193;semantic search engines;uses;graph matchings;luanyi;1;y;
638;semantic search engines;uses;hierarchical models;luanyi;2;y;
553;semantic search engines;conjunction;image search;luanyi;1;y;
269;semantic search engines;uses;index structure;luanyi;1;y;
518;semantic search engines;uses;inference;luanyi;2;y;
688;semantic search engines;executes;information extraction;heuristic;9;y;
5;semantic search engines;conjunction;information fusion;luanyi;1;y;
395;semantic search engines;uses;information retrieval;heuristic;34;y;
670;semantic search engines;conjunction;interactive visualizations;luanyi;1;y;
667;semantic search engines;produces;internet;heuristic;11;y;
872;semantic search engines;conjunction;keyword search;luanyi;4;y;
926;semantic search engines;provides;knowledge bases;heuristic;25;y;
81;semantic search engines;conjunction;knowledge discovery;luanyi;1;y;
198;semantic search engines;conjunction;knowledge management;luanyi;1;y;
139;semantic search engines;uses;knowledge representation;luanyi;1;y;
782;semantic search engines;learns;learning;heuristic;24;y;
490;semantic search engines;conjunction;linked data;luanyi;1;y;
296;semantic search engines;uses;linked open data;heuristic;8;y;
392;semantic search engines;conjunction;machine learning techniques;luanyi;1;y;
13;semantic search engines;conjunction;machine translation systems;luanyi;1;y;
413;semantic search engines;uses;map-reduce;luanyi;1;y;
74;semantic search engines;uses;mobile agents;luanyi;1;y;
584;semantic search engines;conjunction;mobile computing;luanyi;1;y;
803;semantic search engines;uses;mobile devices;luanyi;2;n;
594;semantic search engines;uses;mobile phones;luanyi;2;n;
697;semantic search engines;uses;named entity recognition;luanyi;1;y;
1004;semantic search engines;is;natural language processing systems;luanyi;1;y;
497;semantic search engines;conjunction;natural language understanding;luanyi;1;y;
676;semantic search engines;provides;natural languages;heuristic;9;n;
0;semantic search engines;uses;ontologies;luanyi;16;y;
662;semantic search engines;conjunction;ontology alignment;luanyi;1;y;
257;semantic search engines;conjunction;ontology building;heuristic;1;y;
253;semantic search engines;conjunction;ontology construction;luanyi;1;y;
801;semantic search engines;conjunction;ontology evolution;luanyi;1;y;
751;semantic search engines;conjunction;ontology learning;luanyi;2;y;
339;semantic search engines;uses;parallelism;luanyi;1;y;
56;semantic search engines;conjunction;personalizations;luanyi;2;y;
652;semantic search engines;conjunction;pervasive;heuristic;1;n;
373;semantic search engines;uses;pervasive computing;luanyi;1;y;
95;semantic search engines;conjunction;question answering systems;luanyi;4;y;
775;semantic search engines;uses;rdf data;luanyi;1;y;
1026;semantic search engines;conjunction;reasoning algorithms;luanyi;2;y;
932;semantic search engines;conjunction;recommendation;luanyi;1;y;
248;semantic search engines;uses;resource description framework (rdf);luanyi;1;y;
635;semantic search engines;uses;search engines;luanyi;11;y;
714;semantic search engines;conjunction;semantic interoperability;luanyi;1;y;
868;semantic search engines;conjunction;semantic relationships;luanyi;1;y;
969;semantic search engines;uses;semantic search engine;luanyi;2;n;
149;semantic search engines;conjunction;semantic search engines;luanyi;6;y;
175;semantic search engines;uses;semantic similarity measures;heuristic;13;y;
260;semantic search engines;uses;semantic web services;heuristic;6;y;
72;semantic search engines;is;semantic web technologies;luanyi;1;y;
434;semantic search engines;uses;social networks;luanyi;2;n;
195;semantic search engines;conjunction;social search;luanyi;1;y;
645;semantic search engines;conjunction;social software;luanyi;1;n;
50;semantic search engines;uses;sparql;luanyi;2;y;
180;semantic search engines;uses;spatial data infrastructure;luanyi;1;y;
935;semantic search engines;provides;speech recognition;heuristic;10;y;
487;semantic search engines;uses;text mining;luanyi;1;y;
317;semantic search engines;uses;user query;luanyi;1;y;
186;semantic search engines;conjunction;validation;heuristic;1;n;
757;semantic search engines;conjunction;vector space models;luanyi;1;y;
425;semantic search engines;requires;verification;openie;1;n;
713;semantic search engines;conjunction;visualization;luanyi;1;y;
631;semantic search engines;uses;vocabulary;heuristic;6;y;
944;semantic search engines;uses;web of data;luanyi;1;y;
112;semantic search engines;uses;web ontology language;luanyi;2;y;
303;semantic search engines;improves;web searches;openie;1;y;
231;semantic search engines;conjunction;web services discovery;heuristic;1;y;
208;semantic search engines;conjunction;wiki;luanyi;1;y;
793;semantic search engines;conjunction;wordnet;luanyi;1;y;
450;semantic similarity measures;uses;ontology alignment;luanyi;1;y;
613;semantic web rule languages;is;web ontology language;luanyi;1;y;
953;semantic web service discovery;uses;ontology alignment;luanyi;2;n;
66;semantic web service discovery;conjunction;semantic search engines;luanyi;1;y;
658;semantic web services;uses;access control;luanyi;3;y;
307;semantic web services;uses;agent technology;luanyi;2;y;
997;semantic web services;uses;answering queries;heuristic;1;y;
743;semantic web services;uses;artificial intelligence;heuristic;5;y;
923;semantic web services;requires;authentication;openie;1;y;
826;semantic web services;supports;automated reasoning;openie;2;y;
522;semantic web services;uses;automatic composition;luanyi;1;y;
946;semantic web services;supports;automation;openie;6;n;
403;semantic web services;uses;bayesian classification;luanyi;1;y;
64;semantic web services;conjunction;blogging;luanyi;2;n;
572;semantic web services;conjunction;blogs;luanyi;1;y;
448;semantic web services;uses;business logic;luanyi;1;y;
76;semantic web services;uses;business process execution language;luanyi;4;y;
206;semantic web services;conjunction;cloud computing;heuristic;1;y;
983;semantic web services;uses;collaborative filtering algorithms;luanyi;1;y;
716;semantic web services;uses;collaborative tagging;luanyi;1;y;
866;semantic web services;conjunction;communication;luanyi;2;y;
181;semantic web services;includes;component-based software engineering;luanyi;1;n;
169;semantic web services;uses;database management;luanyi;1;y;
610;semantic web services;uses;description logics;luanyi;6;y;
372;semantic web services;uses;distributed applications;luanyi;1;y;
575;semantic web services;uses;distributed architectures;luanyi;1;y;
1014;semantic web services;uses;distributed systems;luanyi;1;y;
390;semantic web services;provides;dynamic composition;heuristic;10;y;
660;semantic web services;provides;engineering;heuristic;10;n;
304;semantic web services;uses;explicit knowledge;heuristic;2;y;
363;semantic web services;uses;formal models;luanyi;2;y;
336;semantic web services;conjunction;grid services;luanyi;2;y;
505;semantic web services;is;information integration;luanyi;1;n;
992;semantic web services;uses;information theory;heuristic;1;y;
251;semantic web services;supports;intelligent agents;heuristic;9;y;
100;semantic web services;uses;knowledge acquisition;luanyi;3;y;
131;semantic web services;conjunction;knowledge engineering;luanyi;1;y;
332;semantic web services;conjunction;knowledge management;luanyi;1;y;
39;semantic web services;conjunction;knowledge representation;luanyi;1;y;
47;semantic web services;uses;learning;heuristic;24;n;
865;semantic web services;uses;linear logic;heuristic;3;n;
821;semantic web services;uses;mashup;luanyi;1;n;
800;semantic web services;uses;matching algorithm;luanyi;2;y;
40;semantic web services;conjunction;mobile computing;luanyi;1;n;
428;semantic web services;uses;mobile devices;luanyi;1;n;
934;semantic web services;uses;modeling languages;luanyi;2;y;
732;semantic web services;conjunction;multi-agents;luanyi;1;y;
806;semantic web services;uses;natural languages;heuristic;5;y;
844;semantic web services;uses;ontologies;luanyi;21;y;
974;semantic web services;uses;ontology alignment;luanyi;2;y;
414;semantic web services;uses;ontology evolution;luanyi;1;y;
17;semantic web services;uses;ontology integration;luanyi;1;y;
165;semantic web services;uses;ontology language;luanyi;1;y;
598;semantic web services;conjunction;ontology technology;luanyi;1;y;
625;semantic web services;provides;open source software;heuristic;9;y;
942;semantic web services;conjunction;p2p computing;luanyi;1;y;
216;semantic web services;acquires;petri nets;heuristic;10;y;
972;semantic web services;requires;privacy;openie;1;y;
848;semantic web services;represents;programming models;openie;1;n;
288;semantic web services;conjunction;query processing;heuristic;1;y;
85;semantic web services;conjunction;reasoning algorithms;luanyi;2;y;
835;semantic web services;uses;reference architectures;luanyi;1;y;
552;semantic web services;uses;resource description framework (rdf);luanyi;1;y;
73;semantic web services;includes;semantic description;luanyi;2;y;
302;semantic web services;uses;semantic interoperability;luanyi;2;y;
636;semantic web services;uses;semantic relationships;luanyi;4;y;
439;semantic web services;conjunction;semantic search engine;luanyi;1;y;
574;semantic web services;uses;semantic search engines;luanyi;1;y;
182;semantic web services;conjunction;semantic web service discovery;luanyi;1;y;
530;semantic web services;uses;semantic web services;luanyi;18;y;
679;semantic web services;is;semantic web technologies;luanyi;2;y;
653;semantic web services;conjunction;semantic wikis;luanyi;3;y;
170;semantic web services;uses;service compositions;luanyi;2;y;
155;semantic web services;provides;service execution;heuristic;9;y;
649;semantic web services;uses;service management;heuristic;5;y;
107;semantic web services;produces;service matching;heuristic;9;y;
108;semantic web services;uses;service-oriented computing;luanyi;3;y;
642;semantic web services;proposes;services discovery;heuristic;12;y;
102;semantic web services;includes;services selection;luanyi;1;y;
436;semantic web services;conjunction;shape optimization;luanyi;1;y;
151;semantic web services;uses;shortest paths;luanyi;1;y;
640;semantic web services;conjunction;social networks;luanyi;6;y;
197;semantic web services;conjunction;software agents;luanyi;3;y;
961;semantic web services;uses;sparql;luanyi;1;y;
666;semantic web services;supports;supply chain coordination;openie;1;y;
529;semantic web services;uses;system architectures;luanyi;1;y;
61;semantic web services;uses;text clustering;luanyi;1;y;
137;semantic web services;uses;tool support;luanyi;1;y;
524;semantic web services;uses;uml profiles;luanyi;1;y;
24;semantic web services;conjunction;user profiles;luanyi;1;y;
999;semantic web services;uses;user query;luanyi;1;y;
780;semantic web services;uses;visual programming;luanyi;1;y;
740;semantic web services;uses;visualization;luanyi;1;y;
494;semantic web services;uses;web 2.0;luanyi;1;y;
334;semantic web services;uses;web of data;luanyi;1;y;
792;semantic web services;uses;web ontology language;luanyi;4;y;
517;semantic web services;proposes;web service composition;heuristic;19;y;
690;semantic web services;uses;web service description;luanyi;2;y;
469;semantic web services;uses;web services discovery;luanyi;2;y;
163;semantic web services;uses;wi-fi;heuristic;3;y;
854;semantic web technologies;conjunction;linked data;luanyi;17;y;
621;semantic web technologies;includes;ontology alignment;luanyi;1;y;
836;semantic web technologies;conjunction;resource description framework (rdf);luanyi;1;y;
268;semantic web technologies;includes;semantic description;luanyi;1;y;
596;semantic web technologies;conjunction;semantic descriptions;luanyi;3;y;
561;semantic web technologies;uses;semantic search engine;luanyi;2;y;
781;semantic web technologies;supports;semantic search engines;heuristic;11;y;
55;semantic web technologies;uses;semantic web services;luanyi;4;y;
385;semantic web technologies;conjunction;web ontology language;luanyi;4;y;
91;semantic wikis;conjunction;semantic search engines;luanyi;3;y;
918;sensor networks;uses;ontology alignment;luanyi;1;n;
119;sensor networks;conjunction;semantic web services;heuristic;1;n;
196;sentence similarity;conjunction;ontology alignment;heuristic;2;y;
502;service architecture;uses;resource description framework (rdf);heuristic;1;y;
429;service compositions;conjunction;ontology alignment;luanyi;3;y;
369;service compositions;uses;semantic description;luanyi;1;y;
473;service compositions;proposes;semantic web services;heuristic;9;y;
322;service execution;is;semantic web services;luanyi;1;y;
15;service matching;uses;semantic web services;luanyi;2;y;
423;service ontology;proposes;semantic web services;heuristic;13;y;
306;service orchestration;conjunction;ontology alignment;luanyi;1;y;
655;services discovery;selects;semantic web services;heuristic;9;y;
797;services selection;uses;semantic web services;luanyi;1;y;
178;smart phones;uses;semantic search engines;luanyi;1;y;
647;social networks;conjunction;ontology alignment;luanyi;1;n;
446;social networks;uses;web ontology language;luanyi;2;n;
415;social relationships;uses;semantic search engines;luanyi;1;n;
1016;social search;conjunction;semantic search engines;luanyi;2;y;
883;software agents;uses;semantic description;luanyi;1;y;
765;software agents;uses;semantic web services;heuristic;13;y;
174;software agents;publishes;web ontology language;heuristic;11;y;
30;software design;uses;web ontology language;heuristic;3;y;
200;software design patterns;uses;web ontology language;heuristic;1;y;
242;software development life cycle;uses;semantic web services;luanyi;1;y;
418;software engineering;uses;linked data;luanyi;1;y;
1033;software maintenance;uses;ontology alignment;luanyi;1;y;
327;sparql;links;linked data;heuristic;59;y;
46;sparql;is;resource description framework (rdf);luanyi;4;n;
77;sparql;conjunction;semantic descriptions;luanyi;1;y;
656;sparql;conjunction;web ontology language;luanyi;7;y;
700;spatial data;uses;linked data;luanyi;2;y;
277;spatial databases;conjunction;ontology alignment;heuristic;1;n;
794;speech recognition;conjunction;semantic search engines;luanyi;1;y;
114;star schema;uses;web ontology language;luanyi;1;y;
1013;stream data;uses;linked data;heuristic;11;n;
952;supervised machine learning;uses;resource description framework (rdf);heuristic;1;y;
525;supervised machine learning;uses;web ontology language;luanyi;1;y;
346;supply chain coordination;uses;semantic web services;luanyi;2;y;
778;telecommunications industry;uses;semantic web services;luanyi;2;n;
1015;testing and debugging;conjunction;ontology alignment;heuristic;1;n;
156;text clustering;uses;semantic search engine;luanyi;1;y;
729;text mining;conjunction;linked data;heuristic;2;y;
847;text mining;conjunction;ontology alignment;heuristic;1;y;
873;text mining;uses;semantic web services;luanyi;1;y;
398;twitter;is;linked data;luanyi;1;n;
795;ubiquitous computing environment;uses;web ontology language;heuristic;5;n;
736;uml models;visualizes;web ontology language;heuristic;9;y;
263;universities;links;linked data;heuristic;17;n;
1017;user experience;uses;semantic search engine;luanyi;1;n;
422;user interfaces;links;linked data;heuristic;13;n;
223;user navigation;uses;semantic search engines;luanyi;1;n;
1011;user profiling;conjunction;semantic search engines;heuristic;1;y;
984;user query;uses;ontology alignment;luanyi;1;n;
964;user query;uses;semantic search engine;luanyi;1;y;
833;user query;uses;semantic search engines;luanyi;1;y;
937;user query;uses;web ontology language;heuristic;6;n;
312;validation;conjunction;ontology alignment;luanyi;1;y;
491;validation;uses;resource description framework (rdf);heuristic;1;y;
673;validation;uses;semantic description;heuristic;7;y;
537;validation;conjunction;semantic search engines;heuristic;1;y;
648;validation;uses;web ontology language;heuristic;1;y;
748;verification;uses;web ontology language;heuristic;2;y;
104;visualization;links;linked data;heuristic;17;n;
83;vocabulary;conjunction;linked data;luanyi;1;n;
534;vocabulary;defines;resource description framework (rdf);heuristic;14;n;
342;vocabulary;converts;web ontology language;heuristic;10;n;
601;voicexml;conjunction;resource description framework (rdf);luanyi;4;y;
235;voicexml;conjunction;web ontology language;luanyi;4;y;
708;web 2.0;conjunction;linked data;luanyi;6;y;
44;web 2.0;conjunction;ontology alignment;heuristic;1;y;
1008;web applications;uses;linked data;luanyi;4;y;
731;web applications;uses;ontology alignment;luanyi;1;y;
816;web applications;uses;resource description framework (rdf);luanyi;2;y;
845;web applications;uses;semantic web services;luanyi;4;y;
565;web applications;uses;web ontology language;luanyi;1;y;
166;web browsing;uses;linked data;luanyi;1;y;
341;web contents;uses;linked data;luanyi;2;n;
453;web contents;uses;resource description framework (rdf);luanyi;1;n;
921;web contents;uses;semantic description;luanyi;1;n;
967;web contents;uses;semantic search engine;luanyi;1;n;
311;web contents;uses;semantic search engines;luanyi;1;n;
360;web contents;uses;semantic web services;luanyi;1;n;
506;web contents;uses;web ontology language;luanyi;2;n;
313;web crawlers;conjunction;resource description framework (rdf);luanyi;1;y;
323;web engineering;uses;resource description framework (rdf);luanyi;2;y;
619;web engineering;uses;semantic web services;luanyi;1;y;
492;web information;uses;semantic web services;heuristic;2;y;
377;web of data;uses;linked data;luanyi;9;y;
902;web of data;uses;resource description framework (rdf);luanyi;2;y;
624;web of data;uses;semantic search engine;luanyi;1;y;
444;web ontology language;provides;access control;openie;1;y;
899;web ontology language;supports;business intelligence;heuristic;1;y;
409;web ontology language;conjunction;coloured petri nets;luanyi;1;y;
950;web ontology language;includes;component-based software engineering;heuristic;10;y;
614;web ontology language;is;computer science;luanyi;1;y;
663;web ontology language;supports;context reasoning;heuristic;11;y;
445;web ontology language;conjunction;controlled natural language;luanyi;1;y;
1031;web ontology language;provides;data integration;openie;1;n;
14;web ontology language;uses;description logics;luanyi;8;y;
184;web ontology language;defines;domain knowledge;heuristic;22;y;
146;web ontology language;includes;domain-specific ontologies;luanyi;1;y;
605;web ontology language;defines;engine;heuristic;11;n;
861;web ontology language;is;expert systems;luanyi;1;n;
639;web ontology language;is;extensible markup language;heuristic;1;y;
12;web ontology language;is;fuzzy extension;luanyi;1;n;
493;web ontology language;uses;fuzzy logics;luanyi;1;n;
382;web ontology language;is;haptics;heuristic;1;n;
383;web ontology language;conjunction;inference;luanyi;3;n;
523;web ontology language;represents;internet;heuristic;18;n;
1024;web ontology language;conjunction;java;luanyi;2;n;
789;web ontology language;includes;knowledge bases;luanyi;1;n;
25;web ontology language;uses;knowledge engineering;luanyi;1;y;
367;web ontology language;is;knowledge management;luanyi;1;n;
741;web ontology language;uses;knowledge representation;luanyi;1;y;
191;web ontology language;conjunction;linked data;luanyi;1;y;
433;web ontology language;is;logic programming;luanyi;1;n;
924;web ontology language;is;mass customization;heuristic;2;n;
990;web ontology language;is;modeling languages;luanyi;1;y;
885;web ontology language;conjunction;object constraint language;luanyi;1;y;
284;web ontology language;includes;ontologies;luanyi;13;n;
22;web ontology language;includes;ontology construction;luanyi;2;n;
243;web ontology language;is;ontology language;luanyi;5;y;
503;web ontology language;provides;ontology modeling;openie;1;y;
167;web ontology language;conjunction;optimization;luanyi;1;n;
930;web ontology language;conjunction;pattern recognition;heuristic;1;n;
297;web ontology language;conjunction;pervasive computing;luanyi;1;n;
938;web ontology language;provides;query processing;heuristic;7;n;
128;web ontology language;supports;reasoning algorithms;openie;1;n;
93;web ontology language;is;recommendation;openie;1;n;
607;web ontology language;uses;relational data models;luanyi;1;n;
192;web ontology language;uses;relational database systems;luanyi;1;n;
991;web ontology language;conjunction;resource description framework (rdf);luanyi;4;y;
763;web ontology language;supports;search engines;openie;1;y;
818;web ontology language;is;semantic description;luanyi;1;y;
386;web ontology language;conjunction;semantic relationships;luanyi;3;n;
672;web ontology language;conjunction;semantic web rule languages;luanyi;50;n;
538;web ontology language;includes;semantic web services;luanyi;1;n;
721;web ontology language;is;semantic web technologies;luanyi;43;y;
1020;web ontology language;conjunction;sparql;luanyi;31;y;
585;web ontology language;provides;tool support;heuristic;4;n;
371;web ontology language;uses;uml profiles;luanyi;1;n;
