;s;p;o;FRA
780;web applications;produces;linked data;
518;web applications;uses;linked data;y
519;web applications;uses;ontology alignment;y
781;web applications;based-on;resource description framework (rdf);
782;web applications;based-on;semantic search engines;
783;web applications;produces;semantic web services;n
520;web applications;uses;semantic web services;y
521;web applications;uses;web ontology language;y
522;web browsing;uses;linked data;y
523;web contents;uses;linked data;y
524;web contents;uses;resource description framework (rdf);y
784;web contents;selects;semantic descriptions;
525;web contents;uses;semantic descriptions;
785;web contents;supports;semantic search engines;
526;web contents;uses;semantic search engines;y
527;web contents;uses;semantic web services;y
786;web contents;acquires;web ontology language;
528;web contents;uses;web ontology language;y
529;web crawlers;skos:broader/is/hyponym-of;semantic search engines;
787;web development;requires;semantic web services;n
530;web engineering;uses;resource description framework (rdf);y
531;web engineering;uses;semantic web services;y
532;web of data;uses;linked data;y
533;web of data;requires;resource description framework (rdf);
534;web of data;uses;resource description framework (rdf);y
535;web of data;uses;semantic search engines;
788;web ontology language;guides;access control;
536;web ontology language;provides;access control;n
789;web ontology language;provides;automated reasoning;y
537;web ontology language;supports;automation;y
790;web ontology language;executes;cim;
538;web ontology language;uses;class diagrams;
791;web ontology language;proposes;cloud services;n
792;web ontology language;uses;collaborative designs;y
793;web ontology language;produces;communication;
794;web ontology language;uses;component repository;y
539;web ontology language;skos:broader/is/hyponym-of;computer science;
795;web ontology language;extends;context information;
796;web ontology language;provides;context modeling;y
797;web ontology language;supports;context reasoning;
540;web ontology language;provides;data integration;y
541;web ontology language;based-on;description logics;
542;web ontology language;skos:broader/is/hyponym-of;description logics;
543;web ontology language;uses;description logics;y
544;web ontology language;represents;domain knowledge;y
545;web ontology language;includes;domain-specific ontologies;y
546;web ontology language;produces;domain-specific ontologies;y
547;web ontology language;skos:broader/is/hyponym-of;expert systems;
548;web ontology language;skos:broader/is/hyponym-of;extensible markup language (xml);
549;web ontology language;includes;functional dependencies;
550;web ontology language;skos:broader/is/hyponym-of;fuzzy extension;
551;web ontology language;uses;fuzzy extension;y
552;web ontology language;uses;fuzzy logics;y
798;web ontology language;produces;grid services;
553;web ontology language;skos:broader/is/hyponym-of;haptics;
554;web ontology language;supports;inference;y
799;web ontology language;provides;information retrieval;
800;web ontology language;maintains;information systems;n
801;web ontology language;extends;internet;
555;web ontology language;includes;knowledge bases;y
556;web ontology language;produces;knowledge bases;y
557;web ontology language;uses;knowledge engineering;y
558;web ontology language;skos:broader/is/hyponym-of;knowledge management;
802;web ontology language;supports;knowledge management;
559;web ontology language;uses;knowledge representation;y
560;web ontology language;uses;linked data;
561;web ontology language;skos:broader/is/hyponym-of;logic programming;
562;web ontology language;skos:broader/is/hyponym-of;mass customization;
803;web ontology language;uses;modelling language;
804;web ontology language;provides;natural language processing systems;n
563;web ontology language;defines;ontologies;y
805;web ontology language;provides;ontology alignment;y
564;web ontology language;includes;ontology construction;n
806;web ontology language;proposes;ontology construction;n
565;web ontology language;includes;ontology language;n
566;web ontology language;skos:broader/is/hyponym-of;ontology language;
567;web ontology language;provides;ontology modeling;y
568;web ontology language;provides;query processing;n
569;web ontology language;provides;reasoning algorithms;y
570;web ontology language;supports;reasoning algorithms;y
807;web ontology language;proposes;recommendation;
571;web ontology language;skos:broader/is/hyponym-of;recommendation;
808;web ontology language;matches;relational data models;n
572;web ontology language;uses;relational data models;y
573;web ontology language;skos:broader/is/hyponym-of;relational database systems;
574;web ontology language;uses;relational database systems;y
809;web ontology language;uses;resource discovery;n
575;web ontology language;supports;search engines;y
576;web ontology language;defines;security policies;
577;web ontology language;skos:broader/is/hyponym-of;semantic descriptions;
810;web ontology language;provides;semantic interoperability;y
811;web ontology language;recommends;semantic relationships;
578;web ontology language;includes;semantic web services;n
579;web ontology language;produces;semantic web services;
580;web ontology language;produces;semantic web technologies;y
581;web ontology language;skos:broader/is/hyponym-of;semantic web technologies;
582;web ontology language;uses;semantic web technologies;y
583;web ontology language;supports;software agents;y
812;web ontology language;provides;tool support;
813;web ontology language;selects;uml models;n
584;web ontology language;uses;uml models;
814;web ontology language;includes;uml profiles;n
585;web ontology language;uses;uml profiles;y
586;web ontology language;provides;visualization;
815;web ontology language;proposes;vocabulary;y
587;web ontology language;provides;vocabulary;y
588;web ontology language;skos:broader/is/hyponym-of;vocabulary;
816;web ontology language;provides;web contents;
589;web ontology language;uses;web of data;n
817;web ontology language;supports;xml databases;
590;web ontology language;uses;xslt;
591;web ontology language;skos:broader/is/hyponym-of;z;
592;web searches;uses;resource description framework (rdf);y
593;web searches;uses;semantic search engines;y
594;web service composition;uses;ontology alignment;y
595;web service composition;uses;semantic web services;y
596;web service description;uses;semantic web services;y
597;web services discovery;uses;semantic descriptions;
818;web services discovery;proposes;semantic web services;
598;web services discovery;uses;semantic web services;y
599;web-mining;uses;semantic search engines;y
600;web-searching;uses;semantic search engines;y
819;wiki;provides;linked data;
601;wiki;skos:broader/is/hyponym-of;linked data;
602;wiki;provides;semantic search engines;n
603;wordnet;skos:broader/is/hyponym-of;web ontology language;
820;world wide web;converts-to;resource description framework (rdf);
604;world wide web;skos:broader/is/hyponym-of;semantic search engines;
605;xacml;skos:broader/is/hyponym-of;web ontology language;
606;xml;uses;semantic search engines;
821;xml;includes;semantic web services;
607;xml databases;converts-to;resource description framework (rdf);
608;xml format;uses;ontology alignment;
