;s;p;o;annotation(y or n)
534;web of data;uses;resource description framework (rdf);
535;web of data;uses;semantic search engines;
788;web ontology language;guides;access control;
536;web ontology language;provides;access control;
789;web ontology language;provides;automated reasoning;
537;web ontology language;supports;automation;
790;web ontology language;executes;cim;
538;web ontology language;uses;class diagrams;
791;web ontology language;proposes;cloud services;
792;web ontology language;uses;collaborative designs;
793;web ontology language;produces;communication;
794;web ontology language;uses;component repository;
539;web ontology language;skos:broader/is/hyponym-of;computer science;
795;web ontology language;extends;context information;
796;web ontology language;provides;context modeling;
797;web ontology language;supports;context reasoning;
540;web ontology language;provides;data integration;
541;web ontology language;based-on;description logics;
542;web ontology language;skos:broader/is/hyponym-of;description logics;
543;web ontology language;uses;description logics;
544;web ontology language;represents;domain knowledge;
545;web ontology language;includes;domain-specific ontologies;
546;web ontology language;produces;domain-specific ontologies;
547;web ontology language;skos:broader/is/hyponym-of;expert systems;
548;web ontology language;skos:broader/is/hyponym-of;extensible markup language (xml);
549;web ontology language;includes;functional dependencies;
550;web ontology language;skos:broader/is/hyponym-of;fuzzy extension;
551;web ontology language;uses;fuzzy extension;
552;web ontology language;uses;fuzzy logics;
798;web ontology language;produces;grid services;
553;web ontology language;skos:broader/is/hyponym-of;haptics;
554;web ontology language;supports;inference;
799;web ontology language;provides;information retrieval;
800;web ontology language;maintains;information systems;
801;web ontology language;extends;internet;
555;web ontology language;includes;knowledge bases;
556;web ontology language;produces;knowledge bases;
557;web ontology language;uses;knowledge engineering;
558;web ontology language;skos:broader/is/hyponym-of;knowledge management;
802;web ontology language;supports;knowledge management;
559;web ontology language;uses;knowledge representation;
560;web ontology language;uses;linked data;
561;web ontology language;skos:broader/is/hyponym-of;logic programming;
562;web ontology language;skos:broader/is/hyponym-of;mass customization;
803;web ontology language;uses;modelling language;
804;web ontology language;provides;natural language processing systems;
563;web ontology language;defines;ontologies;
805;web ontology language;provides;ontology alignment;
564;web ontology language;includes;ontology construction;
806;web ontology language;proposes;ontology construction;
565;web ontology language;includes;ontology language;
566;web ontology language;skos:broader/is/hyponym-of;ontology language;
567;web ontology language;provides;ontology modeling;
568;web ontology language;provides;query processing;
569;web ontology language;provides;reasoning algorithms;
570;web ontology language;supports;reasoning algorithms;
807;web ontology language;proposes;recommendation;
571;web ontology language;skos:broader/is/hyponym-of;recommendation;
808;web ontology language;matches;relational data models;
572;web ontology language;uses;relational data models;
573;web ontology language;skos:broader/is/hyponym-of;relational database systems;
574;web ontology language;uses;relational database systems;
809;web ontology language;uses;resource discovery;
575;web ontology language;supports;search engines;
576;web ontology language;defines;security policies;
577;web ontology language;skos:broader/is/hyponym-of;semantic descriptions;
810;web ontology language;provides;semantic interoperability;
811;web ontology language;recommends;semantic relationships;
578;web ontology language;includes;semantic web services;
579;web ontology language;produces;semantic web services;
580;web ontology language;produces;semantic web technologies;
581;web ontology language;skos:broader/is/hyponym-of;semantic web technologies;
582;web ontology language;uses;semantic web technologies;
583;web ontology language;supports;software agents;
812;web ontology language;provides;tool support;
813;web ontology language;selects;uml models;
584;web ontology language;uses;uml models;
814;web ontology language;includes;uml profiles;
585;web ontology language;uses;uml profiles;
586;web ontology language;provides;visualization;
815;web ontology language;proposes;vocabulary;
587;web ontology language;provides;vocabulary;
588;web ontology language;skos:broader/is/hyponym-of;vocabulary;
816;web ontology language;provides;web contents;
589;web ontology language;uses;web of data;
817;web ontology language;supports;xml databases;
590;web ontology language;uses;xslt;
591;web ontology language;skos:broader/is/hyponym-of;z;
592;web searches;uses;resource description framework (rdf);
593;web searches;uses;semantic search engines;
594;web service composition;uses;ontology alignment;
595;web service composition;uses;semantic web services;
596;web service description;uses;semantic web services;
597;web services discovery;uses;semantic descriptions;
818;web services discovery;proposes;semantic web services;
598;web services discovery;uses;semantic web services;
599;web-mining;uses;semantic search engines;
600;web-searching;uses;semantic search engines;
819;wiki;provides;linked data;
601;wiki;skos:broader/is/hyponym-of;linked data;
602;wiki;provides;semantic search engines;
603;wordnet;skos:broader/is/hyponym-of;web ontology language;
820;world wide web;converts-to;resource description framework (rdf);
604;world wide web;skos:broader/is/hyponym-of;semantic search engines;
605;xacml;skos:broader/is/hyponym-of;web ontology language;
606;xml;uses;semantic search engines;
821;xml;includes;semantic web services;
607;xml databases;converts-to;resource description framework (rdf);
608;xml format;uses;ontology alignment;
