,s,p,o,source,support,abstracts
66,semantic search engines,skos:broader/is/hyponym-of,concept architecture,heuristic,1,"['the future www search engine will not only be used to search text , but also can understand the web content , carry out logical reasoning , and achieve the complex search query and feed back correct results.a concept architecture used for semantic search engine was established.the constructional elements in the concept architecture and their interaction process are discussed in this paper.the superiority of the concept architecture is demonstrated by comparing with traditional semantic search engines.the current problem of the inference engine is that they do not support a sound knowledge base , so its function is limited in the code verification.the concept architecture mentioned in this paper has no such a problem , because the architecture of the inference engine has a complete knowledge base.by using owl language recommended by w3c , the language standardization is achieved .']"
67,knowledge bases,limits,concept architecture,heuristic,1,"['the future www search engine will not only be used to search text , but also can understand the web content , carry out logical reasoning , and achieve the complex search query and feed back correct results.a concept architecture used for semantic search engine was established.the constructional elements in the concept architecture and their interaction process are discussed in this paper.the superiority of the concept architecture is demonstrated by comparing with traditional semantic search engines.the current problem of the inference engine is that they do not support a sound knowledge base , so its function is limited in the code verification.the concept architecture mentioned in this paper has no such a problem , because the architecture of the inference engine has a complete knowledge base.by using owl language recommended by w3c , the language standardization is achieved .']"
68,knowledge bases,limits,code verification.the concept architecture,heuristic,1,"['the future www search engine will not only be used to search text , but also can understand the web content , carry out logical reasoning , and achieve the complex search query and feed back correct results.a concept architecture used for semantic search engine was established.the constructional elements in the concept architecture and their interaction process are discussed in this paper.the superiority of the concept architecture is demonstrated by comparing with traditional semantic search engines.the current problem of the inference engine is that they do not support a sound knowledge base , so its function is limited in the code verification.the concept architecture mentioned in this paper has no such a problem , because the architecture of the inference engine has a complete knowledge base.by using owl language recommended by w3c , the language standardization is achieved .']"
69,ontologies,improves,day retrieval quality,heuristic,1,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
70,ontologies,improves,semantic founding,heuristic,1,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
71,ontologies,produces,universities,heuristic,3,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
72,retrieval quality,supports,semantic model,heuristic,2,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
73,it,provides,retrieval quality,heuristic,2,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
74,search engines,provides,retrieval quality,heuristic,2,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
75,it,produces,semantic model,heuristic,4,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
76,it,skos:broader/is/hyponym-of,search engines,heuristic,1,"[""ontologies aim to improve present day retrieval quality by means of their semantic founding . we introduce a particular ontology , developed and used by the university of applied sciences darmstadt , which covers the university world both broadly and at the same time at a very detailed level . an appropriate semantic search has to fulfil two different requirements : for the user it should be as simple as any of the well known search engines , and at the same time it has to provide outstanding retrieval quality , making use of its ' underlying semantic model of the world . we describe the relevant features of the software k-infinity and the way we use these features to build a powerful semantic search for documents and other information units ( persons , meetings , projects etc . ) on top of the university world ontology .""]"
77,semantic service registration,based-on,wordnet,heuristic,1,"['a method for semantic service registration and query based on wordnet is disclosed . the method includes the following steps : ( 1 ) semantic service registration : a service provider registers a service and uploads the web service description language ( wsdl ) document corresponding to the service , and a system parses the wsdl document to form a service description tree , then constructs a wordnet ontology tree according to the input of the service , performs a semantic annotation on the input/output of the service to form a web service semantic description document ( wsdl-s ) , and finally stores it in a register library ; ( 2 ) semantic service discovery : a service requester inputs the information of service type , semantic information of the service input/output and other user-defined information to the register library to retrieve the services meeting the requirements ; and ( 3 ) similarity sorting : the services meeting a certain threshold are sorted in descending order . the method has the advantages of the combination of wordnet ontology library and the semantic description language of wsdl-s , and definite semantic meaning .']"
78,resource description framework (rdf),proposes,semantic web technologies,heuristic,2,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
79,metadata,acquires,xml,heuristic,2,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
80,metadata,skos:broader/is/hyponym-of,rdf triple,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
81,web,acquires,xml,heuristic,2,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
82,web,skos:broader/is/hyponym-of,rdf triple,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
83,rdf triple,acquires,xml,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
84,rdf framework,proposes,uniform resource identifier,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
85,rdf framework,proposes,literal,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
86,schema,recommends,w3c,heuristic,1,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
87,rdf / xml,recommends,w3c,heuristic,2,"[""the resource description framework ( rdf ) is an appropriate framework for describing resources as metadata in the semantic web . the aim of semantic # r # # n # web is the development and expansion of the existing web , so users can acquire more integrated the supplied information . today 's web is human oriented . in order to # r # # n # facilitate complex queries and the combination of the acquired data , web is changing orientation . to relieve the user from the extra burden the semantic web shall be interpreted by machines . the most ambitious form incorporating appropriate metadata on the web is by the description of data with rdf triples stored as xml . the rdf framework describes resources , with the use of uniform resource identifiers ( uri 's ) or literals as subject-predicate-object . the use of existing rdf vocabularies to describe classes and properties is encouraged by the w3c. # r # # n # in this work an information-news rdf portal has been developed . the rdf / xml , is created using vocabularies and schemas recommended by w3c and the well known dcmi and prism . the metadata is created automatically with the use of data supplied when a new articles is published . to facilitate the journalist job , a rich text editor , which enables formatting text and inserting images and media has been used and expanded . the editor automatically generates html code from text in a graphic environment . the capabilities of the editor were extended in order to support images and media uploading and media encoding changes for better compatibility with the standards of html5 . apart from uploading articles with the use of the editor the portal integrates articles published by external sources . the process is totally # r # # n # automatic and repetitive . the user of the portal is presented a front page and articles categorized by theme . the portal includes a search engine , with fields for filtering time , category , journalist-source and keywords . the keywords can be supplied by the publisher or selected automatically . when the articles are integrated from external sources , the process is necessarily automatic . for the automatic selection of the keywords the frequency of each word in the article is used . extra weight is given by the html for the words stressed ( e.g . title , bold , underlined ) , normalized for the size of the article and stem frequency of the word in a set of articles that were already uploaded . for the retrieval of articles by the search engine the portal is using an index as inverted files for all keywords . to reduce the data volume and accelerate # r # # n # the query processing words that have high frequency and low value information retrieval `` stop words '' are removed . the choice of a representative list of stop words is performed by using a corpus of newspaper articles , measuring the frequency of words and comparing them with the list of stop words of google . to further reduce # r # # n # the volume of data and increase the recall to questions , the portal stems the keywords . for the stemming the rule based algorithm presented in the thesis of george ntais in the university of stockholm -based grammar was used . the returned articles # r # # n # to the keywords queried by the search engine are ranked by the proximity # r # # n # of the keywords the article is indexed . to enhance the search engine synonymous words are also included by the portal .""]"
